"iso3","country_years","median_ratio","min_ratio","max_ratio"
"AGO",25,1.00544400719678,0.980219651401545,1.04720003062596
"BDI",15,1.07513872153354,1.03144314533829,1.10119973778173
"BEN",24,1.00027639327459,0.949262119768912,1.10827678962665
"BFA",25,0.905448992827891,0.730786188633745,0.947304313117618
"BWA",17,1.09496282706461,1.06420926501788,1.14128541460748
"CAF",25,0.999054992676485,0.928932668240017,1.07460447135521
"CIV",25,1.06035402083917,0.848134752056136,1.1766314900805
"CMR",25,0.880470895613171,0.838228879882719,0.991981934236402
"COD",25,1.2869733818967,1.15401424752004,1.61369786807023
"COG",25,1.06010392304745,1.00851445291442,1.22353124201456
"ETH",25,0.883570965790269,0.777046202817903,1.01171586564338
"GAB",16,1.12370032085555,1.01561814326742,1.24960326615967
"GHA",25,0.965337038302386,0.899630814299881,0.993363729149519
"GIN",25,0.963603874354288,0.926581879549426,1.033052966965
"GNB",13,0.952923284112873,0.922546588910737,0.980699234819374
"KEN",25,1.01269545671039,0.958610197948176,1.31218000758792
"LSO",20,0.957336888207662,0.89187398786857,0.983780826513006
"MDG",15,0.961144948152443,0.926356495861089,1.02716136678486
"MLI",25,0.905296291628014,0.85997991302094,0.949161298094467
"MOZ",25,0.955094212726603,0.898558768828642,1.03197748183417
"MWI",25,0.999482730570482,0.950787429132776,1.08922242317658
"NAM",22,1.0124927202146,0.954960631888111,1.29816393175733
"NER",18,0.94019553236239,0.854465664742756,1.0031659653517
"RWA",20,0.994849976342619,0.945486578548076,1.09049442687602
"SEN",13,0.968423604990214,0.932487863298121,0.98205540757906
"SLE",25,1.07825361925248,1.01465174401598,1.18326074270969
"SSD",25,1.25497539836172,1.15418438322631,1.43511732187588
"SWZ",18,0.984407566949865,0.92308733373532,1.02454028643088
"TCD",25,0.980710785059868,0.87334967795393,1.01120797046316
"TGO",25,0.95235173904952,0.881780507902757,1.09059560431947
"TZA",25,1.00376053884912,0.947949875761075,1.1244508749452
"UGA",25,0.937707581895389,0.840149001870185,1.1047657583173
"ZMB",25,0.97588836089706,0.93568919757666,1.03932260777969
"ZWE",25,0.956371431296189,0.821443083677419,1.17724908251164
