"year","ni","ni_lower","ni_upper","iso3","under5_person_years","plhiv_0_4","uninfected","rate","lower","upper"
2000,707.95267,572.00119,851.66944,"LBR",540275.297164484,4400,535875.297164484,1.32111458346007,1.06741473814276,1.5893052814834
2001,751.55085,626.14772,886.31997,"LBR",562748.529603712,4400,558348.529603712,1.34602458885925,1.12142808085195,1.58739554777563
2002,791.44093,660.17832,924.77888,"LBR",575526.780355123,4300,571226.780355123,1.38551089903028,1.15572018452912,1.61893474151383
2003,818.39741,697.77937,945.51965,"LBR",582496.862156057,4000,578496.862156057,1.41469636836029,1.20619387182046,1.63444214109658
2004,825.98445,716.87203,953.68652,"LBR",575667.951808548,3900,571767.951808548,1.44461480813562,1.25378141207893,1.66796078196306
2005,866.87245,743.94158,983.85531,"LBR",572099.437721038,3900,568199.437721038,1.52564820105577,1.30929657900373,1.73153165012992
2006,924.07172,819.93619,1047.20975,"LBR",592830.805815042,3800,589030.805815042,1.56880032568307,1.39200901193182,1.77785226114104
2007,959.2789,836.29187,1102.7324,"LBR",626178.815858071,3700,622478.815858071,1.54106272464495,1.34348647487255,1.77151795676759
2008,912.72016,774.67297,1058.38718,"LBR",655074.383970162,3500,651574.383970162,1.4007919624443,1.18892483967797,1.62435357503015
2009,913.85917,772.93516,1047.72568,"LBR",676056.816681678,3300,672756.816681678,1.3583796512201,1.14890721406948,1.55736167069674
2010,859.21451,734.54345,1006.02293,"LBR",687339.987245253,3100,684239.987245253,1.25572098388928,1.07351728003689,1.47027789774498
2011,817.70502,667.57676,969.93154,"LBR",694671.63121962,2900,691771.63121962,1.18204474294263,0.965024770997094,1.40209788350235
2012,845.69899,697.34048,998.92422,"LBR",711989.348714829,2700,709289.348714829,1.1923187504963,0.983153745736519,1.40834515816424
2013,893.41368,730.83911,1044.68132,"LBR",724429.146334566,2600,721829.146334566,1.23770795975299,1.01248212781541,1.44726951703858
2014,873.32417,711.43804,1044.97627,"LBR",723600.655874677,2400,721200.655874677,1.21093091483788,0.986463384641772,1.44893971114411
2015,726.85029,575.99045,883.58894,"LBR",723610.434638034,2200,721410.434638034,1.0075405831421,0.79842267639087,1.22480754030587
2016,670.8007,506.05245,826.09467,"LBR",725161.722766646,2000,723161.722766646,0.927594311039687,0.699777704029969,1.14233738317835
2017,605.78107,434.89947,788.1421,"LBR",726787.392489504,1800,724987.392489504,0.835574626918453,0.599871769502938,1.08711145623323
2018,525.82949,354.76028,688.98175,"LBR",729257.991533949,1600,727657.991533949,0.722632742466716,0.487537117887131,0.946848324372255
2019,506.41123,317.75318,692.70873,"LBR",735181.509607608,1500,733681.509607608,0.690233055308756,0.433094163937623,0.944154542439646
2020,624.32717,418.73973,829.72107,"LBR",742699.905883583,1500,741199.905883583,0.842319548402723,0.564948439248412,1.11942954041648
2021,469.67152,295.19501,679.34472,"LBR",751623.327632078,1400,750223.327632078,0.626042276614377,0.3934761811949,0.905523322160894
2022,494.75058,304.7588,701.88552,"LBR",759811.406704737,1300,758511.406704737,0.65226518102,0.401785388203967,0.92534603144501
2023,425.62543,226.22412,657.19519,"LBR",764357.149530746,1200,763157.149530746,0.557716625287086,0.296431894976155,0.861153158827247
2024,359.12144,173.79959,605.71989,"LBR",787389.810896593,1100,786289.810896593,0.45672910296332,0.221037571123832,0.770351951158196
