"year","age_band","previous_deaths","revised_deaths","change_deaths"
2005,"<1",93071.7614215645,78981.9933755934,-14089.7680459712
2005,"1-5",72009.3190082113,93271.1899678623,21261.870959651
2005,"6-11",164975.116996673,182231.88580348,17256.7688068075
2005,"12-23",249027.755771432,265362.76674979,16335.0109783586
2005,"24-35",141050.170138137,151776.173840142,10726.0037020055
2005,"36-47",132450.664866901,135422.598422521,2971.93355562029
2005,"48-59",121349.956188835,119956.090590682,-1393.86559815324
2015,"<1",62901.3360818263,54335.2076332216,-8566.12844860472
2015,"1-5",42774.3015838424,60678.0341533719,17903.7325695295
2015,"6-11",98948.4903356857,117878.504557266,18930.0142215802
2015,"12-23",155454.076806279,167792.46338398,12338.3865777008
2015,"24-35",107266.16834321,117872.201598136,10606.0332549262
2015,"36-47",101571.167515273,103756.099068637,2184.93155336403
2015,"48-59",96643.125730747,94207.3760192137,-2435.74971153325
2024,"<1",54024.9412657024,46577.9342654621,-7447.00700024033
2024,"1-5",37077.6537803702,53288.0834188427,16210.4296384725
2024,"6-11",84906.027935531,102264.349509436,17358.3215739049
2024,"12-23",129763.812735158,140224.236411185,10460.4236760267
2024,"24-35",91023.6170726666,100603.178892706,9579.5618200399
2024,"36-47",86119.0115748836,88109.9053904881,1990.89381560443
2024,"48-59",82701.320472706,80371.8823815306,-2329.4380911754
