"year","countries","attributable_under5_deaths","counterfactual_under5_deaths","ihme_under5_deaths","ihme_malaria_deaths","previous_deaths","change_deaths","change_pct"
2005,42,1027002.69875007,2368352.58543289,3395355.28418296,564066.526910137,973934.744391753,53067.954358317,5.44882033050985
2015,42,716519.886413826,2211486.83853061,2928006.72494444,416121.688943615,665558.666396863,50961.2200169631,7.65690878804899
2024,42,611439.57026965,2025383.5365831,2636823.10685275,428146.804091449,565616.384837018,45823.185432632,8.10146004625306
