"year","countries","attributable_under5_deaths","counterfactual_under5_deaths","ihme_under5_deaths","ihme_malaria_deaths"
2005,42,1027002.69875007,2368352.58543289,3395355.28418296,564066.526910137
2015,42,716519.886413826,2211486.83853061,2928006.72494444,416121.688943615
2024,42,611439.57026965,2025383.5365831,2636823.10685275,428146.804091449
