"term","k'","edf","k-index","p-value"
"s(pfpr_pct):age_band<1",4,1.01564173194728,0.896105216515011,0.74
"s(pfpr_pct):age_band1-5",4,1.01298598514751,0.896105216515011,0.79
"s(pfpr_pct):age_band6-11",4,2.86511045741814,0.896105216515011,0.83
"s(pfpr_pct):age_band12-23",4,3.64190783811295,0.896105216515011,0.8
"s(pfpr_pct):age_band24-35",4,3.81121127314838,0.896105216515011,0.775
"s(pfpr_pct):age_band36-47",4,3.58359541283388,0.896105216515011,0.82
"s(pfpr_pct):age_band48-59",4,3.6382087049986,0.896105216515011,0.815
"s(calendar_year):age_band<1",5,2.05526792286767,0.891604376219366,0.66
"s(calendar_year):age_band1-5",5,3.63258441359269,0.891604376219366,0.62
"s(calendar_year):age_band6-11",5,3.25410732947802,0.891604376219366,0.665
"s(calendar_year):age_band12-23",5,3.11618537832413,0.891604376219366,0.65
"s(calendar_year):age_band24-35",5,3.04158156033731,0.891604376219366,0.655
"s(calendar_year):age_band36-47",5,1.01977730028503,0.891604376219366,0.62
"s(calendar_year):age_band48-59",5,1.00645060931233,0.891604376219366,0.615
"s(survey)",105,71.6505350163816,,
"s(country_age)",238,155.445298782788,,
"s(region)",1015,653.010417481989,,
