"year","countries","attributable_under5_deaths","counterfactual_under5_deaths","ihme_under5_deaths","ihme_malaria_deaths"
2005,42,973147.614140256,2422207.6700427,3395355.28418296,564066.526910137
2015,42,694533.528813846,2233473.19613059,2928006.72494444,416121.688943615
2024,42,592353.175637189,2044469.93121556,2636823.10685275,428146.804091449
