"year","iso3","country","previous_deaths","rerun_deaths","difference_deaths"
2005,"AGO","Angola",25905.0229330608,25905.0229330596,-1.18961906991899e-09
2005,"BDI","Burundi",12534.8307861445,12534.8307861437,-8.03993316367269e-10
2005,"BEN","Benin",11829.7617667678,11829.7617667668,-9.91349224932492e-10
2005,"BFA","Burkina Faso",31806.640014696,31806.640014694,-2.00088834390044e-09
2005,"BWA","Botswana",2.52892092831917,2.52892092831887,-3.01092484278342e-13
2005,"CAF","Central African Republic",8695.03789445269,8695.03789445171,-9.78616299107671e-10
2005,"CIV","Cote d'Ivoire",23927.7443991427,23927.7443991399,-2.78669176623225e-09
2005,"CMR","Cameroon",30989.695564459,30989.695564457,-1.99725036509335e-09
2005,"COD","Democratic Republic of the Congo",97923.923540006,97923.9235399962,-9.83709469437599e-09
2005,"COG","Congo",3069.97056026733,3069.97056026712,-2.10548023460433e-10
2005,"COM","Comoros",26.6880525449896,26.6880525449881,-1.53832502292062e-12
2005,"CPV","Cape Verde",,,
2005,"DJI","Djibouti",3.93832690082228,3.93832690082183,-4.51638726417514e-13
2005,"ERI","Eritrea",77.1412625016388,77.1412625016378,-9.9475983006414e-13
2005,"ETH","Ethiopia",44335.2016168385,44335.2016168361,-2.43016984313726e-09
2005,"GAB","Gabon",416.381447204527,416.381447204506,-2.13731254916638e-11
2005,"GHA","Ghana",16204.547717163,16204.5477171621,-8.8220986071974e-10
2005,"GIN","Guinea",15713.6841839957,15713.6841839947,-9.62245394475758e-10
2005,"GMB","The Gambia",527.718993907715,527.718993907696,-1.87583282240666e-11
2005,"GNB","Guinea-Bissau",710.858153151849,710.858153151824,-2.52384779741988e-11
2005,"GNQ","Equatorial Guinea",796.933768233877,796.933768233809,-6.83257894706912e-11
2005,"KEN","Kenya",13333.6058471966,13333.6058471959,-7.4214767664671e-10
2005,"LBR","Liberia",5655.70472338953,5655.70472338904,-4.85670170746744e-10
2005,"LSO","Lesotho",,,
2005,"MDG","Madagascar",13459.2926549644,13459.2926549637,-6.85759005136788e-10
2005,"MLI","Mali",29582.0984832871,29582.0984832857,-1.37879396788776e-09
2005,"MOZ","Mozambique",30466.8668692253,30466.8668692224,-2.90674506686628e-09
2005,"MRT","Mauritania",422.783510934909,422.783510934885,-2.4272139853565e-11
2005,"MWI","Malawi",19369.584689362,19369.584689361,-1.02591002359986e-09
2005,"NAM","Namibia",246.879063242393,246.879063242378,-1.50350842886837e-11
2005,"NER","Niger",44696.9738880643,44696.9738880632,-1.10594555735588e-09
2005,"NGA","Nigeria",320943.546607251,320943.546607234,-1.65309756994247e-08
2005,"RWA","Rwanda",3429.688936837,3429.68893683691,-9.14042175281793e-11
2005,"SEN","Senegal",3540.41768212541,3540.41768212531,-9.59516910370439e-11
2005,"SLE","Sierra Leone",12414.3368630488,12414.3368630478,-9.89530235528946e-10
2005,"SOM","Somalia",14686.2871250563,14686.2871250559,-3.92901711165905e-10
2005,"SSD","South Sudan",11577.611381289,11577.611381288,-1.04409991763532e-09
2005,"STP","Sao Tome and Principe",,,
2005,"SWZ","Swaziland",134.847515835409,134.847515835398,-1.07149844552623e-11
2005,"TCD","Chad",20177.4947435637,20177.4947435629,-7.93079379945993e-10
2005,"TGO","Togo",7375.98445853325,7375.98445853272,-5.28416421730071e-10
2005,"TZA","Tanzania",35328.9569685281,35328.9569685261,-2.02271621674299e-09
2005,"UGA","Uganda",44853.4887613395,44853.4887613364,-3.09955794364214e-09
2005,"ZMB","Zambia",14110.1790334468,14110.1790334462,-6.40284270048141e-10
2005,"ZWE","Zimbabwe",1842.73443142731,1842.73443142722,-8.64019966684282e-11
2015,"AGO","Angola",13787.7805136142,13787.7805136136,-6.47560227662325e-10
2015,"BDI","Burundi",8659.81537307346,8659.815373073,-4.62023308500648e-10
2015,"BEN","Benin",13049.3879411623,13049.3879411617,-6.00266503170133e-10
2015,"BFA","Burkina Faso",16685.0999689366,16685.0999689355,-1.12413545139134e-09
2015,"BWA","Botswana",1.89470049488242,1.8947004948822,-2.18269846641306e-13
2015,"CAF","Central African Republic",8333.93032449785,8333.93032449711,-7.38509697839618e-10
2015,"CIV","Cote d'Ivoire",18226.5269114979,18226.5269114967,-1.21144694276154e-09
2015,"CMR","Cameroon",24701.6804531127,24701.6804531115,-1.17142917588353e-09
2015,"COD","Democratic Republic of the Congo",78164.6209948458,78164.620994841,-4.77302819490433e-09
2015,"COG","Congo",2034.65529279008,2034.65529278996,-1.23009158414789e-10
2015,"COM","Comoros",3.52344076079359,3.52344076079335,-2.38475905689484e-13
2015,"CPV","Cape Verde",,,
2015,"DJI","Djibouti",10.0503901452325,10.0503901452315,-9.9298347322474e-13
2015,"ERI","Eritrea",118.829923004931,118.829923004929,-1.66267000167863e-12
2015,"ETH","Ethiopia",12364.3490996435,12364.3490996427,-7.49423634260893e-10
2015,"GAB","Gabon",411.054799496462,411.054799496436,-2.58637555816676e-11
2015,"GHA","Ghana",10643.5832613536,10643.5832613529,-6.96672941558063e-10
2015,"GIN","Guinea",14705.0290383345,14705.0290383336,-8.78571881912649e-10
2015,"GMB","The Gambia",783.279896674818,783.279896674774,-4.44515535491519e-11
2015,"GNB","Guinea-Bissau",478.733409070967,478.733409070948,-1.85309545486234e-11
2015,"GNQ","Equatorial Guinea",634.764463158916,634.76446315885,-6.57109922030941e-11
2015,"KEN","Kenya",4174.42133024693,4174.42133024668,-2.5465851649642e-10
2015,"LBR","Liberia",4573.18768555479,4573.18768555443,-3.6015990190208e-10
2015,"LSO","Lesotho",,,
2015,"MDG","Madagascar",6329.94871050391,6329.94871050366,-2.51930032391101e-10
2015,"MLI","Mali",26188.8750265554,26188.8750265543,-1.13504938781261e-09
2015,"MOZ","Mozambique",19955.2471777882,19955.2471777865,-1.68074620887637e-09
2015,"MRT","Mauritania",483.097532606016,483.097532605981,-3.47881723428145e-11
2015,"MWI","Malawi",8780.76029325346,8780.76029325301,-4.45652403868735e-10
2015,"NAM","Namibia",34.6119293945131,34.6119293945113,-1.75504055732745e-12
2015,"NER","Niger",43726.5848972961,43726.584897295,-1.10594555735588e-09
2015,"NGA","Nigeria",256388.667556167,256388.667556157,-9.66247171163559e-09
2015,"RWA","Rwanda",1379.29344795817,1379.29344795812,-5.16138243256137e-11
2015,"SEN","Senegal",1280.62707976676,1280.6270797667,-5.86624082643539e-11
2015,"SLE","Sierra Leone",9562.93405349095,9562.93405349014,-8.11269273981452e-10
2015,"SOM","Somalia",4256.09209856952,4256.09209856939,-1.26419763546437e-10
2015,"SSD","South Sudan",10487.2657041691,10487.2657041681,-9.69521352089942e-10
2015,"STP","Sao Tome and Principe",,,
2015,"SWZ","Swaziland",47.5983160014014,47.5983160013976,-3.78719278160133e-12
2015,"TCD","Chad",17404.1833435077,17404.1833435069,-8.00355337560177e-10
2015,"TGO","Togo",5953.87757429196,5953.87757429165,-3.06499714497477e-10
2015,"TZA","Tanzania",12701.4581424046,12701.4581424038,-7.89441401138902e-10
2015,"UGA","Uganda",25085.8245186195,25085.824518618,-1.45155354402959e-09
2015,"ZMB","Zambia",9330.48702529372,9330.48702529323,-4.92946128360927e-10
2015,"ZWE","Zimbabwe",2609.89517477102,2609.89517477088,-1.44609657581896e-10
2024,"AGO","Angola",19892.3734859613,19892.3734859602,-1.11685949377716e-09
2024,"BDI","Burundi",11645.5909175127,11645.5909175121,-6.40284270048141e-10
2024,"BEN","Benin",11184.9627345769,11184.9627345763,-5.56610757485032e-10
2024,"BFA","Burkina Faso",12920.7417228671,12920.7417228665,-6.34827301837504e-10
2024,"BWA","Botswana",1.28835985605288,1.28835985605279,-9.39248678832882e-14
2024,"CAF","Central African Republic",8596.50927857257,8596.50927857181,-7.56699591875076e-10
2024,"CIV","Cote d'Ivoire",16930.6516900361,16930.6516900349,-1.21872290037572e-09
2024,"CMR","Cameroon",21671.2753328695,21671.2753328685,-1.02954800240695e-09
2024,"COD","Democratic Republic of the Congo",65442.4084363104,65442.4084363058,-4.64206095784903e-09
2024,"COG","Congo",1934.47066427067,1934.47066427054,-1.30512489704415e-10
2024,"COM","Comoros",24.8073593318567,24.8073593318549,-1.80477854883065e-12
2024,"CPV","Cape Verde",,,
2024,"DJI","Djibouti",74.0709803923136,74.0709803923049,-8.69704308570363e-12
2024,"ERI","Eritrea",233.981511319375,233.98151131937,-4.54747350886464e-12
2024,"ETH","Ethiopia",8519.14268710057,8519.14268709993,-6.40284270048141e-10
2024,"GAB","Gabon",340.823421878058,340.823421878036,-2.20552465179935e-11
2024,"GHA","Ghana",6948.00740968288,6948.00740968245,-4.32919478043914e-10
2024,"GIN","Guinea",10787.5204895068,10787.5204895062,-5.72981662116945e-10
2024,"GMB","The Gambia",373.083936291486,373.083936291466,-2.00657268578652e-11
2024,"GNB","Guinea-Bissau",459.726766975333,459.726766975312,-2.10889083973598e-11
2024,"GNQ","Equatorial Guinea",516.926536419611,516.926536419562,-4.93400875711814e-11
2024,"KEN","Kenya",2311.80718171011,2311.80718170996,-1.52340362546965e-10
2024,"LBR","Liberia",2669.44645302497,2669.44645302479,-1.80534698301926e-10
2024,"LSO","Lesotho",,,
2024,"MDG","Madagascar",7728.0493521416,7728.04935214124,-3.59250407200307e-10
2024,"MLI","Mali",19907.9857492141,19907.9857492133,-7.71251507103443e-10
2024,"MOZ","Mozambique",17755.44062374,17755.4406237386,-1.4042598195374e-09
2024,"MRT","Mauritania",172.010945607465,172.010945607453,-1.17665877041873e-11
2024,"MWI","Malawi",7547.091931447,7547.09193144657,-4.30190993938595e-10
2024,"NAM","Namibia",34.9945389614559,34.994538961454,-1.93978166862507e-12
2024,"NER","Niger",37159.2378384172,37159.2378384164,-7.93079379945993e-10
2024,"NGA","Nigeria",210621.69857261,210621.698572602,-8.2072801887989e-09
2024,"RWA","Rwanda",916.233137136765,916.233137136729,-3.59250407200307e-11
2024,"SEN","Senegal",1804.28844018576,1804.28844018566,-1.0481926437933e-10
