"year","iso3","age_band","start_month","end_month","observed_q","zero_pfpr_q","observed_survival","zero_pfpr_survival"
2005,"COD","<1",0,0.919917864476386,0.029350426756517,0.0282419337093904,0.970649573243483,0.97175806629061
2005,"COD","1-5",0.919917864476386,6,0.0209800068951381,0.0168157592955285,0.950285338504072,0.955417216554379
2005,"COD","6-11",6,12,0.0225646989446315,0.0128845178673018,0.92884243592923,0.943107126356956
2005,"COD","12-23",12,24,0.0175879451419971,0.00797591211453375,0.912506006120548,0.935584986802542
2005,"COD","24-35",24,36,0.0123785200043919,0.00482838465851845,0.901210532269657,0.931067622605525
2005,"COD","36-47",36,48,0.0123785200043919,0.00567732918033985,0.890054879667788,0.925781645222837
2005,"COD","48-59",48,60,0.0123785200043919,0.00647666657665517,0.879037317534814,0.919785666183941
2015,"COD","<1",0,0.919917864476386,0.0218645331456952,0.0206808903903588,0.978135466854305,0.979319109609641
2015,"COD","1-5",0.919917864476386,6,0.014738685791425,0.0126465582492855,0.96371903554689,0.966934093445325
2015,"COD","6-11",6,12,0.015243669100871,0.0101702133377461,0.949028421462803,0.957100167431445
2015,"COD","12-23",12,24,0.0112167280467697,0.00533501180963871,0.9383834277506,0.951994026735192
2015,"COD","24-35",24,36,0.00840073911206422,0.00324566488497082,0.930500313386982,0.948904173151915
2015,"COD","36-47",36,48,0.00840073911206422,0.00356622635064127,0.922683423010524,0.945520166085387
2015,"COD","48-59",48,60,0.00840073911206422,0.00394599067804488,0.914932200290787,0.941789152324111
2024,"COD","<1",0,0.919917864476386,0.0184384507455692,0.017306436585431,0.981561549254431,0.982693563414569
2024,"COD","1-5",0.919917864476386,6,0.0125999144211487,0.0106311167987114,0.969193957734735,0.972246433364567
2024,"COD","6-11",6,12,0.0122433356410228,0.00786980158982398,0.957327790808937,0.964595046837574
2024,"COD","12-23",12,24,0.00841256814515238,0.00394227624040651,0.949274205531509,0.960792346702812
2024,"COD","24-35",24,36,0.00596980464567396,0.00226747456240543,0.943607223969308,0.95861377449691
2024,"COD","36-47",36,48,0.00596980464567396,0.00247265418138724,0.937974073179965,0.956243454139064
2024,"COD","48-59",48,60,0.00596980464567396,0.00283767765931623,0.932374551200373,0.953529943452387
