"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit"
"RWA","Rwanda",2005,"map_full",4.897431879853,"MAP","estimated",38267.9806795348,3429.68893683691,34838.2917426979,0.0896229400123812,2841.50458808531,0.814603360177058,FALSE,TRUE,FALSE
"SEN","Senegal",2005,"map_full",5.44994687087531,"MAP","estimated",38522.3642175266,3540.41768212531,34981.9465354013,0.0919055139537495,4355.85191330994,0.99558981120801,FALSE,TRUE,FALSE
"SLE","Sierra Leone",2005,"map_full",40.7926668056115,"MAP","estimated",37841.2524673903,12414.3368630478,25426.9156043425,0.328063582825274,6759.19690523862,0.99816935916103,FALSE,TRUE,FALSE
"SOM","Somalia",2005,"map_full",9.00565355096317,"MAP","estimated",91196.3495631419,14686.2871250559,76510.062438086,0.161040295970263,2834.75713714953,0.983183349547194,FALSE,TRUE,FALSE
"SSD","South Sudan",2005,"map_full",35.4180105817913,"MAP","estimated",37611.7230423069,11577.611381288,26034.111661019,0.307819223497553,4727.21749013014,0.998944588913762,FALSE,TRUE,FALSE
"STP","Sao Tome and Principe",2005,"map_full",,"MAP","missing_MAP_no_estimate",413.742464346307,,,,39.3306059836189,,,TRUE,FALSE
"SWZ","Swaziland",2005,"map_full",2.77619052188256,"MAP","estimated",3247.7077903365,134.847515835398,3112.8602745011,0.0415208277778669,2.47884157083843,0.0274046526925583,FALSE,TRUE,FALSE
"TCD","Chad",2005,"map_full",17.2544300153994,"MAP","estimated",77646.949864827,20177.4947435629,57469.4551212641,0.259862039380674,3943.23764594159,0.941951498070144,FALSE,TRUE,FALSE
"TGO","Togo",2005,"map_full",54.7789048030301,"MAP","estimated",22148.2394810415,7375.98445853272,14772.2550225088,0.333028025313093,3282.74509670263,1,FALSE,TRUE,FALSE
"TZA","Tanzania",2005,"map_full",21.5102815877522,"MAP","estimated",143205.034385894,35328.9569685261,107876.077417368,0.246701920222479,17905.7678371295,0.982661834291151,FALSE,TRUE,FALSE
"UGA","Uganda",2005,"map_full",41.7907617391782,"MAP","estimated",137915.902947265,44853.4887613364,93062.4141859289,0.325223471715854,44154.0043335441,0.972005626882908,FALSE,TRUE,FALSE
"ZMB","Zambia",2005,"map_full",20.8670520447216,"MAP","estimated",52399.241167066,14110.1790334462,38289.0621336198,0.26928212545022,3742.04847209806,0.999994981989078,FALSE,TRUE,FALSE
"ZWE","Zimbabwe",2005,"map_full",4.09485353977597,"MAP","estimated",28517.2506942995,1842.73443142722,26674.5162628722,0.0646182358594471,363.485138105732,0.993374399109765,FALSE,TRUE,FALSE
"AGO","Angola",2015,"map_full",12.001303326479,"MAP","estimated",77321.0488630936,13787.7805136136,63533.26834948,0.178318591332439,6832.55631081913,0.998084957706995,FALSE,TRUE,FALSE
"BDI","Burundi",2015,"map_full",16.717817650048,"MAP","estimated",39468.6283250787,8659.815373073,30808.8129520057,0.21941009202923,7621.7837339771,0.903118502531811,FALSE,TRUE,FALSE
"BEN","Benin",2015,"map_full",36.3793100261877,"MAP","estimated",38817.0754924682,13049.3879411617,25767.6875513065,0.336176483560533,7298.77480376705,1,FALSE,TRUE,FALSE
"BFA","Burkina Faso",2015,"map_full",39.2003452509794,"MAP","estimated",55253.1036656593,16685.0999689355,38568.0036967238,0.301975796145286,13545.8717646912,1,FALSE,TRUE,FALSE
"BWA","Botswana",2015,"map_full",0.0668556239324968,"MAP","estimated",2000.78906689539,1.8947004948822,1998.8943664005,0.000946976633485007,0.518384167820944,0.500006041684288,FALSE,TRUE,FALSE
"CAF","Central African Republic",2015,"map_full",36.7348327663838,"MAP","estimated",28150.8022278888,8333.93032449711,19816.8719033917,0.296045926401371,2950.93257259004,1,FALSE,TRUE,FALSE
"CIV","Cote d'Ivoire",2015,"map_full",21.3567298975211,"MAP","estimated",77900.2697353517,18226.5269114967,59673.742823855,0.233972577674213,12113.9747572197,0.999044906250652,FALSE,TRUE,FALSE
"CMR","Cameroon",2015,"map_full",25.339889009207,"MAP","estimated",86832.2296518058,24701.6804531115,62130.5491986942,0.284475943462058,12490.1867607554,0.994188327616715,FALSE,TRUE,FALSE
"COD","Democratic Republic of the Congo",2015,"map_full",31.2906693790223,"MAP","estimated",248211.14235586,78164.620994841,170046.521361019,0.314911813599312,72887.450903449,0.967925701459564,FALSE,TRUE,FALSE
"COG","Congo",2015,"map_full",19.1216915715156,"MAP","estimated",9147.10580862238,2034.65529278996,7112.45051583242,0.222437056634025,1162.69867040741,0.999999884856155,FALSE,TRUE,FALSE
"COM","Comoros",2015,"map_full",0.242446595277091,"MAP","estimated",1091.49777195399,3.52344076079335,1087.9743311932,0.00322807874768788,0.566885759376502,0.977875023773357,FALSE,TRUE,FALSE
"CPV","Cape Verde",2015,"map_full",,"MAP","missing_MAP_no_estimate",297.674343911655,,,,0.0236627273474872,,,TRUE,FALSE
"DJI","Djibouti",2015,"map_full",0.446388006068223,"MAP","estimated",1975.83391624404,10.0503901452315,1965.78352609881,0.00508665736659526,15.5983083618225,0.900244405140964,FALSE,TRUE,FALSE
"ERI","Eritrea",2015,"map_full",0.437883754324056,"MAP","estimated",12707.9072451884,118.829923004929,12589.0773221835,0.00935086483653095,22.6752348843585,0.941587510523092,FALSE,TRUE,FALSE
"ETH","Ethiopia",2015,"map_full",4.44168903034584,"MAP","estimated",222280.681072972,12364.3490996427,209916.33197333,0.0556249379836283,11813.4580723826,0.827586281480413,FALSE,TRUE,FALSE
"GAB","Gabon",2015,"map_full",16.5336880312919,"MAP","estimated",2235.68864689905,411.054799496436,1824.63384740261,0.183860485254321,307.793775942293,0.999284909726468,FALSE,TRUE,FALSE
"GHA","Ghana",2015,"map_full",27.1359006682193,"MAP","estimated",45615.0682451127,10643.5832613529,34971.4849837598,0.233334809544942,9488.9556894683,0.999730304961018,FALSE,TRUE,FALSE
"GIN","Guinea",2015,"map_full",37.0047253732389,"MAP","estimated",45918.3793797175,14705.0290383336,31213.3503413839,0.320242770693884,8411.25835546664,0.996935005435981,FALSE,TRUE,FALSE
