"country","rows","deaths","surveys"
"AGO",83843,1063,2
"BDI",38597,550,1
"BEN",161990,2445,2
"BFA",112587,2339,2
"CIV",39814,719,1
"CMR",93468,1774,2
"COD",149503,2801,2
"COG",71280,882,2
"ETH",107882,1660,2
"GAB",33480,330,1
"GHA",60528,741,3
"GIN",67259,1388,2
"GMB",44604,337,1
"KEN",174890,1604,3
"MDG",90568,985,2
"MLI",129960,2853,2
"MOZ",89089,1598,2
"MWI",228333,3412,3
"NAM",46596,470,2
"NER",116160,2299,2
"NGA",380295,8344,4
"RWA",166407,2249,4
"SEN",320230,4142,6
"SLE",99314,2185,2
"SWZ",10725,201,1
"TCD",128699,2571,2
"TGO",35836,482,1
"TZA",97253,1288,3
"UGA",106741,1671,3
"ZMB",112766,1519,2
"ZWE",30613,355,2
