"survey","region","polygons","coverage","maximum_mean_error"
"AO62FL","Hyperendemic",11,0.994638916718181,1.27897692436818e-13
"AO62FL","Mesoendemic Stable",15,0.995236557729378,8.17124146124115e-14
"AO62FL","Mesoendemic Unstable",9,0.975504432522902,5.6843418860808e-14
"AO62FL","Luanda",2,0.992127680705875,9.2370555648813e-14
"AO71FL","Cuanza Norte",5,0.999999942649103,9.2370555648813e-14
"AO71FL","Cuanza Sul",7,0.999101706525275,1.63424829224823e-13
"AO71FL","Luanda",4,0.992143320635099,3.5527136788005e-14
"AO71FL","Uíge",5,0.990831830440264,1.20792265079217e-13
"AO71FL","Bengo",4,0.99508678836188,4.61852778244065e-14
"AO71FL","Malanje",7,0.999712872929015,1.77635683940025e-13
"AO71FL","Bié",8,0.999999990109665,1.24344978758018e-13
"AO71FL","Huambo",5,0.999999944260831,7.28306304154103e-14
"AO71FL","Huíla",7,0.999999989235965,1.13686837721616e-13
"AO71FL","Cuando Cubango",5,0.993348426606992,9.2370555648813e-14
"AO71FL","Lunda Sul",5,0.999901455189114,9.9475983006414e-14
"AO71FL","Moxico",4,0.994928589816712,1.10134124042816e-13
"AO71FL","Zaire",3,0.96018070180533,1.84741111297626e-13
"AO71FL","Cabinda",1,0.989121150411267,4.9737991503207e-14
"AO71FL","Cunene",4,0.999820985811135,7.46069872548105e-14
"AO71FL","Namibe",4,0.757130592104608,4.2632564145606e-14
"AO71FL","Benguela",5,0.998964128126564,7.46069872548105e-14
"AO71FL","Lunda Norte",3,0.996850914893056,7.8159700933611e-14
"AO81FL","Bengo",4,0.99508678836188,4.61852778244065e-14
"AO81FL","Luanda",4,0.992143258243682,3.5527136788005e-14
"AO81FL","Malanje",7,0.999712872929015,1.77635683940025e-13
"AO81FL","North Cuanza",5,0.999999942649103,9.2370555648813e-14
"AO81FL","South Cuanza",7,0.999087323032114,1.84741111297626e-13
"AO81FL","Uige",5,0.990831830440264,1.20792265079217e-13
"AO81FL","Bie",8,0.999999990109665,1.24344978758018e-13
"AO81FL","Cuando Cubango",5,0.993348426606992,9.2370555648813e-14
"AO81FL","Huambo",5,0.999999960228153,6.3948846218409e-14
"AO81FL","Huila",7,0.999999989235965,1.13686837721616e-13
"AO81FL","Moxico",4,0.994928589816712,1.10134124042816e-13
"AO81FL","South Lunda",5,0.999901455189114,9.9475983006414e-14
"AO81FL","Zaire",3,0.96018070180533,1.84741111297626e-13
