"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","series","age_band"
"snow_age_1",620799,18763,31,69,587,TRUE,13,711,711,TRUE,TRUE,23.4,0.323465151716961,5.84163758361456e-05,"openMP not available: single threaded computation only","snow","<1"
"snow_age_2",552179,8278,31,69,587,TRUE,18,711,711,TRUE,TRUE,29.417,0.000236177162607484,0.0002359335718182,"openMP not available: single threaded computation only","snow","1-5"
"snow_age_3",524318,8046,31,69,587,TRUE,13,711,711,TRUE,TRUE,23.062,0.000240451586106753,0.000240224533372027,"openMP not available: single threaded computation only","snow","6-11"
"snow_age_4",446360,7854,31,69,587,TRUE,21,711,711,TRUE,TRUE,26.358,0.000281312109491829,0.000281480726955699,"openMP not available: single threaded computation only","snow","12-23"
"snow_age_5",443341,6363,31,69,587,TRUE,24,711,711,TRUE,TRUE,36.198,0.827869850124679,0.000165722632658571,"openMP not available: single threaded computation only","snow","24-35"
"snow_age_6",426863,3801,31,69,587,TRUE,18,711,711,TRUE,TRUE,24.314,0.000284443764712221,0.000284598311612733,"openMP not available: single threaded computation only","snow","36-47"
"snow_age_7",415450,2152,31,69,587,TRUE,22,711,711,TRUE,TRUE,29.452,0.0488611631816642,1.42374407303691e-05,"openMP not available: single threaded computation only","snow","48-59"
"map_matched_age_1",620695,18761,31,69,587,TRUE,12,711,711,TRUE,TRUE,24.602,0.266960243201226,0.00081869694410841,"openMP not available: single threaded computation only","map_matched","<1"
"map_matched_age_2",552072,8278,31,69,587,TRUE,17,711,711,TRUE,TRUE,25.765,0.011343580524705,0.0224360547945537,"openMP not available: single threaded computation only","map_matched","1-5"
"map_matched_age_3",524193,8046,31,69,587,TRUE,13,711,711,TRUE,TRUE,20.807,0.00607123281350291,0.00147355795513704,"openMP not available: single threaded computation only","map_matched","6-11"
"map_matched_age_4",446236,7854,31,69,587,TRUE,14,711,711,TRUE,TRUE,22.687,0.00043924736837336,0.000684160403352507,"openMP not available: single threaded computation only","map_matched","12-23"
"map_matched_age_5",443238,6363,31,69,587,TRUE,12,711,711,TRUE,TRUE,17.261,0.712327377086703,3.02222673553842e-07,"openMP not available: single threaded computation only","map_matched","24-35"
"map_matched_age_6",426757,3801,31,69,587,TRUE,17,711,711,TRUE,TRUE,19.024,0.000159678737237367,0.000159722277554552,"openMP not available: single threaded computation only","map_matched","36-47"
"map_matched_age_7",415353,2151,31,69,587,TRUE,23,711,711,TRUE,TRUE,28.75,0.0362062780210603,1.51513983155382e-05,"openMP not available: single threaded computation only","map_matched","48-59"
"snow_matched_age_1",620695,18761,31,69,587,TRUE,11,711,711,TRUE,TRUE,20.682,0.325031174209257,0.00328430781269162,"openMP not available: single threaded computation only","snow_matched","<1"
"snow_matched_age_2",552072,8278,31,69,587,TRUE,16,711,711,TRUE,TRUE,27.4749999999999,0.00154321203201449,0.0177599329138189,"openMP not available: single threaded computation only","snow_matched","1-5"
"snow_matched_age_3",524193,8046,31,69,587,TRUE,15,711,711,TRUE,TRUE,28.034,0.000249053000056454,0.000248846855330972,"openMP not available: single threaded computation only","snow_matched","6-11"
"snow_matched_age_4",446236,7854,31,69,587,TRUE,21,711,711,TRUE,TRUE,27.579,0.000286999587748643,0.000287174842807688,"openMP not available: single threaded computation only","snow_matched","12-23"
"snow_matched_age_5",443238,6363,31,69,587,TRUE,21,711,711,TRUE,TRUE,26.509,0.827170557119157,0.000232383144606274,"openMP not available: single threaded computation only","snow_matched","24-35"
"snow_matched_age_6",426757,3801,31,69,587,TRUE,15,711,711,TRUE,TRUE,17.57,0.000122944037035765,0.00171812629642432,"openMP not available: single threaded computation only","snow_matched","36-47"
"snow_matched_age_7",415353,2151,31,69,587,TRUE,20,711,711,TRUE,TRUE,26.14,0.0502235244509424,1.6136858150162e-05,"openMP not available: single threaded computation only","snow_matched","48-59"
