"age_band","rows","deaths","countries","surveys"
"<1",620799,18763,31,69
"1-5",552179,8278,31,69
"6-11",524318,8046,31,69
"12-23",446360,7854,31,69
"24-35",443341,6363,31,69
"36-47",426863,3801,31,69
"48-59",415450,2152,31,69
