"fit_id","age_band","pfpr_pct","log_hazard_ratio","standard_error","lower_95","upper_95","pfpr_min","pfpr_p025","pfpr_p975","pfpr_max","within_observed_support","within_central_support","reference_within_observed_support"
"original","24-35",0,-0.684192682578894,0.103912933178626,-0.887862031609001,-0.480523333548787,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,FALSE,FALSE,TRUE
"original","24-35",0.0164865959077473,-0.683498145774863,0.103794471793061,-0.886935310489263,-0.480060981060464,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,FALSE,TRUE
"original","24-35",0.5,-0.663131248233972,0.100323365930683,-0.85976504545811,-0.466497451009834,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,FALSE,TRUE
"original","24-35",1,-0.642084230805554,0.0967429877783467,-0.831700486851113,-0.452467974759995,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,FALSE,TRUE
"original","24-35",1.5,-0.621066538609694,0.0931760620128525,-0.803691620154885,-0.438441457064503,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,FALSE,TRUE
"original","24-35",1.78413863017667,-0.609141416917036,0.0911566766253585,-0.787808503102738,-0.430474330731333,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",2,-0.600093080051522,0.0896268414845531,-0.775761689361246,-0.424424470741798,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",2.5,-0.579178763536168,0.0860995648811876,-0.747933910703296,-0.410423616369041,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",3,-0.558338497468763,0.0825984525400157,-0.720231464447194,-0.396445530490332,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",3.5,-0.537587190254435,0.0791277016708833,-0.692677485529366,-0.382496894979504,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",4,-0.516939750298315,0.0756914808708415,-0.665295052805165,-0.368584447791466,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",4.5,-0.496411086005534,0.0722939237882733,-0.638107176630549,-0.354714995380518,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",5,-0.47601610578122,0.0689391217673211,-0.61113678444517,-0.340895427117271,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",5.5,-0.455769718030505,0.0656311152709579,-0.584406703961583,-0.327132732099428,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
"original","24-35",6,-0.435686831158518,0.062373883842466,-0.557939643489751,-0.313434018827285,0.0164865959077473,1.78413863017667,73.2069091925186,94.7588284788529,TRUE,TRUE,TRUE
