"age_band","pfpr_pct","reference_pfpr_pct","log_hazard_ratio","standard_error","lower_95","upper_95","central_95_support","pfpr_p025","pfpr_p975","fit_signature"
"<1",0.0164865959077473,20,0.0245714170830536,0.0150490886640912,-0.00492479669856511,0.0540676308646724,FALSE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",0.25334245061511,20,0.0242796025299022,0.0148698888301501,-0.00486537957719201,0.0534245846369965,FALSE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",0.490198305322473,20,0.0239877884660455,0.0146906932280547,-0.00480597026094175,0.0527815471930327,FALSE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",0.727054160029836,20,0.0236959753807779,0.0145115026716085,-0.00474656985557467,0.0521385206171305,FALSE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",0.963910014737199,20,0.0234041637633942,0.0143323179682278,-0.00468717945433229,0.0514955069811208,FALSE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",1.20076586944456,20,0.023112354103189,0.0141531399185999,-0.00462780013726683,0.0508525083436449,FALSE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",1.43762172415192,20,0.0228205468894569,0.0139739693163404,-0.0045684329705702,0.0502095267494841,FALSE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",1.67447757885929,20,0.0225287426114926,0.0137948069476505,-0.00450907900590239,0.0495665642288876,FALSE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",1.74566449581994,20,0.0224410416185787,0.0137409615071207,-0.00449124293537791,0.0493733261725353,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",1.91133343356665,20,0.0222369417585906,0.0136156535909745,-0.00444973927971935,0.0489236227969005,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",2.14818928827401,20,0.0219451448200455,0.0134365100166561,-0.00439041481260035,0.0482807044526914,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",2.38504514298138,20,0.0216533522851521,0.0132573769865953,-0.00433110660857465,0.0476378111788788,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",2.62190099768874,20,0.0213615646432049,0.0130782552539044,-0.0042718156544477,0.0469949449408575,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",2.8587568523961,20,0.0210697823834985,0.0128991455625638,-0.00421254291912662,0.0463521076861236,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",3.09561270710346,20,0.0207780059953275,0.0127200486470779,-0.00415328935294521,0.0457093013436003,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",3.33246856181083,20,0.0204862359679867,0.0125409652321301,-0.00409405588698821,0.0450665278229616,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",3.56932441651819,20,0.0201944727907705,0.0123618960322375,-0.00403484343241499,0.044423789013956,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",3.80618027122555,20,0.0199027169529737,0.0121828417514063,-0.00397565287978262,0.04378108678573,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",4.04303612593292,20,0.0196109689438908,0.0120038030827852,-0.00391648509836825,0.0431384229861499,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",4.27989198064028,20,0.0193192292528165,0.01182478070832,-0.00385734093549082,0.0424957994411238,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",4.51674783534764,20,0.0190274983690453,0.0116457752984069,-0.00379822121583221,0.0418532179539228,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",4.753603690055,20,0.018735776781872,0.0114667875115457,-0.00373912674075757,0.0412106803045015,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",4.99045954476237,20,0.0184440649805911,0.011287817993993,-0.00368005828763514,0.0405681882488173,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",5.22731539946973,20,0.0181523634544972,0.0111088673794145,-0.00362101660915525,0.0399257435181497,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",5.46417125417709,20,0.017860672692885,0.0109299362885376,-0.00356200243264873,0.0392833478184188,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",5.70102710888446,20,0.0175689931850491,0.0107510253288029,-0.00350301645940462,0.0386410028295029,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",5.93788296359182,20,0.0172773254202842,0.010572135094016,-0.00344405936398712,0.0379987102045554,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
"<1",6.17473881829918,20,0.0169856698878847,0.0103932661639983,-0.00338513179355197,0.0373564715693214,TRUE,1.74566449581994,69.1278536120507,"025644b188001d89791e92541022a6d1936a9e38cc83b78969ec4f900e8f6e86"
