"age_band","pfpr_from_pct","pfpr_to_pct","hazard_ratio","lower_95","upper_95","percent_change","pfpr_p025","pfpr_p975","contrast_within_central_95pct"
"<1",40,20,1.02473453068338,0.995212457105546,1.05513234975868,2.47345306833807,1.74566449581994,69.1278536120507,TRUE
"1-5",40,20,0.958725727113644,0.916626190298507,1.00275884494448,-4.1274272886356,1.73049064456867,68.8234805610922,TRUE
"6-11",40,20,0.865862493929957,0.816760533985268,0.917916362506476,-13.4137506070043,1.72053231100745,68.7241985014016,TRUE
"12-23",40,20,0.903152575868323,0.838859769445775,0.972372981763687,-9.68474241316769,1.71186420675262,67.5343293391306,TRUE
"24-35",40,20,0.959351983534896,0.8833103815734,1.04193978414807,-4.06480164651043,1.71186420675262,67.9040488141987,TRUE
"36-47",40,20,0.908918647246015,0.825932414915988,1.00024298888373,-9.10813527539847,1.71186420675262,67.9040488141987,TRUE
"48-59",40,20,1.03627303850705,0.920495575730027,1.16661267978934,3.62730385070521,1.68447732312792,67.5343293391306,TRUE
