"iso3","Location","pfpr_pct","population_weight_on_map","population_weight_within_raster","map_population_coverage_within_raster","legacy_density_weighted_pfpr_pct","status","map_coverage_below_95pct","exposure_year","population_weight_year"
"AGO","Angola",20.1035553415068,36776664,36847228,0.998084957706995,19.9947348079463,"estimated",FALSE,2005,2020
"BDI","Burundi",32.7108667147613,10240924,11339513,0.903118502531811,32.8192509953754,"estimated",TRUE,2005,2020
"BEN","Benin",56.789331963267,13527325,13527325,1,56.4754532293332,"estimated",FALSE,2005,2020
"BFA","Burkina Faso",53.1839944402602,22752144,22752144,1,53.1744527501911,"estimated",FALSE,2005,2020
"BWA","Botswana",0.0739687942020688,1200011,2399993,0.500006041684288,0.0672853192781942,"estimated",TRUE,2005,2020
"CAF","Central African Republic",57.137610295232,5328369.5,5328369.5,1,57.3400501724416,"estimated",FALSE,2005,2020
"CIV","Cote d'Ivoire",62.0559536355424,27757124,27783660,0.999044906250652,62.0937705451644,"estimated",FALSE,2005,2020
"CMR","Cameroon",48.6084683420969,28456054,28622398,0.994188327616715,48.6938287511571,"estimated",FALSE,2005,2020
"COD","Democratic Republic of the Congo",64.5181086884157,111560592,115257392,0.967925701459564,64.5649421485996,"estimated",FALSE,2005,2020
"COG","Congo",32.8294542135053,4342394,4342394.5,0.999999884856155,32.7571098597598,"estimated",FALSE,2005,2020
"COM","Comoros",1.49344288730066,862191.125,881698.6875,0.977875023773357,1.49344289675355,"estimated",FALSE,2005,2020
"CPV","Cape Verde",,0,0,,,"missing_MAP_no_estimate",,2005,2020
"DJI","Djibouti",0.180218583070353,1051926.125,1167835.5,0.900748542924068,0.161087729421384,"estimated",TRUE,2005,2020
"ERI","Eritrea",0.264051516629705,3990727.75,4194347,0.951453885431987,0.244094649361467,"estimated",FALSE,2005,2020
"ETH","Ethiopia",10.282958677834,85722128,103563128,0.827728262514435,10.263917680128,"estimated",TRUE,2005,2020
"GAB","Gabon",13.5729851145187,3021232.5,3023394.5,0.999284909726468,13.5348911574091,"estimated",FALSE,2005,2020
"GHA","Ghana",33.4717058296969,33547370,33556420,0.999730304961018,33.3535897257309,"estimated",FALSE,2005,2020
"GIN","Guinea",42.9604000479577,12444308,12482567,0.996935005435981,43.0078399444599,"estimated",FALSE,2005,2020
"GMB","The Gambia",6.80021050223797,2496291.75,2496555.5,0.99989435444155,6.56238931270428,"estimated",FALSE,2005,2020
"GNB","Guinea-Bissau",5.47134440577292,1904789.5,1912307.375,0.996068689009789,5.36426004300786,"estimated",FALSE,2005,2020
"GNQ","Equatorial Guinea",33.9046533846217,1251194.125,1292838,0.967788791016353,34.061879452405,"estimated",FALSE,2005,2020
"KEN","Kenya",12.1603957572431,45107652,54861080,0.822215895130027,11.9528216450562,"estimated",TRUE,2005,2020
"LBR","Liberia",42.3245620053839,4554479.5,4554574.5,0.999979141849584,42.3265645877889,"estimated",FALSE,2005,2020
"LSO","Lesotho",,0,1818115.75,0,,"missing_MAP_no_estimate",TRUE,2005,2020
"MDG","Madagascar",16.612555436176,27064006,28043662,0.965066759112986,16.5327958742253,"estimated",FALSE,2005,2020
"MLI","Mali",38.5111391906618,23241904,23772730,0.977670801796849,38.4991211167684,"estimated",FALSE,2005,2020
"MOZ","Mozambique",44.2928156950409,31152770,31159284,0.999790945132115,44.2416485914613,"estimated",FALSE,2005,2020
"MRT","Mauritania",4.08661106779518,3752789,4466969.5,0.840119682930452,4.01445486751233,"estimated",TRUE,2005,2020
"MWI","Malawi",32.2108258478265,18836400,18840828,0.999764978481837,32.1729283106055,"estimated",FALSE,2005,2020
"NAM","Namibia",4.5353951282014,1453226.125,2376921.75,0.611389973186959,4.48164798645555,"estimated",TRUE,2005,2020
"NER","Niger",26.7916282649868,22709510,23845426,0.952363358910006,26.7423496035868,"estimated",FALSE,2005,2020
"NGA","Nigeria",44.911076588637,218096896,218103712,0.999968748812492,44.878719931486,"estimated",FALSE,2005,2020
"RWA","Rwanda",4.897431879853,11468817,14079020,0.814603360177058,4.85983144462689,"estimated",TRUE,2005,2020
"SEN","Senegal",5.44994687087531,16901276,16976144,0.99558981120801,5.42590301827537,"estimated",FALSE,2005,2020
"SLE","Sierra Leone",40.7926668056115,6789265,6801716.5,0.99816935916103,39.9440582754458,"estimated",FALSE,2005,2020
"SOM","Somalia",9.00565355096317,11021038,11209545,0.983183349547194,8.9779354440502,"estimated",FALSE,2005,2020
"SSD","South Sudan",35.4180105817913,16697173,16714814,0.998944588913762,35.4110265693629,"estimated",FALSE,2005,2020
"STP","Sao Tome and Principe",,,,,,"missing_MAP_no_estimate",,2005,2020
"SWZ","Swaziland",2.77619052188256,29921.759765625,1091849.625,0.0274046526925583,3.41097036230872,"estimated",TRUE,2005,2020
"TCD","Chad",17.2544300153994,15540183,16497859,0.941951498070144,17.2067331734834,"estimated",TRUE,2005,2020
"TGO","Togo",54.7789048030301,8690035,8690035,1,54.5896152872462,"estimated",FALSE,2005,2020
"TZA","Tanzania",21.5102815877522,56146192,57136840,0.982661834291151,21.4588610775067,"estimated",FALSE,2005,2020
"UGA","Uganda",41.7907617391782,41922696,43130096,0.972005626882908,41.7957530331035,"estimated",FALSE,2005,2020
"ZMB","Zambia",20.8670520447216,18732428,18732522,0.999994981989078,20.7636969717679,"estimated",FALSE,2005,2020
"ZWE","Zimbabwe",4.09485353977597,14232977,14327908,0.993374399109765,4.06375440550993,"estimated",FALSE,2005,2020
