"age_band","start_month","end_month","cumulative_hazard","death_probability","counterfactual_death_probability","survival_end","counterfactual_survival_end"
"<1",0,0.919917864476386,0.0297897684714031,0.029350426756517,0.0326975821425891,0.970649573243483,0.967302417857411
"1-5",0.919917864476386,6,0.0212032146940011,0.0209800068951381,0.0195130730791395,0.950285338504072,0.948427375088131
"6-11",6,12,0.0228231774918015,0.0225646989446315,0.0146526716315326,0.92884243592923,0.934530380194608
"12-23",12,24,0.0177444508400306,0.0175879451419971,0.0092211011279523,0.912506006120548,0.92591298105169
"24-35",24,36,0.0124557720558475,0.0123785200043919,0.00527596519910617,0.901210532269657,0.921027896386261
"36-47",36,48,0.0124557720558475,0.0123785200043919,0.00678993246017983,0.890054879667788,0.914774179175856
"48-59",48,60,0.0124557720558475,0.0123785200043919,0.00780430910115441,0.879037317534814,0.907634998723813
