"iso3","age_band","draw","log_hr_zero_vs_current","variance"
"AGO","<1",10,0.036192771596348,0.000215947101728812
"AGO","1-5",10,-0.0240075573082253,0.000346204023899686
"AGO","6-11",10,-0.23333122411906,0.00247937984766273
"AGO","12-23",10,-0.483635520198297,0.00383569340759857
"AGO","24-35",10,-0.740884666613477,0.00499409160012121
"AGO","36-47",10,-0.552252665713615,0.00657477941671589
"AGO","48-59",10,-0.575442283061853,0.00983536955232767
"BDI","<1",10,0.0588472882298873,0.000562967114523349
"BDI","1-5",10,-0.0390531559926572,0.000914374163261017
"BDI","6-11",10,-0.323580031212651,0.00322474518590016
"BDI","12-23",10,-0.6061934299457,0.00418749504208697
"BDI","24-35",10,-0.874693384914646,0.00523031671323557
"BDI","36-47",10,-0.698265325130095,0.00708102793865987
"BDI","48-59",10,-0.561987668807633,0.0101679932492728
"BEN","<1",10,0.102056736019738,0.00166896834576862
"BEN","1-5",10,-0.0677363181219786,0.00274876869443338
"BEN","6-11",10,-0.417752472279108,0.00421526409280911
"BEN","12-23",10,-0.634778837476477,0.00544010147985865
"BEN","24-35",10,-0.85045506616617,0.00678099258430156
"BEN","36-47",10,-0.626129623442493,0.00902362468549776
"BEN","48-59",10,-0.45471445248709,0.013195464718054
"BFA","<1",10,0.0955926405632716,0.00146573489373987
"BFA","1-5",10,-0.0634465072351626,0.0024113490644538
"BFA","6-11",10,-0.407956287737829,0.00397642876649758
"BFA","12-23",10,-0.632893375161523,0.00502653811239359
"BFA","24-35",10,-0.85593875598365,0.00623939792032322
"BFA","36-47",10,-0.645912725851302,0.00833249532941024
"BFA","48-59",10,-0.457544871854329,0.0120540197881183
"BWA","<1",10,0.000133240979989967,2.97098592155456e-09
"BWA","1-5",10,-8.83455423448337e-05,4.69876652853191e-09
"BWA","6-11",10,-0.000953333502742574,5.66054024552859e-08
"BWA","12-23",10,-0.00208712364101999,9.59999848824778e-08
"BWA","24-35",10,-0.00330474931355543,1.27150402464972e-07
"BWA","36-47",10,-0.00235453759607694,1.65786382182412e-07
"BWA","48-59",10,-0.0028054252655403,2.55499510717491e-07
"CAF","<1",10,0.102681008450584,0.001689315731318
"CAF","1-5",10,-0.0681506246271898,0.00278253755985067
"CAF","6-11",10,-0.418628452552524,0.00423871811278438
"CAF","12-23",10,-0.635100947945114,0.00547764760514772
"CAF","24-35",10,-0.850036182622491,0.00682885495428591
"CAF","36-47",10,-0.624428033324047,0.00908599874653819
"CAF","48-59",10,-0.454601905514711,0.0132965919801681
"CIV","<1",10,0.111493684768096,0.00199018215402002
"CIV","1-5",10,-0.0739997296739603,0.0032815191084435
"CIV","6-11",10,-0.429753758478628,0.00456894465343112
"CIV","12-23",10,-0.642934420197193,0.00591677066237233
"CIV","24-35",10,-0.846696478884286,0.00735604774327573
"CIV","36-47",10,-0.605736616745841,0.00980872326948606
"CIV","48-59",10,-0.455541017199686,0.014405598507956
"CMR","<1",10,0.0873851615846224,0.00122714852452329
"CMR","1-5",10,-0.0579997921021916,0.00201501649572385
"CMR","6-11",10,-0.393525380109033,0.003720475091076
"CMR","12-23",10,-0.632560309870152,0.0045611335412319
"CMR","24-35",10,-0.864589629494846,0.00561394354473613
"CMR","36-47",10,-0.673097367558179,0.00755965378765823
"CMR","48-59",10,-0.466467108745754,0.0107718055716463
"COD","<1",10,0.115903260054873,0.00215034850017467
"COD","1-5",10,-0.076926733799576,0.0035468336141255
"COD","6-11",10,-0.434511372438635,0.00475191898467948
"COD","12-23",10,-0.649018506206797,0.00610204252500933
"COD","24-35",10,-0.846719929028568,0.00755929161238256
"COD","36-47",10,-0.599902584777893,0.0101201576473586
"COD","48-59",10,-0.457651191343636,0.0148395070466993
"COG","<1",10,0.0590602522945341,0.000566987684523771
"COG","1-5",10,-0.0391946090640443,0.000920998534582912
"COG","6-11",10,-0.32424097459303,0.00322882795873158
"COG","12-23",10,-0.60675692384589,0.00418702437964222
"COG","24-35",10,-0.874999698527145,0.00522772624902593
"COG","36-47",10,-0.698837365621124,0.00707923762238011
"COG","48-59",10,-0.561052009409402,0.0101632624887029
"COM","<1",10,0.00269015072588956,1.21098325894375e-06
"COM","1-5",10,-0.00178371060712211,1.91539032872698e-06
"COM","6-11",10,-0.0192377362600113,2.30150682687941e-05
"COM","12-23",10,-0.0421061866867208,3.90184410261335e-05
"COM","24-35",10,-0.0666609991877834,5.1676123251658e-05
"COM","36-47",10,-0.0475037098664849,6.73804613947882e-05
"COM","48-59",10,-0.0565677479152198,0.000103829592969269
"DJI","<1",10,0.000324630138448347,1.76360867353626e-08
"DJI","1-5",10,-0.000215246287476892,2.78923985173731e-08
"DJI","6-11",10,-0.0023227023130355,3.3600718750078e-07
"DJI","12-23",10,-0.00508505610243003,5.69849640099531e-07
"DJI","24-35",10,-0.00805166025795621,7.54756018419982e-07
"DJI","36-47",10,-0.00573658515816918,9.84096824700372e-07
"DJI","48-59",10,-0.00683508589766387,1.5166260214582e-06
"ERI","<1",10,0.000475639498690794,3.78599260934008e-08
"ERI","1-5",10,-0.000315373182018622,5.9877539925284e-08
"ERI","6-11",10,-0.00340313439309061,7.21289265799093e-07
"ERI","12-23",10,-0.00745039993870073,1.22326004967271e-06
"ERI","24-35",10,-0.011796910643637,1.62018531492292e-06
"ERI","36-47",10,-0.00840499875708203,2.11249716860076e-06
"ERI","48-59",10,-0.0100143858789333,3.25563702428979e-06
"ETH","<1",10,0.018520156216444,5.71508733529302e-05
"ETH","1-5",10,-0.01228112846014,9.07412425750899e-05
"ETH","6-11",10,-0.129088895796721,0.000961313816811537
"ETH","12-23",10,-0.278981608641045,0.0015998010762006
"ETH","24-35",10,-0.438413213474749,0.00211195929727507
"ETH","36-47",10,-0.315615019941974,0.00275826326864886
"ETH","48-59",10,-0.365026775737105,0.00422341390166983
"GAB","<1",10,0.0244430409371883,9.9248084927991e-05
"GAB","1-5",10,-0.0162100258508024,0.000158014374319415
"GAB","6-11",10,-0.167009984407825,0.00151595825759238
"GAB","12-23",10,-0.35727223763066,0.00248242591302399
"GAB","24-35",10,-0.558046728985587,0.00326765523084212
"GAB","36-47",10,-0.405094172926726,0.00427423756830362
"GAB","48-59",10,-0.457278344387672,0.00650947660423979
"GHA","<1",10,0.0602136035544803,0.000589006261819942
"GHA","1-5",10,-0.0399606694386439,0.000957289253616442
"GHA","6-11",10,-0.327772947023328,0.00325059108827741
"GHA","12-23",10,-0.609664079013178,0.00418475238203413
"GHA","24-35",10,-0.876461042669502,0.00521427251089953
"GHA","36-47",10,-0.701696352837586,0.00706994105616598
"GHA","48-59",10,-0.555903719979716,0.0101387453151189
"GIN","<1",10,0.0772491274636446,0.000962150036652606
"GIN","1-5",10,-0.0512723959806777,0.00157488862092614
"GIN","6-11",10,-0.372412341193853,0.00351636224884097
"GIN","12-23",10,-0.630961277368455,0.00425524516950712
"GIN","24-35",10,-0.874571895145397,0.00521101728870253
"GIN","36-47",10,-0.700814460636116,0.00708839399756989
"GIN","48-59",10,-0.488096694213082,0.0100403556088786
"GMB","<1",10,0.0122485385745081,2.50583371847133e-05
"GMB","1-5",10,-0.00812178548261155,3.96999523185929e-05
"GMB","6-11",10,-0.0866505560237612,0.000452489159993971
"GMB","12-23",10,-0.188655583344266,0.000761371019333901
"GMB","24-35",10,-0.297757547258791,0.00100705702154605
"GMB","36-47",10,-0.213083578646155,0.00131394170028088
"GMB","48-59",10,-0.250707167374018,0.00201945633675422
"GNB","<1",10,0.00985520475714093,1.62334115089801e-05
"GNB","1-5",10,-0.00653470020448079,2.57029501215573e-05
"GNB","6-11",10,-0.0700003009030858,0.000298788664736706
"GNB","12-23",10,-0.152706292710567,0.000504186009030815
"GNB","24-35",10,-0.241296120356138,0.000667209890879078
"GNB","36-47",10,-0.172405176442331,0.000870317727099311
"GNB","48-59",10,-0.203766276591002,0.00133894373387295
"GNQ","<1",10,0.0609910611306691,0.000604081299609625
"GNQ","1-5",10,-0.0404770507985497,0.000982147645763099
"GNQ","6-11",10,-0.33010966902535,0.0032649340940975
"GNQ","12-23",10,-0.611489956696218,0.00418350851893846
"GNQ","24-35",10,-0.877267326319782,0.00520579223394164
"GNQ","36-47",10,-0.703397585381636,0.00706408526576981
"GNQ","48-59",10,-0.552371546483115,0.0101232556693906
"KEN","<1",10,0.021900256473424,7.9783526400356e-05
"KEN","1-5",10,-0.0145231737263453,0.000126865318894661
"KEN","6-11",10,-0.151031719772844,0.00127480426926488
"KEN","12-23",10,-0.324641991233945,0.00210369998629771
"KEN","24-35",10,-0.508533093908515,0.00277300430603246
"KEN","36-47",10,-0.36770783954721,0.00362447379439935
"KEN","48-59",10,-0.419871393033434,0.0055340616731212
"LBR","<1",10,0.0761078042791322,0.000934338155599017
"LBR","1-5",10,-0.0505147781761596,0.00152873332508894
"LBR","6-11",10,-0.369795461096671,0.00349915533120463
"LBR","12-23",10,-0.630461869804312,0.00423898245786686
"LBR","24-35",10,-0.875467841212791,0.00519202913065114
"LBR","36-47",10,-0.703039164765251,0.00706794902665784
"LBR","48-59",10,-0.491396283743533,0.0100154312053207
"MDG","<1",10,0.0299131185070404,0.0001481436783343
"MDG","1-5",10,-0.0198395090121393,0.000236577634758696
"MDG","6-11",10,-0.199571280798768,0.00201379877533458
"MDG","12-23",10,-0.421579018450736,0.00322757790431385
"MDG","24-35",10,-0.653477770955154,0.00423156447453514
"MDG","36-47",10,-0.479348363117981,0.00554755417143125
"MDG","48-59",10,-0.524557667258558,0.00839002178647371
"MLI","<1",10,0.0692619936717153,0.000776025832423707
"MLI","1-5",10,-0.0459698181775018,0.00126630193490348
"MLI","6-11",10,-0.353034999793109,0.0034010681461787
"MLI","12-23",10,-0.625173824846446,0.00418828411049811
"MLI","24-35",10,-0.879164574945438,0.00515217408758322
"MLI","36-47",10,-0.710638093076539,0.00702647429075617
