"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction"
"AGO","Angola",20.1035553415068,"estimated",0.998084957706995,FALSE,96551.420798192,76688.8998361927,19862.5209619992,0.205719613422521
"BDI","Burundi",32.7108667147613,"estimated",0.903118502531811,TRUE,39965.5290915807,30977.07557748,8988.45351410074,0.224905154977525
"BEN","Benin",56.789331963267,"estimated",1,FALSE,35764.568969811,27859.9771350277,7904.59183478326,0.221017394099047
"BFA","Burkina Faso",53.1839944402602,"estimated",1,FALSE,88292.8538201055,65755.7972660321,22537.0565540734,0.255253461395552
"BWA","Botswana",0.0739687942020688,"estimated",0.500006041684288,TRUE,2386.55814676258,2384.81947471289,1.73867204968782,0.000728527001131889
"CAF","Central African Republic",57.137610295232,"estimated",1,FALSE,27492.8570841914,21870.3257637156,5622.53132047576,0.204508803987082
"CIV","Cote d'Ivoire",62.0559536355424,"estimated",0.999044906250652,FALSE,80769.9833548922,66008.4135667903,14761.5697881019,0.182760589701271
"CMR","Cameroon",48.6084683420969,"estimated",0.994188327616715,FALSE,89440.1172170792,67835.4201188089,21604.6970982703,0.24155488354106
"COD","Democratic Republic of the Congo",64.5181086884157,"estimated",0.967925701459564,FALSE,291364.155661708,224160.929725777,67203.225935931,0.230650286351483
"COG","Congo",32.8294542135053,"estimated",0.999999884856155,FALSE,10371.3261694714,8236.35954859029,2134.96662088112,0.205852808598916
"COM","Comoros",1.49344288730066,"estimated",0.977875023773357,FALSE,1294.11415854412,1275.45200715931,18.6621513848081,0.0144207922165097
"CPV","Cape Verde",,"missing_MAP_no_estimate",,,487.882790929841,,,
"DJI","Djibouti",0.180218583070353,"estimated",0.900748542924068,TRUE,1827.74449858499,1825.15859610637,2.58590247861657,0.00141480523159475
"ERI","Eritrea",0.264051516629705,"estimated",0.951453885431987,FALSE,12881.6351925552,12821.0578581226,60.5773344326115,0.00470261217051244
"ETH","Ethiopia",10.282958677834,"estimated",0.827728262514435,TRUE,324374.02190096,292262.399675384,32111.6222255763,0.0989956656744257
"GAB","Gabon",13.5729851145187,"estimated",0.999284909726468,FALSE,2434.17926397405,2131.83279917514,302.346464798908,0.124208791551899
"GHA","Ghana",33.4717058296969,"estimated",0.999730304961018,FALSE,57379.9146584327,46566.2943884285,10813.6202700042,0.188456541533301
