"iso3","country","pfpr_pct","status","map_population_coverage_within_raster","map_coverage_below_95pct","ihme_under5_deaths","counterfactual_under5_deaths","attributable_under5_deaths","attributable_fraction","ihme_malaria_deaths","ihme_malaria_lower","ihme_malaria_upper","comparison_status","model_to_ihme_ratio","difference_deaths","year","age","sex"
"AGO","Angola",20.1035553415068,"estimated",0.998084957706995,FALSE,96551.420798192,76688.8998361927,19862.5209619992,0.205719613422521,17036.3618753842,7290.7600672017,28750.3011571636,"matched",1.16588982479285,2826.15908661504,2005,"Under 5","Both"
"BDI","Burundi",32.7108667147613,"estimated",0.903118502531811,TRUE,39965.5290915807,30977.07557748,8988.45351410074,0.224905154977525,9544.83585622456,4753.17790154517,15422.5962481895,"matched",0.941708547899125,-556.382342123825,2005,"Under 5","Both"
"BEN","Benin",56.789331963267,"estimated",1,FALSE,35764.568969811,27859.9771350277,7904.59183478326,0.221017394099047,7882.71211201263,4802.29043439565,12029.7489685277,"matched",1.0027756592477,21.8797227706291,2005,"Under 5","Both"
"BFA","Burkina Faso",53.1839944402602,"estimated",1,FALSE,88292.8538201055,65755.7972660321,22537.0565540734,0.255253461395552,24966.6794975544,15224.0153965236,37498.0308123815,"matched",0.902685379378584,-2429.622943481,2005,"Under 5","Both"
"BWA","Botswana",0.0739687942020688,"estimated",0.500006041684288,TRUE,2386.55814676258,2384.81947471289,1.73867204968782,0.000728527001131889,1.01106893548783,0.368797806480741,2.1425477237441,"matched",1.71963749321299,0.727603114199988,2005,"Under 5","Both"
"CAF","Central African Republic",57.137610295232,"estimated",1,FALSE,27492.8570841914,21870.3257637156,5622.53132047576,0.204508803987082,3752.68743335549,1951.50149098123,6959.78367766211,"matched",1.4982679533873,1869.84388712027,2005,"Under 5","Both"
"CIV","Cote d'Ivoire",62.0559536355424,"estimated",0.999044906250652,FALSE,80769.9833548922,66008.4135667903,14761.5697881019,0.182760589701271,18927.1407480006,11696.9255840823,26600.9797857946,"matched",0.779915465555002,-4165.57095989866,2005,"Under 5","Both"
"CMR","Cameroon",48.6084683420969,"estimated",0.994188327616715,FALSE,89440.1172170792,67835.4201188089,21604.6970982703,0.24155488354106,20518.3763959582,11621.4604108647,31588.0308396267,"matched",1.05294379444789,1086.3207023121,2005,"Under 5","Both"
"COD","Democratic Republic of the Congo",64.5181086884157,"estimated",0.967925701459564,FALSE,291364.155661708,224160.929725777,67203.225935931,0.230650286351483,90901.2946546033,63773.9163410782,119408.616595031,"matched",0.739298886680133,-23698.0687186723,2005,"Under 5","Both"
"COG","Congo",32.8294542135053,"estimated",0.999999884856155,FALSE,10371.3261694714,8236.35954859029,2134.96662088112,0.205852808598916,1798.4947973644,805.707757613728,3130.27050618293,"matched",1.18708523594831,336.47182351672,2005,"Under 5","Both"
"COM","Comoros",1.49344288730066,"estimated",0.977875023773357,FALSE,1294.11415854412,1275.45200715931,18.6621513848081,0.0144207922165097,6.01667570728837,2.65543281730706,12.0400084860805,"matched",3.10173795177318,12.6454756775197,2005,"Under 5","Both"
"CPV","Cape Verde",,"missing_MAP_no_estimate",,,487.882790929841,,,,0.360636598851271,0.130298121180369,0.752052877560783,"missing_model_MAP",,,2005,"Under 5","Both"
"DJI","Djibouti",0.180218583070353,"estimated",0.900748542924068,TRUE,1827.74449858499,1825.15859610637,2.58590247861657,0.00141480523159475,3.15105029062501,1.49407759394494,5.61310194637584,"matched",0.820647796802905,-0.56514781200844,2005,"Under 5","Both"
"ERI","Eritrea",0.264051516629705,"estimated",0.951453885431987,FALSE,12881.6351925552,12821.0578581226,60.5773344326115,0.00470261217051244,20.5491549999896,9.47626108625083,37.6585521891437,"matched",2.94792337848648,40.0281794326219,2005,"Under 5","Both"
"ETH","Ethiopia",10.282958677834,"estimated",0.827728262514435,TRUE,324374.02190096,292262.399675384,32111.6222255763,0.0989956656744257,31593.2561718979,11813.9285156136,57261.4406289013,"matched",1.01640749060046,518.366053678415,2005,"Under 5","Both"
"GAB","Gabon",13.5729851145187,"estimated",0.999284909726468,FALSE,2434.17926397405,2131.83279917514,302.346464798908,0.124208791551899,247.587005011858,103.504170095367,478.896769542397,"matched",1.22117259257782,54.7594597870503,2005,"Under 5","Both"
"GHA","Ghana",33.4717058296969,"estimated",0.999730304961018,FALSE,57379.9146584327,46566.2943884285,10813.6202700042,0.188456541533301,14365.2438310093,8127.69789461179,19475.8755531422,"matched",0.752762737424726,-3551.62356100508,2005,"Under 5","Both"
"GIN","Guinea",42.9604000479577,"estimated",0.996935005435981,FALSE,47244.174690902,36406.2023727827,10837.9723181194,0.229403357959526,9581.37694548418,5525.43144164255,15121.0485192815,"matched",1.13114976895126,1256.59537263522,2005,"Under 5","Both"
"GMB","The Gambia",6.80021050223797,"estimated",0.99989435444155,FALSE,5244.84227075379,4855.83107112183,389.011199631958,0.0741702380262523,309.032888877776,150.944014419297,588.030548828626,"matched",1.25880193866943,79.9783107541821,2005,"Under 5","Both"
"GNB","Guinea-Bissau",5.47134440577292,"estimated",0.996068689009789,FALSE,7767.2498258756,7229.13012266303,538.119703212563,0.0692805967718312,322.64768526346,105.57616937191,743.740961579035,"matched",1.66782446547899,215.472017949103,2005,"Under 5","Both"
"GNQ","Equatorial Guinea",33.9046533846217,"estimated",0.967788791016353,FALSE,2828.61147410932,2297.60650589956,531.004968209761,0.187726371426449,795.294411262496,482.247013730519,1092.84820658087,"matched",0.667683515299464,-264.289443052735,2005,"Under 5","Both"
"KEN","Kenya",12.1603957572431,"estimated",0.822215895130027,TRUE,82551.3260242614,72808.4563982141,9742.86962604728,0.118021963974072,5380.61737522306,2270.7169976779,9695.26329947088,"matched",1.81073452108149,4362.25225082422,2005,"Under 5","Both"
"LBR","Liberia",42.3245620053839,"estimated",0.999979141849584,FALSE,18341.6145030929,14595.39719598,3746.21730711296,0.204246867498019,4318.96062855385,2127.67177073757,6790.74275244227,"matched",0.867388621777582,-572.743321440886,2005,"Under 5","Both"
"LSO","Lesotho",,"missing_MAP_no_estimate",0,TRUE,4720.58173459788,,,,,,,"missing_model_MAP",,,2005,"Under 5","Both"
"MDG","Madagascar",16.612555436176,"estimated",0.965066759112986,FALSE,62155.6370120645,52126.1072387925,10029.529773272,0.161361547486437,5743.20514220464,2496.2117982361,10514.6924745636,"matched",1.74632971049019,4286.32463106736,2005,"Under 5","Both"
"MLI","Mali",38.5111391906618,"estimated",0.977670801796849,FALSE,87830.0017542328,66783.7597623656,21046.2419918672,0.239624747483885,19914.3514175643,10910.3034039324,31056.7382292981,"matched",1.05683793313523,1131.89057430293,2005,"Under 5","Both"
"MOZ","Mozambique",44.2928156950409,"estimated",0.999790945132115,FALSE,99135.6037445078,79275.1452910246,19860.4584534832,0.200336283871005,12272.1178087967,6090.24512929792,20196.3598279621,"matched",1.61833994449167,7588.34064468655,2005,"Under 5","Both"
"MRT","Mauritania",4.08661106779518,"estimated",0.840119682930452,TRUE,7861.39012005786,7566.84814406513,294.541975992732,0.0374669074418818,254.427955607677,109.374497394553,554.461391466303,"matched",1.15766357234309,40.1140203850549,2005,"Under 5","Both"
"MWI","Malawi",32.2108258478265,"estimated",0.999764978481837,FALSE,61511.0868799982,47519.6691758905,13991.4177041077,0.227461721354453,8465.6610118672,4265.72620307183,14003.0279394346,"matched",1.65272595778339,5525.7566922405,2005,"Under 5","Both"
"NAM","Namibia",4.5353951282014,"estimated",0.611389973186959,TRUE,3618.4787922097,3440.87168445152,177.607107758173,0.0490833629149762,68.1857539029271,32.9175545604104,125.439462962361,"matched",2.60475389054177,109.421353855246,2005,"Under 5","Both"
"NER","Niger",26.7916282649868,"estimated",0.952363358910006,FALSE,124960.908948674,89536.6635985218,35424.2453501521,0.283482615869112,19061.3616023064,9654.6797381422,32127.2243862646,"matched",1.85843205166759,16362.8837478457,2005,"Under 5","Both"
"NGA","Nigeria",44.911076588637,"estimated",0.999968748812492,FALSE,913193.381854744,685768.163898826,227425.217955917,0.249043874468302,141101.592555906,75822.6876554382,219514.997743328,"matched",1.61178349468882,86323.6254000106,2005,"Under 5","Both"
"RWA","Rwanda",4.897431879853,"estimated",0.814603360177058,TRUE,38267.9806795348,35637.6152290502,2630.36545048459,0.0687354128380042,2841.50458808531,853.088739680553,5918.52901862954,"matched",0.925694599091605,-211.139137600722,2005,"Under 5","Both"
"SEN","Senegal",5.44994687087531,"estimated",0.99558981120801,FALSE,38522.3642175266,35846.952395963,2675.41182156364,0.0694508729125821,4355.85191330994,2197.47131314601,7820.046093107,"matched",0.614210922411878,-1680.4400917463,2005,"Under 5","Both"
"SLE","Sierra Leone",40.7926668056115,"estimated",0.99816935916103,FALSE,37841.2524673904,29179.3097490561,8661.94271833422,0.22890211484936,6759.19690523862,3530.51069974414,11816.4564491975,"matched",1.28150471716853,1902.7458130956,2005,"Under 5","Both"
"SOM","Somalia",9.00565355096317,"estimated",0.983183349547194,FALSE,91196.349563142,79758.9194598662,11437.4301032758,0.12541543776768,2834.75713714953,1151.26616604835,5609.96408931935,"matched",4.03471251677547,8602.67296612627,2005,"Under 5","Both"
"SSD","South Sudan",35.4180105817913,"estimated",0.998944588913762,FALSE,37611.7230423069,29602.7661044969,8008.95693781006,0.212937783488444,4727.21749013014,2484.79273928982,8413.8609040286,"matched",1.69422222576638,3281.73944767992,2005,"Under 5","Both"
"STP","Sao Tome and Principe",,"missing_MAP_no_estimate",,,413.742464346307,,,,39.3306059836189,18.892775077316,69.0045975966609,"missing_model_MAP",,,2005,"Under 5","Both"
"SWZ","Swaziland",2.77619052188256,"estimated",0.0274046526925583,TRUE,3247.7077903365,3150.63008495226,97.0777053842447,0.0298911452788634,2.47884157083843,0.978373240625249,4.82450548902462,"matched",39.1625291935901,94.5988638134063,2005,"Under 5","Both"
"TCD","Chad",17.2544300153994,"estimated",0.941951498070144,TRUE,77646.949864827,61832.4447201678,15814.5051446591,0.203671942969944,3943.23764594159,2130.24900254453,7047.3119570013,"matched",4.01053818324531,11871.2674987175,2005,"Under 5","Both"
"TGO","Togo",54.7789048030301,"estimated",1,FALSE,22148.2394810415,17205.1291217999,4943.11035924155,0.223182992195509,3282.74509670263,1772.34630061741,5639.7444662604,"matched",1.50578561954344,1660.36526253892,2005,"Under 5","Both"
"TZA","Tanzania",21.5102815877522,"estimated",0.982661834291151,FALSE,143205.034385894,117514.97576212,25690.0586237737,0.179393543906751,17905.7678371295,7869.53695530403,30870.3112827711,"matched",1.43473649705782,7784.2907866442,2005,"Under 5","Both"
"UGA","Uganda",41.7907617391782,"estimated",0.972005626882908,FALSE,137915.902947265,107043.871399935,30872.0315473302,0.223846785523601,44154.0043335441,28040.2489752461,58578.6429297608,"matched",0.699189847292661,-13281.9727862139,2005,"Under 5","Both"
"ZMB","Zambia",20.8670520447216,"estimated",0.999994981989078,FALSE,52399.2411670659,41718.049636482,10681.1915305839,0.203842484980437,3742.04847209806,1664.01425679106,6361.10714057421,"matched",2.85437016923387,6939.14305848584,2005,"Under 5","Both"
"ZWE","Zimbabwe",4.09485353977597,"estimated",0.993374399109765,FALSE,28517.2506942995,27168.286003581,1348.96469071842,0.0473034622158745,363.485138105732,152.291436374686,718.4627490993,"matched",3.71119627544725,985.479552612688,2005,"Under 5","Both"
