"country","surveys","first_year","last_year","survey_regions","mothers"
"AGO",2,2015,2023,36,19481
"BDI",2,2010,2016,22,14990
"BEN",3,2014,2021,36,31756
"BFA",3,2003,2021,39,31308
"CAF",1,2019,2019,6,6332
"CIV",3,2012,2021,35,23317
"CMR",4,2004,2018,46,27800
"COD",4,2007,2023,74,50935
"COG",3,2005,2015,28,19474
"COM",2,2012,2022,6,5909
"ETH",5,2005,2024,58,42125
"GAB",2,2012,2019,21,10707
"GHA",5,2008,2022,56,31328
"GIN",4,2005,2018,32,24472
"GMB",3,2013,2019,24,21444
"GNB",2,2014,2019,16,13296
"KEN",9,2003,2022,81,54164
"LBR",3,2007,2019,16,16892
"MDG",3,2004,2021,51,27545
"MLI",5,2006,2023,41,49741
"MOZ",4,2003,2022,44,34806
"MRT",3,2011,2020,35,22812
"MWI",7,2004,2024,21,105902
"NAM",2,2006,2013,22,9155
"NER",2,2006,2012,16,15166
"NGA",6,2003,2024,36,118255
"RWA",4,2005,2019,20,29130
"SEN",11,2005,2023,78,73427
"SLE",4,2008,2019,17,35939
"SWZ",4,2006,2021,12,7298
"TCD",2,2014,2019,41,27643
"TGO",2,2013,2017,11,9870
"TZA",4,2004,2022,34,30660
"UGA",3,2006,2016,32,21482
"ZAF",1,2016,2016,6,3179
"ZMB",4,2007,2024,39,33390
"ZWE",4,2010,2019,39,22426
