"age_band","records","deaths","distinct_children","gamma","input_columns_verified","model_md5_verified","reference_md5_verified","input_signature_verified","formula_verified","unweighted","knots_verified","compact_contrasts_verified","min_hessian_eigenvalue","max_smoothing_gradient","sum_fitted_death_probabilities"
"<1",1042571,30086,1042571,2,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.000109699762217206,0.000109580474469636,30091.6012884471
"1-5",935677,12137,935677,2,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.00021675041009273,0.000216728381537136,12137.7508682971
"6-11",895573,11291,895573,2,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.275006751335292,1.93083143287254e-05,11291.8312262724
"12-23",772578,11062,772578,2,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.359751517868746,2.42318529330987e-05,11065.62009341
"24-35",768240,9168,768240,2,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.171381452777479,1.78807855135688e-05,9170.73832976118
"36-47",744682,5477,744682,2,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8.71066529557906e-05,9.73573801310579e-05,5477.49124656669
"48-59",725701,3194,725701,2,18,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.80631586326592e-05,9.93939033362311e-05,3194.08143579112
