"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit","previous_deaths","change_deaths","change_pct"
"AGO","Angola",2005,"map_full",20.1035553415068,"MAP","estimated",96551.420798192,26863.9964684062,69687.4243297858,0.278235123277536,17036.3618753842,0.998084957706995,FALSE,TRUE,FALSE,26468.2303330904,395.7661353158,1.49524970251228
"BDI","Burundi",2005,"map_full",32.7108667147613,"MAP","estimated",39965.5290915808,13240.1923013543,26725.3367902264,0.331290304477504,9544.83585622456,0.903118502531811,FALSE,TRUE,FALSE,13128.6624378662,111.5298634881,0.849514289943363
"BEN","Benin",2005,"map_full",56.789331963267,"MAP","estimated",35764.568969811,12814.2107767248,22950.3581930861,0.358293449238585,7882.71211201263,1,FALSE,TRUE,FALSE,12856.6397542876,-42.4289775628004,-0.330016072423983
"BFA","Burkina Faso",2005,"map_full",53.1839944402602,"MAP","estimated",88292.8538201055,33862.8294232545,54430.024396851,0.383528541191444,24966.6794975544,1,FALSE,TRUE,FALSE,33944.5040185557,-81.6745953011996,-0.240612133429766
"BWA","Botswana",2005,"map_full",0.0739687942020688,"MAP","estimated",2386.55814676257,2.83608226982943,2383.72206449274,0.00118835666069006,1.01106893548783,0.500006041684288,FALSE,TRUE,FALSE,2.75486107658518,0.0812211932442501,2.94828635587421
"CAF","Central African Republic",2005,"map_full",57.137610295232,"MAP","estimated",27492.8570841914,9482.88177680295,18009.9753073884,0.344921655387198,3752.68743335549,1,FALSE,TRUE,FALSE,9517.77683548985,-34.8950586869014,-0.366630351709706
"CIV","Cote d'Ivoire",2005,"map_full",62.0559536355424,"MAP","estimated",80769.9833548921,26733.0180706774,54036.9652842147,0.330977139777487,18927.1407480006,0.999044906250652,FALSE,TRUE,FALSE,26792.8135302914,-59.7954596140007,-0.223177232008117
"CMR","Cameroon",2005,"map_full",48.6084683420969,"MAP","estimated",89440.1172170792,33070.7595123307,56369.3577047485,0.369753087779,20518.3763959582,0.994188327616715,FALSE,TRUE,FALSE,33080.1641969166,-9.40468458590476,-0.0284299815742189
"COD","Democratic Republic of the Congo",2005,"map_full",64.5181086884157,"MAP","estimated",291364.155661708,106985.107875366,184379.047786341,0.367186923293279,90901.2946546033,0.967925701459564,FALSE,TRUE,FALSE,107400.386238957,-415.278363591002,-0.386663752462716
"COG","Congo",2005,"map_full",32.8294542135053,"MAP","estimated",10371.3261694714,3280.31069784147,7091.01547162996,0.316286523462857,1798.4947973644,0.999999884856155,FALSE,TRUE,FALSE,3249.91470384476,30.3959939967099,0.935285900296102
