"year","countries","attributable_under5_deaths","counterfactual_under5_deaths","ihme_under5_deaths","ihme_malaria_deaths"
2005,42,1031984.76196083,2363370.52222213,3395355.28418296,564066.526910137
2015,42,725612.628382926,2202394.09656151,2928006.72494444,416121.688943615
2024,42,620071.93904517,2016751.16780758,2636823.10685275,428146.804091449
