"year","countries","attributable_under5_deaths","counterfactual_under5_deaths","ihme_under5_deaths","ihme_malaria_deaths","previous_deaths","change_deaths","change_pct"
2005,42,1031984.76196083,2363370.52222213,3395355.28418296,564066.526910137,1027002.69875007,4982.06321076001,0.485107119662247
2015,42,725612.628382926,2202394.09656151,2928006.72494444,416121.688943615,716519.886413826,9092.74196909997,1.26901459980532
2024,42,620071.93904517,2016751.16780758,2636823.10685275,428146.804091449,611439.57026965,8632.36877552001,1.41181061796721
