"parameter","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"beta_between",0.687006772301947,0.000990780985993987,0.0732657192978245,0.543112889369018,0.637773022338252,0.6868126605874,0.736811371298549,0.827725333955143,5468.22414868789,1.0000512343171
"beta_within",0.362906734275978,0.000387575812916244,0.0305626638290269,0.303349388744416,0.34152380221803,0.363337611532568,0.383911521784665,0.422748265993437,6218.26284613374,0.999426797313731
"country_c_sd",0.1681808106798,0.00283240211695897,0.122822725025241,0.00638855792510492,0.0679666522958675,0.147136293092015,0.245643304100798,0.452328435308674,1880.38871771841,1.00039993279441
"sigma_c",0.940273898595221,0.00139233163708955,0.07209123196618,0.809871281987574,0.89094868341712,0.935765471187728,0.986146280435002,1.09235388121504,2680.89319033858,1.00047339536645
"rho_c",0.982165357401831,5.33155170397028e-05,0.0027694141342262,0.97633068488872,0.980407118599109,0.982351303793871,0.984113400943266,0.987058332292973,2698.16533465726,1.0005179851092
