"parameter","mean","se_mean","sd","X2.5.","X25.","X50.","X75.","X97.5.","n_eff","Rhat"
"beta_between",0.685262994065432,0.001096386197392,0.072670074722648,0.546292488513823,0.636455460141741,0.684777029691225,0.734463909628217,0.826821090832515,4393.23155713429,0.999720334783023
"beta_within",0.36346295357552,0.000403850833581098,0.029138594967744,0.306339905322841,0.344089223979259,0.364043090937778,0.382360152387076,0.421743138205079,5205.89310337511,0.999927747323787
"country_c_sd",0.166965642075006,0.00325731296708712,0.123270020142519,0.00662814000834571,0.0672740062591815,0.144202612846119,0.242973162022263,0.456167705673289,1432.17456836406,1.00230531481871
"sigma_c",0.940269444112574,0.00138945068689253,0.0710220559373082,0.812413069881572,0.890272471634999,0.93607865890178,0.984807166542853,1.09151528191418,2612.76412623045,1.0011524480907
"rho_c",0.982170626117072,5.4269439510994e-05,0.00271439623883637,0.976463108852556,0.980499991781693,0.982311735627823,0.98407335242043,0.987012936388282,2501.70339090722,1.00097073601306
