"survey","country","records","deaths","eligible_rows","pfpr_available_rows","complete_case_rows","complete_case_deaths","excluded_incomplete"
"AO62FL","AGO",0,0,44181,44181,0,0,44181
"AO71FL","AGO",78397,812,78397,78397,78397,812,0
"AO81FL","AGO",64704,498,64704,64704,64704,498,0
"BU61FL","BDI",38604,550,42380,38604,38604,550,0
"BU71FL","BDI",76022,835,76022,76022,76022,835,0
"BJ41FL","BEN",0,0,7397,1588,0,0,1588
"BJ51FL","BEN",0,0,88834,88834,0,0,88834
"BJ61FL","BEN",0,0,78271,78171,0,0,78171
"BJ71FL","BEN",74813,1085,74813,74813,74813,1085,0
"BF43FL","BFA",27893,729,41968,40778,27893,729,12885
"BF62FL","BFA",84743,1610,84743,84743,84743,1610,0
"BF81FL","BFA",74127,543,74127,74127,74127,543,0
"CI62FL","CIV",39785,719,42723,39785,39785,719,0
"CI81FL","CIV",61165,765,61165,61165,61165,765,0
"CM44FL","CMR",28896,623,38707,38707,28896,623,9811
"CM61FL","CMR",64649,1151,64649,64649,64649,1151,0
"CM71FL","CMR",45974,613,55451,45974,45974,613,0
"CD51FL","COD",47647,1125,47647,47647,47647,1125,0
"CD61FL","COD",102125,1686,102125,102125,102125,1686,0
"CD81FL","COD",137621,2043,137621,137621,137621,2043,0
"CG51FL","COG",20274,347,25794,25794,20274,347,5520
"CG61FL","COG",51029,536,51029,51029,51029,536,0
"KM61FL","COM",17998,129,17998,17998,17998,129,0
"ET41FL","ETH",0,0,468,468,0,0,468
"ET51FL","ETH",43574,737,57107,57107,43574,737,13533
"ET61FL","ETH",68312,958,68467,68312,68312,958,0
"ET71FL","ETH",62705,711,62705,62705,62705,711,0
"ET81FL","ETH",33797,362,33797,33797,33797,362,0
"ET8AFL","ETH",76674,606,81174,81174,76674,606,4500
"GA41FL","GAB",0,0,1508,1508,0,0,1508
"GA61FL","GAB",33506,331,33506,33506,33506,331,0
"GA71FL","GAB",36435,291,36435,36435,36435,291,0
"GH4BFL","GHA",0,0,15353,15353,0,0,15353
"GH5AFL","GHA",16772,219,16772,16772,16772,219,0
"GH72FL","GHA",33352,325,33352,33352,33352,325,0
"GH8CFL","GHA",53731,321,53731,53731,53731,321,0
"GN52FL","GIN",27343,655,35908,35908,27343,655,8565
"GN62FL","GIN",39920,733,39920,39920,39920,733,0
"GN71FL","GIN",46902,769,46902,46902,46902,769,0
"GM61FL","GMB",44611,337,44611,44611,44611,337,0
"GM81FL","GMB",49125,486,49125,49125,49125,486,0
"KE42FL","KEN",13800,268,21204,21204,13800,268,7404
"KE52FL","KEN",34075,393,34075,34075,34075,393,0
"KE72FL","KEN",127018,943,127018,127018,127018,943,0
"KE8CFL","KEN",114518,760,114518,114518,114518,760,0
"LB51FL","LBR",0,0,31738,31692,0,0,31692
"LB5AFL","LBR",0,0,22879,22821,0,0,22821
"LB6AFL","LBR",0,0,44084,44084,0,0,44084
"LB7AFL","LBR",0,0,32887,32887,0,0,32887
"MD42FL","MDG",17463,208,24494,24494,17463,208,7031
"MD51FL","MDG",0,0,73129,73129,0,0,73129
"MD81FL","MDG",71503,808,71503,71503,71503,808,0
"ML41FL","MLI",0,0,9937,8987,0,0,8987
"ML53FL","MLI",71384,1985,77894,77894,71384,1985,6510
"ML6AFL","MLI",58732,874,58732,58732,58732,874,0
"ML7AFL","MLI",56215,806,56215,56215,56215,806,0
"ML8AFL","MLI",88584,1112,88689,88689,88584,1112,105
"MZ41FL","MOZ",28619,687,41212,41212,28619,687,12593
"MZ62FL","MOZ",60470,911,60470,60470,60470,911,0
"MZ81FL","MOZ",52833,490,52833,52833,52833,490,0
"MR71FL","MRT",65366,460,68083,65366,65366,460,0
"MW41FL","MWI",0,0,3157,3157,0,0,3157
"MW4EFL","MWI",42840,910,55293,55293,42840,910,12453
"MW61FL","MWI",114288,1793,114288,114288,114288,1793,0
"MW7AFL","MWI",102346,947,102346,102346,102346,947,0
"MW81FL","MWI",67742,432,69348,69348,67742,432,1606
"NM41FL","NAM",0,0,1450,1266,0,0,1266
"NM51FL","NAM",26182,297,29112,26318,26182,297,136
"NM61FL","NAM",24195,209,28225,24195,24195,209,0
"NI51FL","NER",43188,1049,52153,52153,43188,1049,8965
"NI61FL","NER",73120,1251,73120,73120,73120,1251,0
"NG4BFL","NGA",13806,422,20997,20997,13806,422,7191
"NG53FL","NGA",157016,3713,157016,157016,157016,3713,0
"NG61FL","NGA",0,0,32266,32266,0,0,32266
"NG6AFL","NGA",177779,3551,177779,177779,177779,3551,0
"NG7BFL","NGA",195272,3804,195272,195272,195272,3804,0
"NG8BFL","NGA",161445,2495,162398,162020,161445,2495,575
"RW41FL","RWA",0,0,2196,2196,0,0,2196
"RW53FL","RWA",36919,838,46547,46547,36919,838,9628
"RW5AFL","RWA",0,0,30365,30338,0,0,30338
"RW61FL","RWA",53077,608,53077,53077,53077,608,0
"RW70FL","RWA",45739,335,46127,45739,45739,335,0
"RW81FL","RWA",47138,332,47138,47138,47138,332,0
"SN4AFL","SEN",46908,837,59928,59928,46908,837,13020
"SN5AFL","SEN",0,0,87342,87342,0,0,87342
"SN61FL","SEN",68736,824,68736,68736,68736,824,0
"SN6DFL","SEN",38506,388,38506,38506,38506,388,0
"SN71FL","SEN",38866,373,38866,38866,38866,373,0
"SN7AFL","SEN",40157,421,40157,40157,40157,421,0
"SN7IFL","SEN",38822,359,38822,38822,38822,359,0
"SN7ZFL","SEN",71323,643,71323,71323,71323,643,0
"SN81FL","SEN",39314,318,39314,39314,39314,318,0
"SN8BFL","SEN",35351,243,35351,35351,35351,243,0
"SN8SFL","SEN",61934,422,61934,61934,61934,422,0
"SL51FL","SLE",31344,654,31344,31344,31344,654,0
"SL61FL","SLE",68076,1535,68076,68076,68076,1535,0
"SL7AFL","SLE",57080,997,57080,57080,57080,997,0
"ST51FL","STP",0,0,10839,10839,0,0,10839
"SZ51FL","SWZ",10739,201,15464,11268,10739,201,529
"TD41FL","TCD",0,0,29949,29949,0,0,29949
"TD71FL","TCD",106120,1963,110083,106120,106120,1963,0
"TG61FL","TGO",35856,482,40197,35856,35856,482,0
"TZ4IFL","TZA",35214,612,45594,45594,35214,612,10380
"TZ63FL","TZA",45125,541,45187,45125,45125,541,0
"TZ7BFL","TZA",56917,562,56917,56917,56917,562,0
"TZ82FL","TZA",61723,425,61723,61723,61723,425,0
"UG41FL","UGA",0,0,3417,3417,0,0,3417
"UG52FL","UGA",41459,806,46139,46139,41459,806,4680
"UG5AFL","UGA",0,0,22476,20657,0,0,20657
"UG61FL","UGA",44636,603,44636,44636,44636,603,0
"UG7BFL","UGA",75366,731,89861,75366,75366,731,0
"ZA71FL","ZAF",15261,103,20867,15261,15261,103,0
"ZM42FL","ZMB",0,0,13278,13278,0,0,13278
"ZM51FL","ZMB",34258,614,34258,34258,34258,614,0
"ZM61FL","ZMB",78600,906,78600,78600,78600,906,0
"ZM71FL","ZMB",57564,528,57564,57564,57564,528,0
"ZM81FL","ZMB",50590,318,51051,51051,50590,318,461
"ZW52FL","ZWE",0,0,29737,29737,0,0,29737
"ZW62FL","ZWE",3063,65,29334,29334,3063,65,26271
"ZW72FL","ZWE",30500,321,34562,30500,30500,321,0
