"item","count"
"registry",124
"registry_countries",37
"omitted",4
"built",120
"built_countries",36
"entered",7844642
"incomplete",994618
"outside_year",418661
"eligible",6431363
"missing_map",73561
"missing_covariates",892497
"primary",5465305
"deaths",75726
"surveys",95
"countries",34
"excluded_eligibility",1413279
"excluded_missing",966058
"recorded_births",4416951
"valid_births",4414407
"recent_valid_births",1213911
"primary_distinct_children",1686004
