"survey","deaths","under5","over5","unknown"
"AO62FL",0,0,0,0
"AO71FL",0,0,0,0
"AO81FL",0,0,0,0
"BU61FL",0,0,0,0
"BU71FL",0,0,0,0
"BJ41FL",0,0,0,0
"BJ51FL",0,0,0,0
"BJ61FL",0,0,0,0
"BJ71FL",0,0,0,0
"BF43FL",0,0,0,0
"BF62FL",0,0,0,0
"BF81FL",0,0,0,0
"CI62FL",0,0,0,0
"CI81FL",0,0,0,0
"CM44FL",0,0,0,0
"CM61FL",0,0,0,0
"CM71FL",0,0,0,0
"CD51FL",0,0,0,0
"CD61FL",0,0,0,0
"CD81FL",0,0,0,0
"CG51FL",0,0,0,0
"CG61FL",0,0,0,0
"KM61FL",0,0,0,0
"ET41FL",0,0,0,0
"ET51FL",0,0,0,0
"ET61FL",0,0,0,0
"ET71FL",0,0,0,0
"ET81FL",0,0,0,0
"ET8AFL",0,0,0,0
"GA41FL",0,0,0,0
"GA61FL",0,0,0,0
"GA71FL",0,0,0,0
"GH4BFL",0,0,0,0
"GH5AFL",0,0,0,0
"GH72FL",0,0,0,0
"GH8CFL",0,0,0,0
"GN52FL",0,0,0,0
"GN62FL",0,0,0,0
"GN71FL",0,0,0,0
"GM61FL",0,0,0,0
"GM81FL",0,0,0,0
"KE42FL",0,0,0,0
"KE52FL",0,0,0,0
"KE72FL",0,0,0,0
"KE8CFL",0,0,0,0
"LB51FL",0,0,0,0
"LB5AFL",0,0,0,0
"LB6AFL",0,0,0,0
"LB7AFL",0,0,0,0
"MD42FL",0,0,0,0
"MD51FL",0,0,0,0
"MD81FL",0,0,0,0
"ML41FL",0,0,0,0
"ML53FL",0,0,0,0
"ML6AFL",0,0,0,0
"ML7AFL",0,0,0,0
"ML8AFL",0,0,0,0
"MZ41FL",0,0,0,0
"MZ62FL",0,0,0,0
"MZ81FL",0,0,0,0
"MR71FL",0,0,0,0
"MW41FL",0,0,0,0
"MW4EFL",0,0,0,0
"MW61FL",0,0,0,0
"MW7AFL",0,0,0,0
"MW81FL",0,0,0,0
"NM41FL",0,0,0,0
"NM51FL",0,0,0,0
"NM61FL",0,0,0,0
"NI51FL",0,0,0,0
"NI61FL",0,0,0,0
"NG4BFL",0,0,0,0
"NG53FL",0,0,0,0
"NG61FL",0,0,0,0
"NG6AFL",0,0,0,0
"NG7BFL",0,0,0,0
"NG8BFL",0,0,0,0
"RW41FL",0,0,0,0
"RW53FL",0,0,0,0
"RW5AFL",0,0,0,0
"RW61FL",0,0,0,0
"RW70FL",0,0,0,0
"RW81FL",0,0,0,0
"SN4AFL",0,0,0,0
"SN5AFL",0,0,0,0
"SN61FL",0,0,0,0
"SN6DFL",0,0,0,0
"SN71FL",0,0,0,0
"SN7AFL",0,0,0,0
"SN7IFL",0,0,0,0
"SN7ZFL",0,0,0,0
"SN81FL",0,0,0,0
"SN8BFL",0,0,0,0
"SN8SFL",0,0,0,0
"SL51FL",0,0,0,0
"SL61FL",0,0,0,0
"SL7AFL",0,0,0,0
"ST51FL",0,0,0,0
"SZ51FL",0,0,0,0
"TD41FL",0,0,0,0
"TD71FL",0,0,0,0
"TG61FL",0,0,0,0
"TZ4IFL",0,0,0,0
"TZ63FL",0,0,0,0
"TZ7BFL",0,0,0,0
"TZ82FL",0,0,0,0
"UG41FL",0,0,0,0
"UG52FL",0,0,0,0
"UG5AFL",0,0,0,0
"UG61FL",0,0,0,0
"UG7BFL",0,0,0,0
"ZA71FL",0,0,0,0
"ZM42FL",0,0,0,0
"ZM51FL",0,0,0,0
"ZM61FL",0,0,0,0
"ZM71FL",0,0,0,0
"ZM81FL",0,0,0,0
"ZW52FL",0,0,0,0
"ZW62FL",0,0,0,0
"ZW72FL",0,0,0,0
