"rank_absolute_difference_from_ihme","iso3","country","year","model_deaths","ihme_malaria_deaths","who_cacode_deaths","difference_from_ihme"
1,"NGA","Nigeria",2024,214937.789234529,138110.850542117,165329,76826.938692412
2,"NER","Niger",2024,36989.9053450327,20343.4978323923,23877,16646.4075126404
3,"TCD","Chad",2024,19406.631126408,4884.19831764987,14345,14522.4328087581
4,"MOZ","Mozambique",2024,18975.4618878162,10284.9934524545,10315,8690.4684353617
5,"MLI","Mali",2024,20253.880107835,12944.5842730324,6984,7309.2958348026
6,"COD","Democratic Republic of the Congo",2024,69079.5298008251,61774.2754897226,105372,7305.2543111025
7,"SSD","South Sudan",2024,11085.6323598254,4779.0227833698,3980,6306.6095764556
8,"CMR","Cameroon",2024,22344.7450728704,16295.439261067,6286,6049.3058118034
9,"AGO","Angola",2024,20519.6328823548,14651.9398492798,4734,5867.693033075
10,"CAF","Central African Republic",2024,9138.0505769255,3864.81190981826,5220,5273.23866710724
11,"CIV","Cote d'Ivoire",2024,17904.2195734807,12847.9944570404,5753,5056.2251164403
12,"BEN","Benin",2024,11640.2722412834,7361.29305522589,6857,4278.97918605751
13,"GIN","Guinea",2024,11103.1831642228,7062.92867541533,6861,4040.25448880747
14,"MDG","Madagascar",2024,7900.37971197485,4898.31220543322,9290,3002.06750654163
15,"SOM","Somalia",2024,4141.11088835745,1200.23039386064,864,2940.88049449681
16,"BFA","Burkina Faso",2024,13395.057116997,10708.7756030255,8639,2686.2815139715
17,"SLE","Sierra Leone",2024,8565.86849109586,6200.18547588636,6856,2365.6830152095
18,"BDI","Burundi",2024,12066.5527276993,14430.2985954673,3615,-2363.745867768
19,"MWI","Malawi",2024,7850.99656319292,5556.77907078908,3052,2294.21749240384
20,"ZMB","Zambia",2024,6959.15831114176,4717.79275413367,2589,2241.36555700809
21,"UGA","Uganda",2024,23900.9292752156,26093.0901265167,12349,-2192.1608513011
22,"TGO","Togo",2024,3763.30773355157,1863.65613692523,2100,1899.65159662634
23,"RWA","Rwanda",2024,922.275020305978,2147.105688144,729,-1224.83066783802
24,"SEN","Senegal",2024,1873.6094035881,766.297572416344,651,1107.31183117176
25,"ZWE","Zimbabwe",2024,1151.4273959159,275.192339219123,531,876.235056696777
26,"COG","Congo",2024,2026.30590910657,1414.45241393579,533,611.85349517078
27,"GHA","Ghana",2024,7235.48403047143,6745.25942954957,1367,490.22460092186
28,"KEN","Kenya",2024,2434.58397290752,2762.50881132626,2188,-327.92483841874
29,"GMB","The Gambia",2024,385.881911328434,125.250703961608,167,260.631207366826
30,"TZA","Tanzania",2024,9715.33130880028,9939.76533484766,7308,-224.43402604738
31,"GNB","Guinea-Bissau",2024,464.789032447023,243.753822660091,338,221.035209786932
32,"ERI","Eritrea",2024,227.168250631953,43.3765641194195,148,183.791686512533
33,"GNQ","Equatorial Guinea",2024,556.271885847897,718.459783286752,93,-162.187897438855
34,"LBR","Liberia",2024,2815.86084770132,2689.78371276534,3513,126.07713493598
35,"GAB","Gabon",2024,362.160427489254,264.514045573738,30,97.646381915516
36,"ETH","Ethiopia",2024,8983.75808181141,8908.38144328392,7007,75.3766385274885
37,"DJI","Djibouti",2024,80.480730227469,19.4005119570286,22,61.0802182704404
38,"SWZ","Swaziland",2024,38.9919090696968,0.481067001536171,1,38.5108420681606
39,"NAM","Namibia",2024,35.5923708322278,11.0131110529254,43,24.5792597793024
40,"COM","Comoros",2024,26.2789913709413,3.33028598949748,14,22.9487053814438
41,"MRT","Mauritania",2024,179.658841963101,192.831907593039,173,-13.173065629938
42,"BWA","Botswana",2024,1.36575519886712,0.695282142301979,0,0.670473056565141
