"fit_id","original_min_hessian","strict_min_hessian","original_fREML","strict_fREML","strict_selected"
"gamma14_age_4",-0.000232627707647052,0.000153044487522631,27212.3542405108,27209.9091092414,TRUE
"gamma14_age_5",-5.4531089211738e-05,0.506924117706644,22848.5926808466,22847.9661577694,TRUE
