"fit_id","rows","deaths","countries","surveys","regions","converged","iterations","rank","coefficients","finite_coefficients","finite_covariance","elapsed_seconds","min_smoothing_hessian_eigenvalue","max_smoothing_gradient","warnings","subgroup","age_band","gamma","input_verified"
"sahel_age_1",267851,7354,8,31,239,TRUE,15,305,305,TRUE,TRUE,5.674,0.000196061905103943,0.000196116622533212,"openMP not available: single threaded computation only","sahel","<1",2,TRUE
"sahel_age_2",240215,2618,8,31,239,TRUE,20,305,305,TRUE,TRUE,7.045,2.81249984044707e-05,0.000533560869854278,"openMP not available: single threaded computation only","sahel","1-5",2,TRUE
"sahel_age_3",232667,2189,8,31,239,TRUE,19,305,305,TRUE,TRUE,6.503,3.91296014721869e-05,3.91283040058685e-05,"openMP not available: single threaded computation only","sahel","6-11",2,TRUE
"sahel_age_4",203520,2312,8,31,239,TRUE,18,305,305,TRUE,TRUE,5.892,1.48288598484206e-05,0.000238562367392651,"openMP not available: single threaded computation only","sahel","12-23",2,TRUE
"sahel_age_5",203649,2326,8,31,239,TRUE,24,305,305,TRUE,TRUE,7.603,7.52738468779629e-05,7.5345409835767e-05,"openMP not available: single threaded computation only","sahel","24-35",2,TRUE
"sahel_age_6",197712,1300,8,31,239,TRUE,25,305,305,TRUE,TRUE,8.58,2.50366611324094e-05,3.99480516447601e-05,"openMP not available: single threaded computation only","sahel","36-47",2,TRUE
"sahel_age_7",193077,820,8,31,239,TRUE,18,305,305,TRUE,TRUE,5.354,1.46478793275774e-05,2.31443106300627e-05,"openMP not available: single threaded computation only","sahel","48-59",2,TRUE
"east_africa_age_1",471411,12676,12,51,447,TRUE,14,537,537,TRUE,TRUE,13.898,0.000327549580088857,0.000404197325612436,"openMP not available: single threaded computation only","east_africa","<1",2,TRUE
"east_africa_age_2",426284,5267,12,51,447,TRUE,19,537,537,TRUE,TRUE,17.477,0.000129783064880991,0.000129732499276612,"openMP not available: single threaded computation only","east_africa","1-5",2,TRUE
"east_africa_age_3",409024,4401,12,51,447,TRUE,20,537,537,TRUE,TRUE,18.665,7.62173715120497e-05,0.000122950735133472,"openMP not available: single threaded computation only","east_africa","6-11",2,TRUE
"east_africa_age_4",353006,3769,12,51,447,TRUE,22,537,537,TRUE,TRUE,23.847,6.53770228907783e-05,7.9570096870959e-05,"openMP not available: single threaded computation only","east_africa","12-23",2,TRUE
"east_africa_age_5",349020,2618,12,51,447,TRUE,20,537,537,TRUE,TRUE,17.16,7.37263456497628e-05,9.03350194393889e-05,"openMP not available: single threaded computation only","east_africa","24-35",2,TRUE
"east_africa_age_6",339848,1778,12,51,446,TRUE,17,536,536,TRUE,TRUE,15.092,3.76979575261065e-05,0.000156251247798861,"openMP not available: single threaded computation only","east_africa","36-47",2,TRUE
"east_africa_age_7",331809,1080,12,51,446,TRUE,18,536,536,TRUE,TRUE,14.538,2.57015010491685e-05,2.77814494756057e-05,"openMP not available: single threaded computation only","east_africa","48-59",2,TRUE
"early_age_1",615916,18949,33,70,549,TRUE,14,679,679,TRUE,TRUE,20.975,0.000341433518604844,0.000341943377074375,"openMP not available: single threaded computation only","early","<1",2,TRUE
"early_age_2",547897,8643,33,70,549,TRUE,14,679,679,TRUE,TRUE,19.645,0.000237844936596353,0.000237801021316655,"openMP not available: single threaded computation only","early","1-5",2,TRUE
"early_age_3",520993,8128,33,70,549,TRUE,16,679,679,TRUE,TRUE,22.626,0.000474716771605022,0.000473256668029144,"openMP not available: single threaded computation only","early","6-11",2,TRUE
"early_age_4",442971,7964,33,70,549,TRUE,13,679,679,TRUE,TRUE,17.8030000000001,0.000116161293909344,0.000116178375419009,"openMP not available: single threaded computation only","early","12-23",2,TRUE
"early_age_5",438358,6287,33,70,549,TRUE,23,679,679,TRUE,TRUE,29.793,0.379586424143828,9.24217260944715e-07,"openMP not available: single threaded computation only","early","24-35",2,TRUE
"early_age_6",422209,3753,33,70,548,TRUE,24,678,678,TRUE,TRUE,31.327,0.00011044320482928,0.000134226760643436,"openMP not available: single threaded computation only","early","36-47",2,TRUE
"early_age_7",411571,2081,33,70,548,TRUE,25,678,678,TRUE,TRUE,32.054,2.65253069411222e-05,6.13827630197505e-05,"openMP not available: single threaded computation only","early","48-59",2,TRUE
"late_age_1",706233,18674,34,62,662,TRUE,13,785,785,TRUE,TRUE,26.864,0.000265984084422719,0.000439992046764814,"openMP not available: single threaded computation only","late","<1",2,TRUE
"late_age_2",641312,6943,34,62,662,TRUE,14,785,785,TRUE,TRUE,27.6170000000001,0.000256896035699047,0.000257034956758286,"openMP not available: single threaded computation only","late","1-5",2,TRUE
"late_age_3",622922,5998,34,62,662,TRUE,21,785,785,TRUE,TRUE,42.017,0.000110626729252827,0.000183470132706097,"openMP not available: single threaded computation only","late","6-11",2,TRUE
"late_age_4",546240,5174,34,62,662,TRUE,13,785,785,TRUE,TRUE,25.63,0.0204383132818816,2.9056188566301e-08,"openMP not available: single threaded computation only","late","12-23",2,TRUE
"late_age_5",541986,5051,34,62,662,TRUE,21,785,785,TRUE,TRUE,40.5600000000001,0.000191702375301854,0.000191786592609884,"openMP not available: single threaded computation only","late","24-35",2,TRUE
"late_age_6",526823,2897,34,62,662,TRUE,24,785,785,TRUE,TRUE,47.758,5.15577291102256e-05,5.84034945904891e-05,"openMP not available: single threaded computation only","late","36-47",2,TRUE
"late_age_7",513028,1740,34,62,662,TRUE,21,785,785,TRUE,TRUE,39.229,5.08697335201805e-05,7.7806024630881e-05,"openMP not available: single threaded computation only","late","48-59",2,TRUE
