"fit_id","subgroup","original_min_hessian","strict_min_hessian","original_max_gradient","strict_max_gradient","original_fREML","strict_fREML","strict_selected"
"sahel_age_7","sahel",-1.1266171576616e-05,1.46478793275774e-05,2.94945697277886e-05,2.31443106300627e-05,2603.56324366842,2603.48292689809,TRUE
"east_africa_age_7","east_africa",-2.9170612891069e-05,2.57015010491685e-05,5.02395700355668e-05,2.77814494756057e-05,3640.49115818145,3640.4497602114,TRUE
"late_age_4","late",-9.69924402901471e-05,0.0204383132818816,9.74315175563011e-05,2.9056188566301e-08,14250.3466334716,14250.3325294087,TRUE
