"variable","mean","sd"
"mean_maternal_age_first_birth",19.2930437893138,1.1828629652107
"mean_maternal_education_years",4.25456584555048,2.61164033635336
"mean_wealth_quintile",2.78947366755609,0.713672743445831
"urban_pct",29.2892405222871,24.4682385119281
"dtp3_pct",71.2311555446081,23.2994952836892
"measles_pct",71.6370294301355,20.0149226656385
"facility_delivery_pct",61.2303414492809,26.2780280613041
"short_birth_interval_pct",19.1547923153106,7.20366599654695
"improved_water_pct",69.0319987685652,20.0100471714559
"improved_sanitation_pct",43.8881149445938,25.0988364512805
"electricity_pct",32.2321391570398,26.0783229723834
"wasting_pct",7.87324774590953,5.2551795224816
"stunting_pct",34.6536404824156,12.0879676370616
"log_hiv_incidence",0.0205009949538248,1.19711786840642
"log_gdp_pc",6.85114977480181,0.740395056425774
"log_health_expenditure_pc",3.7029579457273,0.689825591893967
"political_stability",-0.831538535636415,0.769458846822817
