"survey","country","region","records","deaths","distinct_children","lat","lon","survey_year","sahel","east_africa","early","late"
"BU71FL","BDI","BDI:BU71FL:bujumburamairie",3141,27,941,-3.40103700837695,29.3078615216331,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:rutana",3981,43,1187,-3.8746941075877,30.0911187717127,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:gitega",4542,73,1386,-3.49223625765475,29.9222284122618,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:ngozi",4253,60,1274,-2.87482358412912,29.9250244525788,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:cibitoke",4745,65,1401,-2.81851000678622,29.2287961676051,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:muramvya",3862,44,1157,-3.27124538462859,29.6518555463846,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:mwaro",3504,24,1034,-3.49054591318441,29.7153031211742,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:kirundo",4856,95,1448,-2.53754947157376,30.1605258023566,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:kayanza",3937,31,1199,-3.00500449047215,29.6583175606337,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:bubanza",4573,37,1347,-3.12451520144509,29.3994747323108,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:muyinga",5118,85,1523,-2.76807039755833,30.3509267049507,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:bujumburarural",4197,25,1245,-3.45138939304194,29.4267937490691,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:makamba",4369,28,1305,-4.24571964053361,29.7394552292319,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:bururi",3410,22,995,-3.86741934599765,29.6794559462753,2016,FALSE,TRUE,FALSE,TRUE
"BU71FL","BDI","BDI:BU71FL:rumonge",4378,31,1303,-3.86493006200232,29.4070143482867,2016,FALSE,TRUE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:alibori",9028,123,2739,11.3252083868267,2.89907656874522,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:atacora",7214,119,2154,10.6848264905077,1.57616349517508,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:atlantic",7314,119,2181,6.6135497582565,2.21449908813266,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:borgou",9664,125,2895,9.79697750824083,2.77906105753465,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:collines",5781,79,1736,8.13663272929773,2.2085200838922,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:couffo",4853,65,1484,6.99671106449571,1.78229627249244,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:donga",5206,114,1590,9.3230724518757,1.80809204770979,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:littoral",4754,36,1411,6.37071976621451,2.41633394135191,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:mono",3759,61,1109,6.5540317766821,1.83131578443869,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:oueme",5764,64,1694,6.61153523532374,2.5423801195754,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:plateau",4705,90,1397,7.19467946496536,2.63127106033152,2017,FALSE,FALSE,FALSE,TRUE
"BJ71FL","BEN","BEN:BJ71FL:zou",6771,90,2010,7.27836664086792,2.1073923263512,2017,FALSE,FALSE,FALSE,TRUE
"BF43FL","BFA","BFA:BF43FL:est",2154,52,1129,12.2282387138743,0.920215008871161,2003,TRUE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:nord",2142,63,1168,13.4565926624718,-2.28301186955895,2003,TRUE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:centreest",1848,39,1005,11.6041594002688,-0.18567495122542,2003,FALSE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:centrenord",2436,73,1296,13.2686113917498,-0.974232929476776,2003,TRUE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:boucledumouhoun",2358,70,1226,12.5380342481171,-3.48300292988694,2003,TRUE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:hautsbassins",2309,55,1205,11.3686838991293,-4.32866514777171,2003,FALSE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:centresud",1828,28,984,11.5859456759347,-1.21945357538953,2003,FALSE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:cascades",1884,56,1004,10.3495549456586,-4.56509106126012,2003,FALSE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:ouagadougou",704,11,415,12.3630066060918,-1.53439361878581,2003,TRUE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:sudouest",2637,69,1406,10.4790458518943,-3.23017347361138,2003,FALSE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:centreouest",2823,77,1528,11.7993637666693,-2.22008548708101,2003,FALSE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:sahel",2037,88,1064,14.1479483167321,-0.442209231256767,2003,TRUE,FALSE,TRUE,FALSE
"BF43FL","BFA","BFA:BF43FL:plateaucentral",2733,48,1428,12.4497844241213,-1.14239478438732,2003,TRUE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:boucledumouhoun",7549,129,2276,12.5380342481171,-3.48300292988694,2010,TRUE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:cascades",5275,103,1634,10.3495549456586,-4.56509106126012,2010,FALSE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:centre",5184,60,1533,12.3225449031426,-1.50225972108387,2010,TRUE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:centreest",6432,70,1914,11.6041594002688,-0.18567495122542,2010,FALSE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:centrenord",6230,87,1890,13.2686113917498,-0.974232929476776,2010,TRUE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:centreouest",7572,134,2264,11.7993637666693,-2.22008548708101,2010,FALSE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:centresud",5493,91,1654,11.5859456759347,-1.21945357538953,2010,FALSE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:est",8472,191,2551,12.2282387138743,0.920215008871161,2010,TRUE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:hautsbassins",6883,120,2051,11.3686838991293,-4.32866514777171,2010,FALSE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:nord",6752,122,2050,13.4565926624718,-2.28301186955895,2010,TRUE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:plateaucentral",5894,103,1783,12.4497844241213,-1.14239478438732,2010,TRUE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:sahel",6841,219,2036,14.1479483167321,-0.442209231256767,2010,TRUE,FALSE,TRUE,FALSE
"BF62FL","BFA","BFA:BF62FL:sudouest",6166,181,1861,10.4790458518943,-3.23017347361138,2010,FALSE,FALSE,TRUE,FALSE
"BF81FL","BFA","BFA:BF81FL:boucledumouhoun",6453,44,1931,12.5380342480862,-3.48300292992806,2021,TRUE,FALSE,FALSE,TRUE
"BF81FL","BFA","BFA:BF81FL:cascades",3857,33,1146,10.3495549456591,-4.56509106120655,2021,FALSE,FALSE,FALSE,TRUE
