"subgroup","records","deaths","distinct_children","surveys","countries","survey_regions","countries_list"
"map_full",7498459,102282,2292089,132,36,1211,"AGO BDI BEN BFA CAF CIV CMR COD COG COM ETH GAB GHA GIN GMB GNB KEN MDG MLI MOZ MRT MWI NAM NER NGA RWA SEN SLE SWZ TCD TGO TZA UGA ZAF ZMB ZWE"
"sahel",1538691,18919,468275,31,8,239,"BFA GMB GNB MLI MRT NER SEN TCD"
"east_africa",2680402,31589,828170,51,12,447,"BDI COM ETH KEN MDG MOZ MWI RWA TZA UGA ZMB ZWE"
"early",3399915,55805,1076607,70,33,549,"BDI BEN BFA CIV CMR COD COG COM ETH GAB GHA GIN GMB GNB KEN MDG MLI MOZ MRT MWI NAM NER NGA RWA SEN SLE SWZ TCD TGO TZA UGA ZMB ZWE"
"late",4098544,46477,1215482,62,34,662,"AGO BDI BEN BFA CAF CIV CMR COD COG COM ETH GAB GHA GIN GMB GNB KEN MDG MLI MOZ MRT MWI NGA RWA SEN SLE SWZ TCD TGO TZA UGA ZAF ZMB ZWE"
