"subgroup","series","age_band","contrast","hazard_ratio","lower_95","upper_95","both_values_within_observed_support","both_values_within_central_support"
"map_full","Full analysis","<1","20% to 0%",0.946753045592884,0.899055883756947,0.996980661083933,FALSE,FALSE
"map_full","Full analysis","1-5","20% to 0%",0.864389928822506,0.805023602990269,0.928134214045906,FALSE,FALSE
"map_full","Full analysis","6-11","20% to 0%",0.695741284334596,0.632407271461249,0.765418040828479,FALSE,FALSE
"map_full","Full analysis","12-23","20% to 0%",0.54383777703481,0.480062645110844,0.61608527708269,FALSE,FALSE
"map_full","Full analysis","24-35","20% to 0%",0.473440125859019,0.414822158965225,0.540341319597139,FALSE,FALSE
"map_full","Full analysis","36-47","20% to 0%",0.542896722802078,0.4714299949531,0.625197494399053,FALSE,FALSE
"map_full","Full analysis","48-59","20% to 0%",0.578547089282509,0.492785737690995,0.679233810794965,FALSE,FALSE
"sahel","Sahel (≥12°N)","<1","20% to 0%",0.877720970882489,0.799376265491943,0.963744028918337,FALSE,FALSE
"sahel","Sahel (≥12°N)","1-5","20% to 0%",0.910805326260732,0.836462674885783,0.991755361299528,FALSE,FALSE
"sahel","Sahel (≥12°N)","6-11","20% to 0%",0.648668984063224,0.542667172384562,0.775376643913583,FALSE,FALSE
"sahel","Sahel (≥12°N)","12-23","20% to 0%",0.69989905417813,0.646584872446112,0.757609258914832,FALSE,FALSE
"sahel","Sahel (≥12°N)","24-35","20% to 0%",0.604070495453115,0.497299470236698,0.73376543776186,FALSE,FALSE
"sahel","Sahel (≥12°N)","36-47","20% to 0%",0.657416601661928,0.519289534873916,0.83228441768166,FALSE,FALSE
"sahel","Sahel (≥12°N)","48-59","20% to 0%",0.49625173550641,0.367569660693596,0.669983982161167,FALSE,FALSE
"east_africa","Eastern Africa","<1","20% to 0%",1.00034564744913,0.960254752079039,1.0421103485339,FALSE,FALSE
"east_africa","Eastern Africa","1-5","20% to 0%",0.824147704379688,0.738269016178833,0.920016178045565,FALSE,FALSE
"east_africa","Eastern Africa","6-11","20% to 0%",0.854428268268569,0.800390021961643,0.912114900966883,FALSE,FALSE
"east_africa","Eastern Africa","12-23","20% to 0%",0.302318049355502,0.221359701326725,0.412885463877706,FALSE,FALSE
"east_africa","Eastern Africa","24-35","20% to 0%",0.396558647120207,0.30710151863829,0.512074187399351,FALSE,FALSE
"east_africa","Eastern Africa","36-47","20% to 0%",0.589166426561783,0.465441988330193,0.745779467453911,FALSE,FALSE
"east_africa","Eastern Africa","48-59","20% to 0%",0.649743149115797,0.501308588262179,0.842128321173153,FALSE,FALSE
"early","Surveys up to median year","<1","20% to 0%",0.912121657873355,0.854792020511304,0.973296309275309,FALSE,FALSE
"early","Surveys up to median year","1-5","20% to 0%",0.864015496168951,0.79535015276299,0.938608957358858,FALSE,FALSE
"early","Surveys up to median year","6-11","20% to 0%",0.764913700648719,0.694483122904404,0.84248695201288,FALSE,FALSE
"early","Surveys up to median year","12-23","20% to 0%",0.472660717257678,0.402465425222316,0.555098996429657,FALSE,FALSE
"early","Surveys up to median year","24-35","20% to 0%",0.453060840302567,0.37858190956119,0.542192111750897,FALSE,FALSE
"early","Surveys up to median year","36-47","20% to 0%",0.490234270766723,0.405167857625793,0.593160675781308,FALSE,FALSE
"early","Surveys up to median year","48-59","20% to 0%",0.640464610268009,0.530610783464122,0.773061780478286,FALSE,FALSE
"late","Surveys after median year","<1","20% to 0%",0.933368625137575,0.86241523969256,1.01015954994229,FALSE,FALSE
"late","Surveys after median year","1-5","20% to 0%",0.809054918538763,0.720195421579149,0.908878120575261,FALSE,FALSE
"late","Surveys after median year","6-11","20% to 0%",0.668780130815289,0.572782165478139,0.780867300573076,FALSE,FALSE
"late","Surveys after median year","12-23","20% to 0%",0.600328246963705,0.498599865636234,0.722812076258057,FALSE,FALSE
"late","Surveys after median year","24-35","20% to 0%",0.436539965066209,0.349908529851776,0.544619878745832,FALSE,FALSE
"late","Surveys after median year","36-47","20% to 0%",0.362567088071101,0.276264846215361,0.475829245570688,FALSE,FALSE
"late","Surveys after median year","48-59","20% to 0%",0.441339518335921,0.337615522012736,0.576930140189572,FALSE,FALSE
"map_full","Full analysis","<1","40% to 20%",0.944339322633037,0.916201906582471,0.973340865003701,TRUE,TRUE
"map_full","Full analysis","1-5","40% to 20%",0.9151878818572,0.878841121942613,0.953037856543267,TRUE,TRUE
"map_full","Full analysis","6-11","40% to 20%",0.830424786425058,0.789723471073009,0.873223794364535,TRUE,TRUE
"map_full","Full analysis","12-23","40% to 20%",0.822538891949496,0.772063967247689,0.876313696106544,TRUE,TRUE
"map_full","Full analysis","24-35","40% to 20%",0.849589043022707,0.795136920078872,0.907770125870449,TRUE,TRUE
"map_full","Full analysis","36-47","40% to 20%",0.843005115341907,0.78304356486136,0.907558220746563,TRUE,TRUE
"map_full","Full analysis","48-59","40% to 20%",0.907274030632082,0.829251825513646,0.992637147526953,TRUE,TRUE
"sahel","Sahel (≥12°N)","<1","40% to 20%",0.90490808331152,0.852731896462178,0.960276779418967,TRUE,TRUE
"sahel","Sahel (≥12°N)","1-5","40% to 20%",0.910807173344715,0.836471822302521,0.9917485382026,TRUE,TRUE
"sahel","Sahel (≥12°N)","6-11","40% to 20%",0.731855809577435,0.663817298314883,0.80686798516988,TRUE,TRUE
"sahel","Sahel (≥12°N)","12-23","40% to 20%",0.699906157693747,0.64660459565504,0.757601527841547,TRUE,TRUE
"sahel","Sahel (≥12°N)","24-35","40% to 20%",0.734360564223535,0.667304767749322,0.808154630912656,TRUE,TRUE
"sahel","Sahel (≥12°N)","36-47","40% to 20%",0.784171135785645,0.690531134233085,0.890509261225843,TRUE,TRUE
"sahel","Sahel (≥12°N)","48-59","40% to 20%",0.736514210124821,0.641895831100797,0.845079770631206,TRUE,TRUE
"east_africa","Eastern Africa","<1","40% to 20%",1.00035456004529,0.960300641651638,1.04207911814187,TRUE,TRUE
