"subgroup","age_band","variable","index","value"
"east_africa","12-23","pfpr_pct",2,4.16827240581362
"east_africa","12-23","pfpr_pct",3,8.46982283150437
"east_africa","12-23","pfpr_pct",4,20.2267862532269
"east_africa","12-23","pfpr_pct",5,87.6830665543666
"east_africa","12-23","calendar_year",1,2000
"east_africa","12-23","calendar_year",2,2005.58333333333
"east_africa","12-23","calendar_year",3,2010.16666666667
"east_africa","12-23","calendar_year",4,2014.75
"east_africa","12-23","calendar_year",5,2019.33333333333
"east_africa","12-23","calendar_year",6,2023.91666666667
"east_africa","24-35","pfpr_pct",1,0.436512660235166
"east_africa","24-35","pfpr_pct",2,4.16841811487726
"east_africa","24-35","pfpr_pct",3,8.46749475256347
"east_africa","24-35","pfpr_pct",4,20.242348138987
"east_africa","24-35","pfpr_pct",5,87.6830665543666
"east_africa","24-35","calendar_year",1,2000
"east_africa","24-35","calendar_year",2,2005.58333333333
"east_africa","24-35","calendar_year",3,2010.16666666667
"east_africa","24-35","calendar_year",4,2014.75
"east_africa","24-35","calendar_year",5,2019.33333333333
"east_africa","24-35","calendar_year",6,2023.91666666667
"east_africa","36-47","pfpr_pct",1,0.436512660235166
"east_africa","36-47","pfpr_pct",2,4.16856382394089
"east_africa","36-47","pfpr_pct",3,8.46982283150437
"east_africa","36-47","pfpr_pct",4,20.244204685738
"east_africa","36-47","pfpr_pct",5,87.6830665543666
"east_africa","36-47","calendar_year",1,2000
"east_africa","36-47","calendar_year",2,2005.58333333333
"east_africa","36-47","calendar_year",3,2010.16666666667
"east_africa","36-47","calendar_year",4,2014.75
"east_africa","36-47","calendar_year",5,2019.33333333333
"east_africa","36-47","calendar_year",6,2023.91666666667
"east_africa","48-59","pfpr_pct",1,0.436512660235166
"east_africa","48-59","pfpr_pct",2,4.16870953300452
"east_africa","48-59","pfpr_pct",3,8.47215091044528
"east_africa","48-59","pfpr_pct",4,20.2423481377999
"east_africa","48-59","pfpr_pct",5,87.6830665543666
"east_africa","48-59","calendar_year",1,2000
"east_africa","48-59","calendar_year",2,2005.58333333333
"east_africa","48-59","calendar_year",3,2010.16666666667
"east_africa","48-59","calendar_year",4,2014.75
"east_africa","48-59","calendar_year",5,2019.33333333333
"east_africa","48-59","calendar_year",6,2023.91666666667
"early","<1","pfpr_pct",1,0.0164865959077473
"early","<1","pfpr_pct",2,7.88897790107927
"early","<1","pfpr_pct",3,22.9385077232698
"early","<1","pfpr_pct",4,42.7766169074035
