"measure","previous","revised","change"
"Child-band records",5465305,7498459,2033154
"Children",1686004,2292089,606085
"Deaths",75726,102282,26556
"Survey-regions",916,1211,295
"Surveys",95,132,37
"Countries",34,36,2
