"age_band","previous_edf","revised_edf"
"<1",2.25682571766677,2.33681203114505
"1-5",1.77078453104883,2.24788915651067
"6-11",2.33443716098132,2.90272497999616
"12-23",3.30605240520396,3.46270132006124
"24-35",3.38072407525557,3.63499041270903
"36-47",3.21123821214508,3.3373976984632
"48-59",3.16094074654435,3.15526492668766
