"age_band","pfpr_pct","reference_pct","attributable_fraction","lower_95","upper_95","zero_below_observed_support","current_outside_observed_support"
"<1",10,0,0.0252375212469615,-0.00530946033306678,0.0548563129307749,TRUE,FALSE
"<1",20,0,0.0532469544071165,0.00301933891606709,0.100944116243053,TRUE,FALSE
"<1",30,0,0.0836447468370679,0.0267412575972525,0.137221261505176,TRUE,FALSE
"<1",50,0,0.112852409673806,0.0506145196455909,0.171010234190888,TRUE,FALSE
"1-5",10,0,0.0745673312550198,0.0346868968696807,0.112800166491849,TRUE,FALSE
"1-5",20,0,0.135610071177494,0.0718657859540938,0.194976397009731,TRUE,FALSE
"1-5",30,0,0.179518095380732,0.107926407684625,0.245364326882048,TRUE,FALSE
"1-5",50,0,0.226481746398436,0.150152578280008,0.295955399330551,TRUE,FALSE
"6-11",10,0,0.178942248722007,0.129416697332856,0.225650401439619,TRUE,FALSE
"6-11",20,0,0.304258715665404,0.234581959171521,0.367592728538751,TRUE,FALSE
"6-11",30,0,0.378789778859776,0.309660427804108,0.440996642244375,TRUE,FALSE
"6-11",50,0,0.449414271934548,0.384483960685749,0.507495134834995,TRUE,FALSE
"12-23",10,0,0.291230142822778,0.232962797714794,0.345071257370083,TRUE,FALSE
"12-23",20,0,0.45616222296519,0.38391472291731,0.519937354889156,TRUE,FALSE
"12-23",30,0,0.526879233011955,0.460450689746508,0.5851291885626,TRUE,FALSE
"12-23",50,0,0.561769969107908,0.497581738627398,0.61775760409063,TRUE,FALSE
"24-35",10,0,0.352264501666436,0.295071893129784,0.404816928545771,TRUE,FALSE
"24-35",20,0,0.526559874140981,0.459658680402861,0.585177841034775,TRUE,FALSE
"24-35",30,0,0.583885318256299,0.523147171629775,0.636887068585807,TRUE,FALSE
"24-35",50,0,0.604021303622975,0.54462437356065,0.655670793778569,TRUE,FALSE
"36-47",10,0,0.294102344627934,0.227675582518851,0.354815814984973,TRUE,FALSE
"36-47",20,0,0.457103277197922,0.374802505600947,0.5285700050469,TRUE,FALSE
"36-47",30,0,0.52229161578307,0.446513094982386,0.587695213233839,TRUE,FALSE
"36-47",50,0,0.545945193228989,0.47219904736765,0.609387276541221,TRUE,FALSE
"48-59",10,0,0.27391084174117,0.19546112421543,0.344711011973292,TRUE,FALSE
"48-59",20,0,0.421452910717491,0.320766189205035,0.507214262309005,TRUE,FALSE
"48-59",30,0,0.468753672978808,0.372066258094301,0.55055344037255,TRUE,FALSE
"48-59",50,0,0.474941457311588,0.377364688065663,0.557226408515755,TRUE,FALSE
