"baseline","country","variable","records","missing_before","missing_after","surveys","surveys_with_missing","surveys_affected","survey_years_affected","country_name"
"previous_primary","AGO","male_pct",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","multiple_birth_pct",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","mean_birth_order",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","mean_maternal_age_birth",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","mean_maternal_education_years",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","mean_wealth_quintile",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","urban_pct",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","dtp3_pct",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","measles_pct",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","facility_delivery_pct",187282,44181,44181,3,1,"AO62FL","2011","Angola"
"previous_primary","AGO","exclusive_breastfeeding_pct",187282,44181,44181,3,1,"AO62FL","2011","Angola"
"previous_primary","AGO","short_birth_interval_pct",187282,12127,12127,3,1,"AO62FL","2011","Angola"
"previous_primary","AGO","improved_water_pct",187282,12127,12127,3,1,"AO62FL","2011","Angola"
"previous_primary","AGO","improved_sanitation_pct",187282,12127,12127,3,1,"AO62FL","2011","Angola"
"previous_primary","AGO","electricity_pct",187282,12127,12127,3,1,"AO62FL","2011","Angola"
"previous_primary","AGO","log_hiv_incidence",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","log_gdp_pc",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","log_health_expenditure_pc",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","political_stability",187282,0,0,3,0,"","","Angola"
"previous_primary","AGO","hib3_pct",187282,7950,7950,3,1,"AO62FL","2011","Angola"
"previous_primary","AGO","pcv3_pct",187282,78935,0,3,0,"","","Angola"
"previous_primary","AGO","rotavirus_pct",187282,97121,0,3,0,"","","Angola"
"previous_primary","AGO","any_vaccine",187282,97121,7950,3,1,"AO62FL","2011","Angola"
"previous_primary","AGO","any_required",187282,97121,44181,3,1,"AO62FL","2011","Angola"
"eligible_MAP","AGO","male_pct",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","multiple_birth_pct",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","mean_birth_order",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","mean_maternal_age_birth",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","mean_maternal_education_years",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","mean_wealth_quintile",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","urban_pct",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","dtp3_pct",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","measles_pct",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","facility_delivery_pct",187282,44181,44181,3,1,"AO62FL","2011","Angola"
"eligible_MAP","AGO","exclusive_breastfeeding_pct",187282,44181,44181,3,1,"AO62FL","2011","Angola"
"eligible_MAP","AGO","short_birth_interval_pct",187282,12127,12127,3,1,"AO62FL","2011","Angola"
"eligible_MAP","AGO","improved_water_pct",187282,12127,12127,3,1,"AO62FL","2011","Angola"
"eligible_MAP","AGO","improved_sanitation_pct",187282,12127,12127,3,1,"AO62FL","2011","Angola"
"eligible_MAP","AGO","electricity_pct",187282,12127,12127,3,1,"AO62FL","2011","Angola"
"eligible_MAP","AGO","log_hiv_incidence",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","log_gdp_pc",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","log_health_expenditure_pc",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","political_stability",187282,0,0,3,0,"","","Angola"
"eligible_MAP","AGO","hib3_pct",187282,7950,7950,3,1,"AO62FL","2011","Angola"
"eligible_MAP","AGO","pcv3_pct",187282,78935,0,3,0,"","","Angola"
"eligible_MAP","AGO","rotavirus_pct",187282,97121,0,3,0,"","","Angola"
"eligible_MAP","AGO","any_vaccine",187282,97121,7950,3,1,"AO62FL","2011","Angola"
"eligible_MAP","AGO","any_required",187282,97121,44181,3,1,"AO62FL","2011","Angola"
"previous_primary","BDI","male_pct",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","multiple_birth_pct",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","mean_birth_order",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","mean_maternal_age_birth",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","mean_maternal_education_years",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","mean_wealth_quintile",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","urban_pct",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","dtp3_pct",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","measles_pct",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","facility_delivery_pct",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","exclusive_breastfeeding_pct",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","short_birth_interval_pct",114619,0,0,2,0,"","","Burundi"
"previous_primary","BDI","improved_water_pct",114619,0,0,2,0,"","","Burundi"
