"baseline","survey","country","survey_year","variable","records","missing_before","missing_after","resolved_records"
"previous_primary","AO62FL","AGO","2011","male_pct",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","multiple_birth_pct",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","mean_birth_order",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","mean_maternal_age_birth",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","mean_maternal_education_years",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","mean_wealth_quintile",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","urban_pct",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","dtp3_pct",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","measles_pct",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","facility_delivery_pct",44181,44181,44181,0
"previous_primary","AO62FL","AGO","2011","exclusive_breastfeeding_pct",44181,44181,44181,0
"previous_primary","AO62FL","AGO","2011","short_birth_interval_pct",44181,12127,12127,0
"previous_primary","AO62FL","AGO","2011","improved_water_pct",44181,12127,12127,0
"previous_primary","AO62FL","AGO","2011","improved_sanitation_pct",44181,12127,12127,0
"previous_primary","AO62FL","AGO","2011","electricity_pct",44181,12127,12127,0
"previous_primary","AO62FL","AGO","2011","log_hiv_incidence",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","log_gdp_pc",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","log_health_expenditure_pc",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","political_stability",44181,0,0,0
"previous_primary","AO62FL","AGO","2011","hib3_pct",44181,7950,7950,0
"previous_primary","AO62FL","AGO","2011","pcv3_pct",44181,44181,0,44181
"previous_primary","AO62FL","AGO","2011","rotavirus_pct",44181,44181,0,44181
"previous_primary","AO62FL","AGO","2011","any_vaccine",44181,44181,7950,36231
"previous_primary","AO62FL","AGO","2011","any_required",44181,44181,44181,0
"eligible_MAP","AO62FL","AGO","2011","male_pct",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","multiple_birth_pct",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","mean_birth_order",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","mean_maternal_age_birth",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","mean_maternal_education_years",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","mean_wealth_quintile",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","urban_pct",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","dtp3_pct",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","measles_pct",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","facility_delivery_pct",44181,44181,44181,0
"eligible_MAP","AO62FL","AGO","2011","exclusive_breastfeeding_pct",44181,44181,44181,0
"eligible_MAP","AO62FL","AGO","2011","short_birth_interval_pct",44181,12127,12127,0
"eligible_MAP","AO62FL","AGO","2011","improved_water_pct",44181,12127,12127,0
"eligible_MAP","AO62FL","AGO","2011","improved_sanitation_pct",44181,12127,12127,0
"eligible_MAP","AO62FL","AGO","2011","electricity_pct",44181,12127,12127,0
"eligible_MAP","AO62FL","AGO","2011","log_hiv_incidence",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","log_gdp_pc",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","log_health_expenditure_pc",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","political_stability",44181,0,0,0
"eligible_MAP","AO62FL","AGO","2011","hib3_pct",44181,7950,7950,0
"eligible_MAP","AO62FL","AGO","2011","pcv3_pct",44181,44181,0,44181
"eligible_MAP","AO62FL","AGO","2011","rotavirus_pct",44181,44181,0,44181
"eligible_MAP","AO62FL","AGO","2011","any_vaccine",44181,44181,7950,36231
"eligible_MAP","AO62FL","AGO","2011","any_required",44181,44181,44181,0
"previous_primary","AO71FL","AGO","2015","male_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","multiple_birth_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","mean_birth_order",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","mean_maternal_age_birth",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","mean_maternal_education_years",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","mean_wealth_quintile",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","urban_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","dtp3_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","measles_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","facility_delivery_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","exclusive_breastfeeding_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","short_birth_interval_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","improved_water_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","improved_sanitation_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","electricity_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","log_hiv_incidence",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","log_gdp_pc",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","log_health_expenditure_pc",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","political_stability",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","hib3_pct",78397,0,0,0
"previous_primary","AO71FL","AGO","2015","pcv3_pct",78397,34754,0,34754
"previous_primary","AO71FL","AGO","2015","rotavirus_pct",78397,52940,0,52940
"previous_primary","AO71FL","AGO","2015","any_vaccine",78397,52940,0,52940
"previous_primary","AO71FL","AGO","2015","any_required",78397,52940,0,52940
"eligible_MAP","AO71FL","AGO","2015","male_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","multiple_birth_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","mean_birth_order",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","mean_maternal_age_birth",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","mean_maternal_education_years",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","mean_wealth_quintile",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","urban_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","dtp3_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","measles_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","facility_delivery_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","exclusive_breastfeeding_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","short_birth_interval_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","improved_water_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","improved_sanitation_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","electricity_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","log_hiv_incidence",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","log_gdp_pc",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","log_health_expenditure_pc",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","political_stability",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","hib3_pct",78397,0,0,0
"eligible_MAP","AO71FL","AGO","2015","pcv3_pct",78397,34754,0,34754
"eligible_MAP","AO71FL","AGO","2015","rotavirus_pct",78397,52940,0,52940
"eligible_MAP","AO71FL","AGO","2015","any_vaccine",78397,52940,0,52940
"eligible_MAP","AO71FL","AGO","2015","any_required",78397,52940,0,52940
"previous_primary","AO81FL","AGO","2023","male_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","multiple_birth_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","mean_birth_order",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","mean_maternal_age_birth",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","mean_maternal_education_years",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","mean_wealth_quintile",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","urban_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","dtp3_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","measles_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","facility_delivery_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","exclusive_breastfeeding_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","short_birth_interval_pct",64704,0,0,0
