"baseline","survey","country","survey_year","variable","records","missing_before","missing_after","resolved_records"
"previous_primary","AO81FL","AGO","2023","improved_water_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","improved_sanitation_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","electricity_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","log_hiv_incidence",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","log_gdp_pc",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","log_health_expenditure_pc",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","political_stability",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","hib3_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","pcv3_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","rotavirus_pct",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","any_vaccine",64704,0,0,0
"previous_primary","AO81FL","AGO","2023","any_required",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","male_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","multiple_birth_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","mean_birth_order",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","mean_maternal_age_birth",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","mean_maternal_education_years",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","mean_wealth_quintile",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","urban_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","dtp3_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","measles_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","facility_delivery_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","exclusive_breastfeeding_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","short_birth_interval_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","improved_water_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","improved_sanitation_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","electricity_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","log_hiv_incidence",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","log_gdp_pc",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","log_health_expenditure_pc",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","political_stability",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","hib3_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","pcv3_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","rotavirus_pct",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","any_vaccine",64704,0,0,0
"eligible_MAP","AO81FL","AGO","2023","any_required",64704,0,0,0
"previous_primary","BU61FL","BDI","2010","male_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","multiple_birth_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","mean_birth_order",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","mean_maternal_age_birth",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","mean_maternal_education_years",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","mean_wealth_quintile",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","urban_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","dtp3_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","measles_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","facility_delivery_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","exclusive_breastfeeding_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","short_birth_interval_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","improved_water_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","improved_sanitation_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","electricity_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","log_hiv_incidence",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","log_gdp_pc",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","log_health_expenditure_pc",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","political_stability",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","hib3_pct",38597,0,0,0
"previous_primary","BU61FL","BDI","2010","pcv3_pct",38597,38597,0,38597
"previous_primary","BU61FL","BDI","2010","rotavirus_pct",38597,38597,0,38597
"previous_primary","BU61FL","BDI","2010","any_vaccine",38597,38597,0,38597
"previous_primary","BU61FL","BDI","2010","any_required",38597,38597,0,38597
"eligible_MAP","BU61FL","BDI","2010","male_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","multiple_birth_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","mean_birth_order",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","mean_maternal_age_birth",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","mean_maternal_education_years",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","mean_wealth_quintile",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","urban_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","dtp3_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","measles_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","facility_delivery_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","exclusive_breastfeeding_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","short_birth_interval_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","improved_water_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","improved_sanitation_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","electricity_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","log_hiv_incidence",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","log_gdp_pc",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","log_health_expenditure_pc",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","political_stability",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","hib3_pct",38604,0,0,0
"eligible_MAP","BU61FL","BDI","2010","pcv3_pct",38604,38604,0,38604
"eligible_MAP","BU61FL","BDI","2010","rotavirus_pct",38604,38604,0,38604
"eligible_MAP","BU61FL","BDI","2010","any_vaccine",38604,38604,0,38604
"eligible_MAP","BU61FL","BDI","2010","any_required",38604,38604,0,38604
"previous_primary","BU71FL","BDI","2016","male_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","multiple_birth_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","mean_birth_order",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","mean_maternal_age_birth",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","mean_maternal_education_years",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","mean_wealth_quintile",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","urban_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","dtp3_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","measles_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","facility_delivery_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","exclusive_breastfeeding_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","short_birth_interval_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","improved_water_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","improved_sanitation_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","electricity_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","log_hiv_incidence",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","log_gdp_pc",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","log_health_expenditure_pc",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","political_stability",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","hib3_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","pcv3_pct",76022,0,0,0
"previous_primary","BU71FL","BDI","2016","rotavirus_pct",76022,35766,17143,18623
"previous_primary","BU71FL","BDI","2016","any_vaccine",76022,35766,17143,18623
"previous_primary","BU71FL","BDI","2016","any_required",76022,35766,17143,18623
"eligible_MAP","BU71FL","BDI","2016","male_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","multiple_birth_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","mean_birth_order",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","mean_maternal_age_birth",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","mean_maternal_education_years",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","mean_wealth_quintile",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","urban_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","dtp3_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","measles_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","facility_delivery_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","exclusive_breastfeeding_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","short_birth_interval_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","improved_water_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","improved_sanitation_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","electricity_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","log_hiv_incidence",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","log_gdp_pc",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","log_health_expenditure_pc",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","political_stability",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","hib3_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","pcv3_pct",76022,0,0,0
"eligible_MAP","BU71FL","BDI","2016","rotavirus_pct",76022,35766,17143,18623
"eligible_MAP","BU71FL","BDI","2016","any_vaccine",76022,35766,17143,18623
"eligible_MAP","BU71FL","BDI","2016","any_required",76022,35766,17143,18623
"eligible_MAP","BJ41FL","BEN","2001","male_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","multiple_birth_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","mean_birth_order",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","mean_maternal_age_birth",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","mean_maternal_education_years",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","mean_wealth_quintile",1588,1588,1588,0
"eligible_MAP","BJ41FL","BEN","2001","urban_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","dtp3_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","measles_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","facility_delivery_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","exclusive_breastfeeding_pct",1588,1588,1588,0
"eligible_MAP","BJ41FL","BEN","2001","short_birth_interval_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","improved_water_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","improved_sanitation_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","electricity_pct",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","log_hiv_incidence",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","log_gdp_pc",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","log_health_expenditure_pc",1588,0,0,0
"eligible_MAP","BJ41FL","BEN","2001","political_stability",1588,338,338,0
"eligible_MAP","BJ41FL","BEN","2001","hib3_pct",1588,1588,0,1588
"eligible_MAP","BJ41FL","BEN","2001","pcv3_pct",1588,1588,0,1588
"eligible_MAP","BJ41FL","BEN","2001","rotavirus_pct",1588,1588,0,1588
"eligible_MAP","BJ41FL","BEN","2001","any_vaccine",1588,1588,0,1588
"eligible_MAP","BJ41FL","BEN","2001","any_required",1588,1588,1588,0
"previous_primary","BJ51FL","BEN","2006","male_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","multiple_birth_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","mean_birth_order",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","mean_maternal_age_birth",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","mean_maternal_education_years",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","mean_wealth_quintile",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","urban_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","dtp3_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","measles_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","facility_delivery_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","exclusive_breastfeeding_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","short_birth_interval_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","improved_water_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","improved_sanitation_pct",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","electricity_pct",83719,83719,83719,0
"previous_primary","BJ51FL","BEN","2006","log_hiv_incidence",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","log_gdp_pc",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","log_health_expenditure_pc",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","political_stability",83719,0,0,0
"previous_primary","BJ51FL","BEN","2006","hib3_pct",83719,60446,0,60446
"previous_primary","BJ51FL","BEN","2006","pcv3_pct",83719,83719,0,83719
"previous_primary","BJ51FL","BEN","2006","rotavirus_pct",83719,83719,0,83719
"previous_primary","BJ51FL","BEN","2006","any_vaccine",83719,83719,0,83719
"previous_primary","BJ51FL","BEN","2006","any_required",83719,83719,83719,0
"eligible_MAP","BJ51FL","BEN","2006","male_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","multiple_birth_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","mean_birth_order",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","mean_maternal_age_birth",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","mean_maternal_education_years",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","mean_wealth_quintile",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","urban_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","dtp3_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","measles_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","facility_delivery_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","exclusive_breastfeeding_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","short_birth_interval_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","improved_water_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","improved_sanitation_pct",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","electricity_pct",88834,88834,88834,0
"eligible_MAP","BJ51FL","BEN","2006","log_hiv_incidence",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","log_gdp_pc",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","log_health_expenditure_pc",88834,0,0,0
"eligible_MAP","BJ51FL","BEN","2006","political_stability",88834,5038,5038,0
"eligible_MAP","BJ51FL","BEN","2006","hib3_pct",88834,65543,0,65543
"eligible_MAP","BJ51FL","BEN","2006","pcv3_pct",88834,88834,0,88834
"eligible_MAP","BJ51FL","BEN","2006","rotavirus_pct",88834,88834,0,88834
"eligible_MAP","BJ51FL","BEN","2006","any_vaccine",88834,88834,0,88834
"eligible_MAP","BJ51FL","BEN","2006","any_required",88834,88834,88834,0
"previous_primary","BJ61FL","BEN","2012","male_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","multiple_birth_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","mean_birth_order",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","mean_maternal_age_birth",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","mean_maternal_education_years",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","mean_wealth_quintile",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","urban_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","dtp3_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","measles_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","facility_delivery_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","exclusive_breastfeeding_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","short_birth_interval_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","improved_water_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","improved_sanitation_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","electricity_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","log_hiv_incidence",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","log_gdp_pc",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","log_health_expenditure_pc",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","political_stability",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","hib3_pct",78171,0,0,0
"previous_primary","BJ61FL","BEN","2012","pcv3_pct",78171,70452,0,70452
"previous_primary","BJ61FL","BEN","2012","rotavirus_pct",78171,78171,0,78171
"previous_primary","BJ61FL","BEN","2012","any_vaccine",78171,78171,0,78171
"previous_primary","BJ61FL","BEN","2012","any_required",78171,78171,0,78171
"eligible_MAP","BJ61FL","BEN","2012","male_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","multiple_birth_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","mean_birth_order",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","mean_maternal_age_birth",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","mean_maternal_education_years",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","mean_wealth_quintile",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","urban_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","dtp3_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","measles_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","facility_delivery_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","exclusive_breastfeeding_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","short_birth_interval_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","improved_water_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","improved_sanitation_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","electricity_pct",78171,0,0,0
"eligible_MAP","BJ61FL","BEN","2012","log_hiv_incidence",78171,0,0,0
