"baseline","records","retained_records","retained_children","retained_deaths","regions","retained_regions","retained_surveys","retained_countries"
"previous_primary",5885022,4667184,1433559,60884,1015,767,80,34
"eligible_MAP",6357802,4729130,1451920,61499,1113,767,80,34
