"svkey","region_var","cmc_offset_months","calendar","group_donor","group_fine","group_coarse","strata_var"
"AO62FL","v024",0,"gregorian","","","",""
"AO71FL","v024",0,"gregorian","","","",""
"AO81FL","v024",0,"gregorian","","","",""
"BU61FL","v024",0,"gregorian","","","",""
"BU71FL","v024",0,"gregorian","","","",""
"BJ41FL","v024",0,"gregorian","","","",""
"BJ51FL","v024",0,"gregorian","","","",""
"BJ61FL","v024",0,"gregorian","","","",""
"BJ71FL","v024",0,"gregorian","","","",""
"BF43FL","v024",0,"gregorian","","","",""
"BF62FL","v024",0,"gregorian","","","",""
"BF81FL","v024",0,"gregorian","","","",""
"CI62FL","v024",0,"gregorian","","","",""
"CI81FL","v024",0,"gregorian","","","",""
"CM44FL","v024",0,"gregorian","","","",""
"CM61FL","v024",0,"gregorian","","","",""
"CM71FL","v024",0,"gregorian","","","",""
"CD51FL","v024",0,"gregorian","","","",""
"CD61FL","v024",0,"gregorian","","","",""
"CD81FL","v024",0,"gregorian","","","",""
"CG51FL","v024",0,"gregorian","","","",""
"CG61FL","v024",0,"gregorian","","","",""
"KM61FL","v024",0,"gregorian","","","",""
"ET41FL","v024",92,"ethiopian_cmc_approx_plus92","","","",""
"ET51FL","v024",92,"ethiopian_cmc_approx_plus92","","","",""
"ET61FL","v024",92,"ethiopian_cmc_approx_plus92","","","",""
"ET71FL","v024",92,"ethiopian_cmc_approx_plus92","","","",""
"ET81FL","v024",92,"ethiopian_cmc_approx_plus92","","","",""
"ET8AFL","v024",0,"gregorian","","","",""
"GA41FL","v024",0,"gregorian","","","",""
"GA61FL","v024",0,"gregorian","","","",""
"GA71FL","v024",0,"gregorian","","","",""
"GH4BFL","v024",0,"gregorian","","","",""
"GH5AFL","v024",0,"gregorian","","","",""
"GH72FL","v024",0,"gregorian","","","",""
"GH8CFL","v024",0,"gregorian","","","",""
"GN52FL","v024",0,"gregorian","","","",""
"GN62FL","v024",0,"gregorian","","","",""
"GN71FL","v024",0,"gregorian","","","",""
"GM61FL","v024",0,"gregorian","","","",""
"GM81FL","v024",0,"gregorian","","","",""
"KE42FL","v024",0,"gregorian","","","",""
"KE52FL","v024",0,"gregorian","","","",""
"KE72FL","v024",0,"gregorian","","","",""
"KE8CFL","v024",0,"gregorian","","","",""
"LB51FL","v024",0,"gregorian","","","",""
"LB5AFL","v024",0,"gregorian","","","",""
"LB6AFL","v024",0,"gregorian","","","",""
"LB7AFL","v024",0,"gregorian","","","",""
"LS41FL","v024",0,"gregorian","","","",""
"LS61FL","v024",0,"gregorian","","","",""
"LS71FL","v024",0,"gregorian","","","",""
"LS81FL","v024",0,"gregorian","","","",""
"MD42FL","v024",0,"gregorian","","","",""
"MD51FL","v024",0,"gregorian","","","",""
"MD81FL","v024",0,"gregorian","","","",""
"ML41FL","v023",0,"gregorian","","","",""
"ML53FL","v024",0,"gregorian","","","",""
"ML6AFL","v024",0,"gregorian","","","",""
"ML7AFL","v024",0,"gregorian","","","",""
"ML8AFL","v024",0,"gregorian","","","",""
"MZ41FL","v024",0,"gregorian","","","",""
"MZ62FL","v024",0,"gregorian","","","",""
"MZ81FL","v024",0,"gregorian","","","",""
"MR71FL","v024",0,"gregorian","","","",""
"MW41FL","v024",0,"gregorian","","","",""
"MW4EFL","v024",0,"gregorian","","","",""
"MW61FL","v024",0,"gregorian","","","",""
"MW7AFL","v024",0,"gregorian","","","",""
"MW81FL","v024",0,"gregorian","","","",""
"NM41FL","v024",0,"gregorian","","","",""
"NM51FL","v024",0,"gregorian","","","",""
"NM61FL","v024",0,"gregorian","","","",""
"NI51FL","v024",0,"gregorian","","","",""
"NI61FL","v024",0,"gregorian","","","",""
"NG4BFL","v024",0,"gregorian","","","",""
"NG53FL","v024",0,"gregorian","","","",""
"NG61FL","v024",0,"gregorian","","","",""
"NG6AFL","v024",0,"gregorian","","","",""
"NG7BFL","v024",0,"gregorian","","","",""
"NG8BFL","v024",0,"gregorian","","","",""
"RW41FL","v024",0,"gregorian","","","",""
"RW53FL","sregnat",0,"gregorian","","","",""
"RW5AFL","v024",0,"gregorian","","","",""
"RW61FL","v024",0,"gregorian","","","",""
"RW70FL","v024",0,"gregorian","","","",""
"RW81FL","v024",0,"gregorian","","","",""
"SN4AFL","v024",0,"gregorian","","","",""
"SN5AFL","v024",0,"gregorian","","","",""
"SN61FL","v024",0,"gregorian","","","",""
"SN6DFL","v024",0,"gregorian","SN7AFL","v024","szone",""
"SN71FL","v024",0,"gregorian","SN7AFL","v024","szone",""
"SN7AFL","szone",0,"gregorian","","","",""
"SN7IFL","szone",0,"gregorian","","","",""
"SN7ZFL","v024",0,"gregorian","","","",""
"SN81FL","szone",0,"gregorian","","","",""
"SN8BFL","szone",0,"gregorian","","","",""
"SN8SFL","v024",0,"gregorian","","","",""
"SL51FL","v024",0,"gregorian","","","",""
"SL61FL","v024",0,"gregorian","","","",""
"SL7AFL","v024",0,"gregorian","","","",""
"ST51FL","v024",0,"gregorian","","","",""
"SZ51FL","v024",0,"gregorian","","","",""
"TD41FL","snewzon",0,"gregorian","","","",""
"TD71FL","v024",0,"gregorian","","","",""
"TG61FL","v024",0,"gregorian","","","",""
"TZ4IFL","v024",0,"gregorian","TZ63FL","v024","v023",""
"TZ63FL","v023",0,"gregorian","","","",""
"TZ7BFL","sreg1",0,"gregorian","","","",""
"TZ82FL","szone",0,"gregorian","","","",""
"UG41FL","v024",0,"gregorian","","","",""
"UG52FL","v024",0,"gregorian","","","",""
"UG5AFL","v024",0,"gregorian","","","",""
"UG61FL","v024",0,"gregorian","","","",""
"UG7BFL","v024",0,"gregorian","","","",""
"ZA71FL","v024",0,"gregorian","","","",""
"ZM42FL","v024",0,"gregorian","","","",""
"ZM51FL","v024",0,"gregorian","","","",""
"ZM61FL","v024",0,"gregorian","","","",""
"ZM71FL","v024",0,"gregorian","","","",""
"ZM81FL","v024",0,"gregorian","","","",""
"ZW52FL","v024",0,"gregorian","","","",""
"ZW62FL","v024",0,"gregorian","","","",""
"ZW72FL","v024",0,"gregorian","","","",""
