"year","countries","separate_age_attributable_deaths","previous_joint_attributable_deaths","ihme_malaria_deaths","model_to_ihme_ratio","percent_change_from_previous_joint"
2005,42,885822.757930022,690826.268717385,564066.526910137,1.57042248683398,28.2265597072147
2015,42,637701.2105912,509213.552945508,416121.688943615,1.53248731689544,25.2325683207889
2024,42,545150.104950561,433509.506456262,428146.804091449,1.27327846369751,25.7527451720514
