"iso3","Location","Year","Age","Unit","Value","Lower","Upper"
"GAB","Gabon",2015,"Under 1","Rate (per 100,000)",3275.99154104619,3166.89615821367,3400.35968470063
"GAB","Gabon",2015,"2 to 4","Number",352.894144264732,328.230458600977,379.150526548717
"GAB","Gabon",2015,"2 to 4","Rate (per 100,000)",258.94407523424,240.84653697847,278.21029072696
"CAF","Central African Republic",2015,"1 to 5 months","Number",5909.77350905939,5488.20793816984,6414.42272458194
"CAF","Central African Republic",2015,"1 to 5 months","Rate (per 100,000)",5978.84571834592,5552.3529763396,6489.39316942308
"CAF","Central African Republic",2015,"6-11 months","Number",4597.78923346703,4273.29253748788,4923.7317016665
"CAF","Central African Republic",2015,"6-11 months","Rate (per 100,000)",4053.19105525019,3767.13029021395,4340.52634391806
"COG","Congo",2015,"Under 5","Number",9147.10580862239,8841.2720631321,9419.83168723379
"COG","Congo",2015,"Under 5","Rate (per 100,000)",1166.23190502342,1127.23890777534,1201.00373642198
"GAB","Gabon",2015,"12 to 23 months","Number",266.58378799303,248.540592567587,287.41693653881
"GAB","Gabon",2015,"12 to 23 months","Rate (per 100,000)",555.60226124224,517.99742317657,599.02179747125
"GAB","Gabon",2015,"1 to 5 months","Number",356.21716428625,328.218431184898,383.954202361136
"GAB","Gabon",2015,"1 to 5 months","Rate (per 100,000)",1692.5208810379,1559.48843575527,1824.30991544323
"GAB","Gabon",2015,"6-11 months","Number",352.659551859875,326.477562474636,381.424859514853
"GAB","Gabon",2015,"6-11 months","Rate (per 100,000)",1442.46042633759,1335.36993815479,1560.11729320793
"COG","Congo",2015,"0 to 6 days (early neonatal)","Number",2639.65102331663,2471.63341598626,2796.25725534564
"COG","Congo",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",85096.0448071569,79679.5584172962,90144.6557106831
"COG","Congo",2015,"7 to 27 days (late neonatal)","Number",534.070009408613,493.996751418143,578.130814122404
"COG","Congo",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",5795.80526813504,5360.92445535605,6273.95951679102
"COG","Congo",2015,"Under 1","Number",6190.5368832295,5951.92380780672,6418.43643285868
"COG","Congo",2015,"Under 1","Rate (per 100,000)",3900.06927364322,3749.74183980352,4043.64713251904
"BDI","Burundi",2015,"Under 5","Number",39468.6283250787,38225.5754220851,40729.0551421606
"BDI","Burundi",2015,"Under 5","Rate (per 100,000)",1957.77625264588,1896.11666229429,2020.29764736871
"BDI","Burundi",2015,"0 to 6 days (early neonatal)","Number",9707.90300652462,9185.46571699669,10232.9915587009
"BDI","Burundi",2015,"0 to 6 days (early neonatal)","Rate (per 100,000)",112467.456594823,106414.945239486,118550.683210357
"BDI","Burundi",2015,"7 to 27 days (late neonatal)","Number",2941.21140358087,2720.7234601849,3181.35981338722
"BDI","Burundi",2015,"7 to 27 days (late neonatal)","Rate (per 100,000)",11534.5113590092,10669.8265952655,12476.2983238587
"COG","Congo",2015,"2 to 4","Number",1882.26599761028,1740.9851046144,2028.67566640774
"COG","Congo",2015,"2 to 4","Rate (per 100,000)",403.33257228584,373.05885642463,434.7052838997
"BDI","Burundi",2015,"Under 1","Number",25207.8087458579,24313.626191952,26184.9908459026
"BDI","Burundi",2015,"Under 1","Rate (per 100,000)",5835.30125609056,5628.30886605035,6061.50703197963
"BDI","Burundi",2015,"2 to 4","Number",8966.85323775411,8363.32353759085,9672.41311609717
"BDI","Burundi",2015,"2 to 4","Rate (per 100,000)",767.71228165879,716.04006724021,828.11998207358
"COG","Congo",2015,"12 to 23 months","Number",1074.30292778261,984.827104726902,1161.33342602025
"COG","Congo",2015,"12 to 23 months","Rate (per 100,000)",675.99116992975,619.68966991179,730.75398105293
"COG","Congo",2015,"1 to 5 months","Number",1655.94024038965,1535.28944390308,1794.11305126499
"COG","Congo",2015,"1 to 5 months","Rate (per 100,000)",2449.82257539423,2271.32999591411,2654.23748308948
"COG","Congo",2015,"6-11 months","Number",1360.8756101146,1258.61463725196,1475.07923807861
"COG","Congo",2015,"6-11 months","Rate (per 100,000)",1726.60799139026,1596.86460291326,1871.5035977358
"BDI","Burundi",2015,"12 to 23 months","Number",5293.9663414667,4873.13382855515,5692.18452448792
