"age_band","start_month","end_month","cumulative_hazard","death_probability","counterfactual_death_probability","survival_end","counterfactual_survival_end"
"<1",0,0.919917864476386,0.0221071043735652,0.0218645331456952,0.0230473230307493,0.978135466854305,0.976952676969251
"1-5",0.919917864476386,6,0.0148483793814095,0.014738685791425,0.0142273769301367,0.96371903554689,0.963053202991103
"6-11",6,12,0.0153610482113161,0.015243669100871,0.0111209419742582,0.949028421462803,0.952343144202516
"12-23",12,24,0.0112801099448412,0.0112167280467697,0.0061531220062135,0.9383834277506,0.946483260644457
"24-35",24,36,0.0084362241945785,0.00840073911206422,0.00349998257759616,0.930500313386982,0.943170585722215
"36-47",36,48,0.0084362241945785,0.00840073911206422,0.00420656556985474,0.922683423010524,0.939203076809816
"48-59",48,60,0.0084362241945785,0.00840073911206422,0.00472702559899093,0.914932200290787,0.934763439823085
