"age_band","pfpr_pct","log_hr_zero_vs_current","log_hr_se","attributable_fraction","af_lower_95","af_upper_95","zero_below_observed_support","current_outside_central95"
"<1",10,-0.0141206987883151,0.0150891793277657,0.0140214693333482,-0.0155741247161412,0.0427545963646011,TRUE,FALSE
"<1",20,-0.0320369187951591,0.0252543879401472,0.0315291733568886,-0.017615027990938,0.0783000287343005,TRUE,FALSE
"<1",30,-0.053738482865642,0.0294963173252916,0.0523200913678714,-0.00408261033213422,0.1055544633644,TRUE,FALSE
"<1",40,-0.0675593690553162,0.0317178630634596,0.0653277716384456,0.00537784478903401,0.121664272313485,TRUE,FALSE
"1-5",10,-0.0555300592672079,0.0197660111210213,0.0540164123303819,0.0166485330005316,0.0899642923492321,TRUE,FALSE
"1-5",20,-0.106487532098358,0.0340195407961267,0.101013743436417,0.0390272556166711,0.159001861172635,TRUE,FALSE
"1-5",30,-0.1492685504699,0.0414881050118892,0.138662228826575,0.0656945543823562,0.205931251359076,TRUE,FALSE
"1-5",40,-0.183215521325534,0.0460079121342466,0.167411304220278,0.0888429590541893,0.239204763626025,TRUE,FALSE
"6-11",10,-0.155796550219626,0.0281504215995968,0.14426672859183,0.0957249661563895,0.190202754263397,TRUE,FALSE
"6-11",20,-0.292398973419641,0.0465220601555311,0.253529345395794,0.182264002173428,0.318583944370506,TRUE,FALSE
"6-11",30,-0.396172572011543,0.0529802471963894,0.32710943616105,0.253478818138022,0.393477744631212,TRUE,FALSE
"6-11",40,-0.470133787831193,0.0557157252771342,0.375081343821998,0.302972884824866,0.439730078877638,TRUE,FALSE
"12-23",10,-0.365743350706313,0.0416365062871897,0.30631918894407,0.247335572846602,0.360680470250068,TRUE,FALSE
"12-23",20,-0.630348288779267,0.064761017620006,0.467593662442029,0.395538133871128,0.531059734028848,TRUE,FALSE
"12-23",30,-0.739919549915534,0.0668248223091284,0.522847699080128,0.456074450043557,0.58142374762252,TRUE,FALSE
"12-23",40,-0.766760934452875,0.0663212978181116,0.535484770525434,0.47100229776234,0.592107115964619,TRUE,FALSE
"24-35",10,-0.464455142135396,0.0474335359657298,0.371522557204064,0.310290932521862,0.427318104505217,TRUE,FALSE
"24-35",20,-0.802898763130107,0.073562830684951,0.551971648123111,0.482484402907494,0.612128783725061,TRUE,FALSE
"24-35",30,-0.945725888795719,0.0752858405734624,0.611602464868203,0.549846048945924,0.664886546162217,TRUE,FALSE
"24-35",40,-0.974075020167328,0.0742931264495074,0.622458589706429,0.563278895454091,0.673618895439767,TRUE,FALSE
"36-47",10,-0.389890374679592,0.0497443953980309,0.322868898856548,0.253523661955465,0.385772187586221,TRUE,FALSE
"36-47",20,-0.691718298175816,0.0772369474315228,0.499285048138518,0.417446283839856,0.5696268754919,TRUE,FALSE
"36-47",30,-0.848503428211459,0.0793745673214503,0.571944932036845,0.499891035979302,0.633617562589104,TRUE,FALSE
"36-47",40,-0.886614805475422,0.0782739273693192,0.587951742021206,0.51962964891918,0.64655652347954,TRUE,FALSE
"48-59",10,-0.407132417642467,0.0580067684348741,0.334443946897291,0.254305404126278,0.405970135397537,TRUE,FALSE
"48-59",20,-0.683042624541198,0.0891183682924942,0.49492211028526,0.398525189763518,0.575869728312652,TRUE,FALSE
"48-59",30,-0.758357936007475,0.0901371457761599,0.531565003942701,0.441046576432167,0.607424632752836,TRUE,FALSE
"48-59",40,-0.728936793720202,0.0880367654758655,0.517578368771895,0.426722125696521,0.594035212749927,TRUE,FALSE
