"age_band","records","observed_deaths","fitted_deaths","mean_observed_probability","mean_fitted_probability","brier_score","bernoulli_log_loss","smoothing_corrected_covariance_available","model_md5_verified"
"<1",1042571,30086,30091.601288447,0.028857507066665,0.0288628796393222,0.0275318470832401,0.125515542009169,TRUE,TRUE
"1-5",935677,12137,12137.750868297,0.0129713565685594,0.0129721590552052,0.012733647718043,0.067193976931784,TRUE,TRUE
"6-11",895573,11291,11291.8312262724,0.0126075707954572,0.0126084989456725,0.0123785518558483,0.0651795677478221,TRUE,TRUE
"12-23",772578,11062,11065.62009341,0.014318295369529,0.0143229811014685,0.0139771701790317,0.070990317218332,TRUE,TRUE
"24-35",768240,9168,9170.73832976129,0.0119337706966573,0.0119373351163195,0.0116786377171863,0.0607409157604671,TRUE,TRUE
"36-47",744682,5477,5477.4912465666,0.00735481722399628,0.00735547689693946,0.00727014050675851,0.0415396796000959,TRUE,TRUE
"48-59",725701,3194,3194.08143579116,0.00440126167664093,0.00440137389336831,0.0043754764863367,0.0275370462494219,TRUE,TRUE
