"svkey","regkey","iso3","survey_year","region","lat","lon","mean_pfpr_pct","person_months_w","deaths_w"
"BJ51FL","alibori","BEN",2006,"Alibori",11.3252083911183,2.89907656539624,47.7549830776195,32149.99314,116.571454
"BJ61FL","alibori","BEN",2012,"Alibori",11.3252083868267,2.89907656874522,50.3399068959756,13551.333554,22.2419
"BJ71FL","alibori","BEN",2017,"Alibori",11.3252083868267,2.89907656874522,43.681051368249,37242.933709,73.707597
"BF43FL","boucledumouhoun","BFA",2003,"Boucle du Mouhoun",12.5380342481171,-3.48300292988694,76.2215156203463,18799.948862,87.064319
"BF43FL","centre","BFA",2003,"Centre",12.3223074082079,-1.50207114533971,68.7340416683062,,
"BF43FL","centreest","BFA",2003,"Centre-Est",11.6041594002688,-0.18567495122542,60.3344120103015,19456.663208,78.090851
"BF43FL","centrenord","BFA",2003,"Centre-Nord",13.2686113917498,-0.974232929476776,75.3390891441515,21650.352572,129.867077
"BF43FL","centreouest","BFA",2003,"Centre-Ouest",11.7993637666693,-2.22008548708101,75.4706008939947,16237.414976,89.561108
"BF43FL","centresud","BFA",2003,"Centre-Sud",11.5859456759347,-1.21945357538953,67.5637901801107,12853.695539,44.765329
"BF43FL","est","BFA",2003,"Est",12.2282387138743,0.920215008871161,54.307657529969,19089.724779,105.14914
"BF43FL","hautsbassins","BFA",2003,"Hauts-Bassins",11.3686838991293,-4.32866514777171,80.5115491987035,30588.785692,160.721487
"BF43FL","nord","BFA",2003,"Nord",13.4565926624718,-2.28301186955895,73.4215812101461,25966.866152,170.039763
"BF43FL","ouagadougou","BFA",2003,"Ouagadougou",12.3630066060918,-1.53439361878581,57.6595513417486,13826.502135,48.922186
"BF43FL","plateaucentral","BFA",2003,"Plateau Central",12.4497844241213,-1.14239478438732,77.0637088586545,12586.084385,49.27232
"BF43FL","sahel","BFA",2003,"Sahel",14.1479483167321,-0.442209231256767,49.9139507332677,18474.187618,130.3379
"BF62FL","boucledumouhoun","BFA",2010,"Boucle du Mouhoun",12.5380342481171,-3.48300292988694,69.3582160417214,40235.120906,129.621596
"BF62FL","centre","BFA",2010,"Centre",12.3225449031426,-1.50225972108387,30.4436162225047,29520.524373,62.983329
"BF62FL","centreest","BFA",2010,"Centre-Est",11.6041594002688,-0.18567495122542,59.3462266485987,26425.135273,56.438149
"BF62FL","centrenord","BFA",2010,"Centre-Nord",13.2686113917498,-0.974232929476776,65.2482434943906,26194.477026,74.918902
"BF62FL","centreouest","BFA",2010,"Centre-Ouest",11.7993637666693,-2.22008548708101,67.7257413980728,27245.928119,109.94118
"BF62FL","centresud","BFA",2010,"Centre-Sud",11.5859456759347,-1.21945357538953,55.6639102065056,15328.654454,53.248881
"BF62FL","est","BFA",2010,"Est",12.2282387138743,0.920215008871161,67.2355181165983,37872.124638,188.030421
"BF62FL","hautsbassins","BFA",2010,"Hauts-Bassins",11.3686838991293,-4.32866514777171,58.9209799773482,37122.650027,123.862109
"BF62FL","nord","BFA",2010,"Nord",13.4565926624718,-2.28301186955895,75.7271508051221,25522.021853,102.927979
"BF62FL","plateaucentral","BFA",2010,"Plateau Central",12.4497844241213,-1.14239478438732,53.149093208965,15324.767725,49.384688
"BF62FL","sahel","BFA",2010,"Sahel",14.1479483167321,-0.442209231256767,63.1025522781907,31483.697558,188.825336
"BF81FL","boucledumouhoun","BFA",2021,"Boucle du Mouhoun",12.5380342480862,-3.48300292992806,30.5655432193181,27888.064375,36.197464
"BF81FL","centre","BFA",2021,"Centre",12.3225449030978,-1.50225972117308,20.8024011101319,42736.79293,31.994973
"BF81FL","centreest","BFA",2021,"Centre-Est",11.6034993861784,-0.181709976495725,24.2107450328274,30118.962227,38.153916
"BF81FL","centrenord","BFA",2021,"Centre-Nord",13.2685074972795,-0.974384932422449,29.8857968301968,27980.572436,40.386351
"BF81FL","centreouest","BFA",2021,"Centre-Ouest",11.7993637668096,-2.22008548726617,35.0127523239662,28605.33795,27.868442
"BF81FL","centresud","BFA",2021,"Centre-Sud",11.5865392966111,-1.21654367403864,29.7589138263563,11881.520718,14.588491
"BF81FL","est","BFA",2021,"Est",12.2283825490974,0.920098233673592,39.2762119554399,21681.466724,18.629661
"BF81FL","hautsbassins","BFA",2021,"Hauts-Bassins",11.3686838990998,-4.32866514799334,18.8497110611026,26212.291922,28.844327
"BF81FL","nord","BFA",2021,"Nord",13.4565926624788,-2.28301186916294,25.932750049766,18070.415089,19.237401
"BF81FL","plateaucentral","BFA",2021,"Plateau-Central",12.4495264684502,-1.14173970417544,28.986678289055,17326.98921,24.389424
"BF81FL","sahel","BFA",2021,"Sahel",14.1479483170986,-0.442209231185252,30.0170998519642,8468.125693,21.367591
"CM44FL","farnorth","CMR",2004,"Far North",11.0636603815714,14.5230685152645,19.3666866478605,38786.91926,156.77462
"CM61FL","farnorth","CMR",2011,"Far North",11.0636603841738,14.5230685181076,21.3535323930004,54123.402899,252.697756
"CM71FL","farnorth","CMR",2018,"Far North",11.0636603841738,14.5230685181076,16.0615394144184,44680.7926060001,104.085172
"GN52FL","boke","GIN",2005,"Boke",11.3613969252591,-13.772587755293,41.2800702217255,13219.585603,42.816956
"GN52FL","labe","GIN",2005,"Labe",11.7512749108151,-12.0175891287267,43.1466542199312,11074.269231,34.656635
"GN62FL","boke","GIN",2012,"Boke",11.3613969252591,-13.772587755293,28.4992372993728,14515.485267,44.635692
"GN62FL","labe","GIN",2012,"Labe",11.7512749108151,-12.0175891287267,38.5315153811367,13713.230463,57.787901
"GN71FL","boke","GIN",2018,"Boké",11.3613969252591,-13.772587755293,23.8840461097157,19132.688418,64.418137
"GN71FL","labe","GIN",2018,"Labé",11.7512749108151,-12.0175891287267,21.205403423959,20095.234837,58.024522
"GM61FL","banjul","GMB",2013,"Banjul",13.4577865012431,-16.5976206588082,17.5484263089124,2763.74209,4.625818
"GM61FL","basse","GMB",2013,"Basse",13.3988197248954,-14.1601550427024,20.6863759064778,25819.18413,57.434038
"GM61FL","brikama","GMB",2013,"Brikama",13.2454309685905,-16.3989863733328,18.2314279663914,60166.6779409999,125.928771
"GM61FL","janjanbureh","GMB",2013,"Janjanbureh",13.5415188666221,-14.9408744806733,18.1210359691026,14511.87121,15.275025
"GM61FL","kanifing","GMB",2013,"Kanifing",13.4495546609509,-16.6620823847617,17.1391534028917,30765.910704,55.76913
"GM61FL","kerewan","GMB",2013,"Kerewan",13.5091199533534,-16.0192873433387,15.5316550046224,20108.618599,16.894317
"GM61FL","kuntaur","GMB",2013,"Kuntaur",13.6602473838852,-14.9298158603816,16.843266007307,11632.950002,18.591184
"GM61FL","mansakonko","GMB",2013,"Mansakonko",13.391125169885,-15.7348308140509,16.9649719161972,8852.639303,11.770606
"GM81FL","banjul","GMB",2019,"Banjul",13.4308704719416,-16.6190548584627,8.31507918877946,1732.771029,2.704131
"GM81FL","basse","GMB",2019,"Basse",13.3984299455495,-14.1589951753945,9.20508889029516,21080.987172,38.021564
"GM81FL","brikama","GMB",2019,"Brikama",13.2425193398986,-16.3929759659518,8.56738092140785,73234.693144,115.292536
"GM81FL","janjanbureh","GMB",2019,"Janjanbureh",13.5402880234889,-14.9366140522677,6.91313204367105,10902.934187,25.787538
"GM81FL","kanifing","GMB",2019,"Kanifing",13.4440056944325,-16.6747283019561,8.17277739969846,29177.361771,63.456625
"GM81FL","kerewan","GMB",2019,"Kerewan",13.5085214975041,-16.0112532553312,6.42874437958598,20550.443696,58.322967
"GM81FL","kuntaur","GMB",2019,"Kuntaur",13.6602789141231,-14.9294628753505,6.34209952401965,10576.144496,32.419255
"GM81FL","mansakonko","GMB",2019,"Mansakonko",13.3905486341632,-15.7367323998165,6.60821027299522,7404.23729600001,19.301545
"ML41FL","bamako","MLI",2001,"Bamako",12.606547927628,-7.97691305715908,31.5742328875043,28717.606783,131.27937
"ML41FL","kayes","MLI",2001,"Kayes",13.8729838052462,-10.2337517520479,33.4924167248142,39292.393599,256.726369
"ML41FL","kidalgaotimbouctou","MLI",2001,"Kidal/Gao/Timbouctou",19.2413692119077,-1.65310220301311,17.5797957572107,,
"ML41FL","koulikoro","MLI",2001,"Koulikoro",13.6249668816495,-7.64090621023042,40.8597878479585,46124.222806,313.087709
"ML41FL","mopti","MLI",2001,"Mopti",14.7058903786012,-3.52031448771255,44.0505787120861,37526.16541,330.719666
"ML41FL","segou","MLI",2001,"Segou",13.8089523790353,-5.69211709678914,49.3516837475402,47886.663494,331.906014
"ML41FL","sikasso","MLI",2001,"Sikasso",11.4251282015973,-6.55627553848271,52.6553967253173,58132.54915,393.249636
"ML53FL","bamako","MLI",2006,"Bamako",12.606547927628,-7.97691305715908,23.8549370123958,32919.762717,106.061648
"ML53FL","gao","MLI",2006,"Gao",16.8078496564357,1.36641622343453,13.7386229582357,13402.292858,42.86582
"ML53FL","kayes","MLI",2006,"Kayes",13.8729838052462,-10.2337517520479,33.1410385436506,42130.267761,199.573746
"ML53FL","kidal","MLI",2006,"Kidal",19.4917545753818,1.14660529462239,12.3187212341308,945.382826,1.323965
"ML53FL","koulikoro","MLI",2006,"Koulikoro",13.6249668816495,-7.64090621023042,38.520034019726,53675.838824,357.927464
"ML53FL","mopti","MLI",2006,"Mopti",14.7058903786012,-3.52031448771255,43.42725910761,36895.979561,199.016922
"ML53FL","segou","MLI",2006,"Segou",13.8089523790353,-5.69211709678914,54.2255324039494,51425.091797,363.927409
"ML53FL","sikasso","MLI",2006,"Sikasso",11.4251282015973,-6.55627553848271,54.2592504972276,55959.229828,340.636221
"ML53FL","tombouctou","MLI",2006,"Tombouctou",20.010793467851,-3.56660766116505,22.470066213662,14302.659219,87.956457
"ML6AFL","bamako","MLI",2012,"Bamako",12.606547927628,-7.97691305715907,8.60741554039916,23092.3495349999,43.37107
"ML6AFL","gao","MLI",2012,"Gao",16.8078496580448,1.36641622449416,19.0363507358707,,
"ML6AFL","kayes","MLI",2012,"Kayes",13.8729838053101,-10.2337517522317,23.9835629510229,30671.837768,85.469367
