"band","stratum","regions","deaths_w","person_years_w","month","rate_ratio"
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,10,1.16982612111507
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,11,0.934591693173792
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,12,0.83122676761306
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,1,0.733158676107461
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,2,0.919963682271298
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,3,0.924793181131348
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,4,0.979908490934728
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,5,1.01231644024159
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,6,1.00827380079024
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,7,1.07669030496225
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,8,1.15903651815714
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,9,1.28936310594996
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,10,1.10883587350099
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,11,1.02678627379535
"6-11 months","PfPR >= 25%",70,2472.745029,62676.3362625,12,0.842455632832468
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,1,0.805148131922164
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,2,0.744577287956868
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,3,0.69440331299431
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,4,0.913109159425962
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,5,1.08143848566279
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,6,0.835782694673344
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,7,1.03546136304505
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,8,1.21842482605361
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,9,1.28410976553143
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,10,1.43080181079026
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,11,1.18358629943775
"12-23 months","PfPR < 10%",117,591.987154,107704.054265333,12,0.777484885548078
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,1,1.32516786663665
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,2,1.0415229981607
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,3,0.810368474316379
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,4,0.916505145403141
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,5,1.21241087053522
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,6,1.05627113052985
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,7,0.90930941893076
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,8,1.33753087797351
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,9,0.79184305895301
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,10,0.769891687558121
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,11,1.05422827699417
"12-23 months","PfPR 10-25%",53,896.635956,53515.9065735,12,0.77497380445986
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,1,0.986587798846185
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,2,1.04980777134432
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,3,0.939146217182836
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,4,0.94993799887825
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,5,1.02763353461434
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,6,0.936678170596919
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,7,1.03844008412134
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,8,1.12485938179514
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,9,1.06571142218213
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,10,0.882448200827261
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,11,1.04462928847614
"12-23 months","PfPR >= 25%",70,3446.76061,121034.155216083,12,0.955324546797472
