"band","stratum","regions","deaths_w","person_years_w","month","rate_ratio"
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,1,0.869842286397586
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,2,0.948605510680611
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,3,1.03613914973739
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,4,0.981358229995742
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,5,1.23119837753302
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,6,1.26114104688525
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,7,1.12813841497727
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,8,1.03565289448839
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,9,0.935072446740641
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,10,0.8161696131515
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,11,0.932273988644796
"<1 month","PfPR < 10%",117,2886.068115,9754.78630158334,12,0.992877615349096
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,1,0.994804839865468
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,2,1.00322241653632
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,3,0.996171160007372
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,4,1.01952233011275
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,5,1.05006063777333
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,6,1.01170095590571
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,7,0.997392385160482
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,8,1.19697631162366
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,9,1.03664907208919
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,10,0.725142934476104
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,11,1.07434947672903
"<1 month","PfPR 10-25%",53,1651.610038,5010.08559683333,12,0.879462236210872
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,1,1.16416313531166
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,2,1.00517154967107
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,3,0.910539263915712
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,4,1.03806094344395
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,5,0.968833812209042
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,6,1.02253208131316
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,7,0.922844334793144
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,8,0.970980812819755
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,9,0.94530830443828
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,10,0.942080279117728
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,11,1.1224431686616
"<1 month","PfPR >= 25%",70,5244.604775,11449.1753055,12,1.00918820231239
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,1,0.857245839786674
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,2,0.790111727700885
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,3,0.991334054764088
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,4,0.92392107775011
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,5,0.847755548738082
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,6,0.898419645382196
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,7,1.12949297943803
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,8,1.18418593520448
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,9,0.79920691534935
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,10,1.36314554256836
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,11,1.00539614257369
"1-5 months","PfPR < 10%",117,960.824869000001,46849.39457525,12,1.25979258522547
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,1,0.962003190878759
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,2,1.01720592076111
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,3,0.857950908673184
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,4,1.02519043946135
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,5,1.15590325322721
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,6,0.930305072958459
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,7,0.972654954752304
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,8,1.08356454306967
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,9,0.799001367419042
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,10,0.939860461131825
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,11,0.965065800907576
"1-5 months","PfPR 10-25%",53,777.928652,23885.35119325,12,1.28613727175279
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,1,1.02805031417299
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,2,0.793472541726447
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,3,0.9308545376519
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,4,1.13847272727675
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,5,1.1700695200978
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,6,0.943130906197641
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,7,1.19478112929767
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,8,0.992213286641823
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,9,1.04473558461097
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,10,1.01321664593503
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,11,0.786361747826257
"1-5 months","PfPR >= 25%",70,2285.821466,54181.8899808334,12,0.92870408459178
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,1,1.14172415112571
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,2,1.28162631027958
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,3,0.820611425470198
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,4,0.854178289434359
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,5,0.893876984659374
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,6,0.923403170114284
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,7,0.894585489967979
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,8,1.15354425228274
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,9,0.879035529349677
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,10,1.15367134768301
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,11,1.02680578053307
"6-11 months","PfPR < 10%",117,699.633151,54954.9629195834,12,1.02779542543169
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,1,1.01932859978852
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,2,0.991840373396811
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,3,0.80314522615304
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,4,1.0485541714201
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,5,1.027133015264
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,6,1.06395390648434
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,7,0.942706080123761
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,8,0.98817769372508
"6-11 months","PfPR 10-25%",53,740.457104,27706.419289,9,1.19505954971674
