"svkey","iso3","survey_year","band","month","age_months","person_months_w","person_months_n","deaths_w","deaths_n"
"NG8BFL","NGA",2024,"<1 month",2,0,832.471576999998,600,42.723884,27
"ML41FL","MLI",2001,"<1 month",3,0,1115.283894,1015,68.956531,52
"BF43FL","BFA",2003,"<1 month",3,0,845.075763,747,19.438046,15
"NG4BFL","NGA",2003,"<1 month",3,0,243.995819,196,7.520976,8
"CM44FL","CMR",2004,"<1 month",3,0,186.8137,113,1.57786,1
"TD41FL","TCD",2004,"<1 month",3,0,208.583543,264,4.311482,3
"GN52FL","GIN",2005,"<1 month",3,0,164.001538,169,4.338359,4
"SN4AFL","SEN",2005,"<1 month",3,0,838.634198,879,32.523191,30
"BJ51FL","BEN",2006,"<1 month",3,0,119.395157,105,2.651093,2
"ML53FL","MLI",2006,"<1 month",3,0,1335.994835,1354,61.135851,60
"NI51FL","NER",2006,"<1 month",3,0,978.697301,846,20.966753,20
"NG53FL","NGA",2008,"<1 month",3,0,835.948562000007,765,27.025644,24
"SN5AFL","SEN",2008,"<1 month",3,0,1114.707382,1115,38.351116,44
"BF62FL","BFA",2010,"<1 month",3,0,1160.753097,1067,19.886237,19
"NG61FL","NGA",2010,"<1 month",3,0,167.144699,122,3.515889,2
"SN61FL","SEN",2010,"<1 month",3,0,844.356055,941,16.381973,22
"CM61FL","CMR",2011,"<1 month",3,0,248.770833,164,14.898244,8
"BJ61FL","BEN",2012,"<1 month",3,0,33.694033,39,0,0
"GN62FL","GIN",2012,"<1 month",3,0,114.658452,133,2.209439,3
"ML6AFL","MLI",2012,"<1 month",3,0,918.852062,924,28.824604,28
"NI61FL","NER",2012,"<1 month",3,0,1573.58433,1495,25.295771,27
"SN6DFL","SEN",2012,"<1 month",3,0,488.115573,544,13.545308,14
"GM61FL","GMB",2013,"<1 month",3,0,741.521361,726,18.384591,17
"NG6AFL","NGA",2013,"<1 month",3,0,1260.93685800001,1091,51.038697,42
"SN71FL","SEN",2014,"<1 month",3,0,497.909675,540,3.870809,7
"TD71FL","TCD",2014,"<1 month",3,0,681.898842,778,18.448108,20
"SN7AFL","SEN",2015,"<1 month",3,0,505.985307,530,14.108184,17
"SN7IFL","SEN",2016,"<1 month",3,0,466.114751,528,11.648595,11
"BJ71FL","BEN",2017,"<1 month",3,0,152.23889,139,0.92923,1
"SN7ZFL","SEN",2017,"<1 month",3,0,892.67348,976,33.085374,39
"CM71FL","CMR",2018,"<1 month",3,0,185.763417,124,4.32951,2
"GN71FL","GIN",2018,"<1 month",3,0,255.473254,309,9.791413,11
"ML7AFL","MLI",2018,"<1 month",3,0,891.452252,842,30.05201,30
"NG7BFL","NGA",2018,"<1 month",3,0,1108.1264,936,45.784393,41
"SN81FL","SEN",2018,"<1 month",3,0,507.497483,544,13.250812,16
"GM81FL","GMB",2019,"<1 month",3,0,688.357431,733,11.714546,20
"SN8BFL","SEN",2019,"<1 month",3,0,447.080194,471,9.142765,11
"MR71FL","MRT",2020,"<1 month",3,0,788.469585,800,8.464568,10
"BF81FL","BFA",2021,"<1 month",3,0,869.738679,800,11.646631,11
"ML8AFL","MLI",2023,"<1 month",3,0,1339.78073,1255,47.9195,45
"SN8SFL","SEN",2023,"<1 month",3,0,845.779062,929,19.186795,26
"NG8BFL","NGA",2024,"<1 month",3,0,944.936197999999,715,56.136624,38
"ML41FL","MLI",2001,"<1 month",4,0,1097.650247,998,81.459006,68
"BF43FL","BFA",2003,"<1 month",4,0,890.754693,782,21.154099,17
