"svkey","iso3","survey_year","regkey","band","month","person_months_w","person_months_n","deaths_w","deaths_n"
"MR71FL","MRT",2020,"gorgol","<1 month",1,103.250527,109,0.604323,1
"TD71FL","TCD",2014,"guera","<1 month",1,96.2705589999999,81,2.21334,2
"MR71FL","MRT",2020,"guidimagha","<1 month",1,96.259933,140,2.216088,5
"TD71FL","TCD",2014,"hadjerlamis","<1 month",1,116.195855,88,6.488739,5
"BF43FL","BFA",2003,"hautsbassins","<1 month",1,100.99191,55,5.841168,3
"BF62FL","BFA",2010,"hautsbassins","<1 month",1,139.771567,105,4.907161,4
"BF81FL","BFA",2021,"hautsbassins","<1 month",1,78.788332,88,2.07806,3
"GM61FL","GMB",2013,"janjanbureh","<1 month",1,54.350862,75,0,0
"GM81FL","GMB",2019,"janjanbureh","<1 month",1,45.739763,99,0.443708,1
"SN61FL","SEN",2010,"kaffrine","<1 month",1,26.143864,49,0.43239,1
"SN7ZFL","SEN",2017,"kaffrine","<1 month",1,56.936749,100,0.725534,2
"SN8SFL","SEN",2023,"kaffrine","<1 month",1,40.628118,80,1.759444,4
"TD71FL","TCD",2014,"kanem","<1 month",1,36.219212,48,0,0
"GM61FL","GMB",2013,"kanifing","<1 month",1,125.520961,76,2.962313,2
"GM81FL","GMB",2019,"kanifing","<1 month",1,101.352008,64,4.800341,3
"SN4AFL","SEN",2005,"kaolack","<1 month",1,143.289388,140,1.944508,2
"SN5AFL","SEN",2008,"kaolack","<1 month",1,91.351136,191,1.470276,4
"SN61FL","SEN",2010,"kaolack","<1 month",1,73.9665929999999,89,1.723499,2
"SN7ZFL","SEN",2017,"kaolack","<1 month",1,62.108541,57,2.47666,2
"SN8SFL","SEN",2023,"kaolack","<1 month",1,82.434785,69,0,0
"ML41FL","MLI",2001,"kayes","<1 month",1,127.896105,145,9.750828,11
"ML53FL","MLI",2006,"kayes","<1 month",1,137.52552,130,2.783663,4
"ML6AFL","MLI",2012,"kayes","<1 month",1,94.09829,111,2.009285,2
"ML7AFL","MLI",2018,"kayes","<1 month",1,121.203722,100,8.577854,6
"ML8AFL","MLI",2023,"kayes","<1 month",1,178.396023,173,4.056433,4
"SN61FL","SEN",2010,"kedougou","<1 month",1,13.524365,50,0.4991,2
"SN7ZFL","SEN",2017,"kedougou","<1 month",1,11.047971,52,0.15115,1
"SN8SFL","SEN",2023,"kedougou","<1 month",1,9.878723,51,0,0
"GM61FL","GMB",2013,"kerewan","<1 month",1,98.744337,127,0.508489,1
"GM81FL","GMB",2019,"kerewan","<1 month",1,89.7511,112,1.981764,3
"ML53FL","MLI",2006,"kidal","<1 month",1,2.524774,15,0,0
"ML7AFL","MLI",2018,"kidal","<1 month",1,0.485318,34,0,0
"ML8AFL","MLI",2023,"kidal","<1 month",1,0.498354,18,0.057764,2
"SN4AFL","SEN",2005,"kolda","<1 month",1,106.797789,120,3.694077,3
"SN5AFL","SEN",2008,"kolda","<1 month",1,85.0599519999999,166,3.389538,7
"SN61FL","SEN",2010,"kolda","<1 month",1,49.473938,84,0.7248,2
"SN7ZFL","SEN",2017,"kolda","<1 month",1,69.01042,102,2.083541,3
"SN8SFL","SEN",2023,"kolda","<1 month",1,40.496745,59,0,0
"ML41FL","MLI",2001,"koulikoro","<1 month",1,152.511745,145,7.302161,8
"ML53FL","MLI",2006,"koulikoro","<1 month",1,182.633579,134,13.042652,9
"ML6AFL","MLI",2012,"koulikoro","<1 month",1,144.742902,125,4.713679,5
"ML7AFL","MLI",2018,"koulikoro","<1 month",1,103.403794,76,3.126142,2
"ML8AFL","MLI",2023,"koulikoro","<1 month",1,275.144841,186,10.63608,7
"GM61FL","GMB",2013,"kuntaur","<1 month",1,44.538587,92,2.122331,5
"GM81FL","GMB",2019,"kuntaur","<1 month",1,44.215871,115,2.308178,6
"GN52FL","GIN",2005,"labe","<1 month",1,44.216843,48,0,0
"GN62FL","GIN",2012,"labe","<1 month",1,59.207765,75,2.464494,4
"GN71FL","GIN",2018,"labe","<1 month",1,83.6151940000001,93,2.518526,3
"TD71FL","TCD",2014,"lac","<1 month",1,70.972659,64,1.138618,2
"SN4AFL","SEN",2005,"louga","<1 month",1,57.400487,83,0.941401,1
"SN5AFL","SEN",2008,"louga","<1 month",1,60.267042,80,1.249932,2
"SN61FL","SEN",2010,"louga","<1 month",1,42.195139,49,0,0
"SN7ZFL","SEN",2017,"louga","<1 month",1,54.597131,61,2.814939,3
"SN8SFL","SEN",2023,"louga","<1 month",1,51.832066,68,1.605501,2
"GM61FL","GMB",2013,"mansakonko","<1 month",1,37.88459,77,0,0
