"svkey","iso3","month","births_w","births_n"
"BF43FL","BFA",1,651.171991000001,572
"BF43FL","BFA",2,792.320365,653
"BF43FL","BFA",3,845.075763,747
"BF43FL","BFA",4,890.754693,782
"BF43FL","BFA",5,889.381539000001,789
"BF43FL","BFA",6,888.850442,784
"BF43FL","BFA",7,855.004164000002,735
"BF43FL","BFA",8,925.228904999999,821
"BF43FL","BFA",9,808.310445999999,758
"BF43FL","BFA",10,844.669481,769
"BF43FL","BFA",11,668.608233000001,607
"BF43FL","BFA",12,701.891761000002,632
"BF62FL","BFA",1,1048.373261,960
"BF62FL","BFA",2,1023.136942,931
"BF62FL","BFA",3,1160.753097,1067
"BF62FL","BFA",4,1361.230984,1239
"BF62FL","BFA",5,1283.35638,1182
"BF62FL","BFA",6,1179.241627,1063
"BF62FL","BFA",7,1085.985077,986
"BF62FL","BFA",8,1345.552994,1265
"BF62FL","BFA",9,1271.545547,1209
"BF62FL","BFA",10,1271.595443,1189
"BF62FL","BFA",11,1106.114756,1030
"BF62FL","BFA",12,1018.892303,948
"BF81FL","BFA",1,936.520661999998,879
"BF81FL","BFA",2,737.207618999999,694
"BF81FL","BFA",3,869.738679,800
"BF81FL","BFA",4,1081.505936,972
"BF81FL","BFA",5,1061.865765,1008
"BF81FL","BFA",6,929.798454999999,863
"BF81FL","BFA",7,868.688196999999,806
"BF81FL","BFA",8,990.795079999997,918
"BF81FL","BFA",9,1024.406668,950
"BF81FL","BFA",10,1008.741748,925
"BF81FL","BFA",11,820.577775999999,780
"BF81FL","BFA",12,878.812543999998,842
"BJ51FL","BEN",1,114.39532,108
"BJ51FL","BEN",2,142.088515,124
"BJ51FL","BEN",3,119.395157,105
"BJ51FL","BEN",4,142.662416,128
"BJ51FL","BEN",5,154.005479,138
"BJ51FL","BEN",6,142.862778,131
"BJ51FL","BEN",7,161.498376,145
"BJ51FL","BEN",8,163.73448,150
"BJ51FL","BEN",9,100.593232,91
"BJ51FL","BEN",10,96.898278,85
"BJ51FL","BEN",11,67.412969,61
"BJ51FL","BEN",12,64.386307,56
"BJ61FL","BEN",1,147.870354,164
"BJ61FL","BEN",2,49.276402,54
"BJ61FL","BEN",3,33.694033,39
"BJ61FL","BEN",4,40.166412,47
"BJ61FL","BEN",5,31.680263,40
"BJ61FL","BEN",6,55.135561,61
"BJ61FL","BEN",7,48.269554,57
"BJ61FL","BEN",8,45.771049,52
"BJ61FL","BEN",9,66.927922,70
"BJ61FL","BEN",10,39.322173,44
"BJ61FL","BEN",11,28.229708,30
"BJ61FL","BEN",12,33.292667,38
"BJ71FL","BEN",1,144.713093,127
"BJ71FL","BEN",2,114.90421,103
"BJ71FL","BEN",3,152.23889,139
"BJ71FL","BEN",4,170.064224,150
"BJ71FL","BEN",5,159.21329,142
"BJ71FL","BEN",6,150.696341,135
"BJ71FL","BEN",7,121.46639,111
"BJ71FL","BEN",8,153.214329,133
"BJ71FL","BEN",9,125.80027,113
"BJ71FL","BEN",10,175.945208,159
"BJ71FL","BEN",11,131.300654,115
"BJ71FL","BEN",12,126.060398,110
"CM44FL","CMR",1,214.61988,130
"CM44FL","CMR",2,168.74246,103
"CM44FL","CMR",3,186.8137,113
"CM44FL","CMR",4,164.27666,101
"CM44FL","CMR",5,133.9698,82
"CM44FL","CMR",6,116.94086,71
"CM44FL","CMR",7,134.29732,82
"CM44FL","CMR",8,99.25688,60
"CM44FL","CMR",9,122.32948,74
"CM44FL","CMR",10,138.49534,83
"CM44FL","CMR",11,150.85044,90
"CM44FL","CMR",12,145.40208,88
"CM61FL","CMR",1,221.854989,148
"CM61FL","CMR",2,291.893983,183
"CM61FL","CMR",3,248.770833,164
"CM61FL","CMR",4,207.408094,139
"CM61FL","CMR",5,184.244079,121
"CM61FL","CMR",6,184.100784,125
"CM61FL","CMR",7,170.799487,111
"CM61FL","CMR",8,222.924719,147
"CM61FL","CMR",9,204.226582,136
"CM61FL","CMR",10,202.858489,134
"CM61FL","CMR",11,188.501274,123
"CM61FL","CMR",12,208.724925,131
"CM71FL","CMR",1,136.274798,91
"CM71FL","CMR",2,167.560476,114
"CM71FL","CMR",3,185.763417,124
"CM71FL","CMR",4,173.036095,119
"CM71FL","CMR",5,203.461528,138
"CM71FL","CMR",6,161.261272,109
"CM71FL","CMR",7,136.345515,97
"CM71FL","CMR",8,212.009036,143
"CM71FL","CMR",9,194.225892,120
"CM71FL","CMR",10,123.400724,87
"CM71FL","CMR",11,113.796663,79
"CM71FL","CMR",12,119.541581,80
"GM61FL","GMB",1,765.859324000001,747
"GM61FL","GMB",2,708.290624,707
"GM61FL","GMB",3,741.521361000001,726
"GM61FL","GMB",4,580.296594,593
"GM61FL","GMB",5,536.790251000001,573
"GM61FL","GMB",6,569.912184000001,568
"GM61FL","GMB",7,442.424933,481
"GM61FL","GMB",8,625.398100000001,699
"GM61FL","GMB",9,772.425725000001,806
"GM61FL","GMB",10,771.714338000001,776
"GM61FL","GMB",11,703.837054000001,733
"GM61FL","GMB",12,718.197580000001,685
"GM81FL","GMB",1,673.341944999999,768
"GM81FL","GMB",2,613.808619000001,652
"GM81FL","GMB",3,688.357431000001,733
"GM81FL","GMB",4,582.77172,610
"GM81FL","GMB",5,583.566897999999,641
"GM81FL","GMB",6,527.88088,594
"GM81FL","GMB",7,400.360724,469
"GM81FL","GMB",8,504.600246,598
"GM81FL","GMB",9,759.632640000001,827
"GM81FL","GMB",10,851.255126000001,908
"GM81FL","GMB",11,727.127399,782
"GM81FL","GMB",12,716.667463,766
"GN52FL","GIN",1,98.292859,108
"GN52FL","GIN",2,132.136265,139
"GN52FL","GIN",3,164.001538,169
"GN52FL","GIN",4,88.847355,94
"GN52FL","GIN",5,68.378618,73
"GN52FL","GIN",6,267.76532,286
"GN52FL","GIN",7,110.137674,119
"GN52FL","GIN",8,85.991398,89
"GN52FL","GIN",9,58.160459,60
"GN52FL","GIN",10,81.264137,82
"GN52FL","GIN",11,72.090277,73
"GN52FL","GIN",12,50.925964,55
"GN62FL","GIN",1,125.426162,142
"GN62FL","GIN",2,140.921417,166
"GN62FL","GIN",3,114.658452,133
"GN62FL","GIN",4,119.445705,147
"GN62FL","GIN",5,134.050789,152
"GN62FL","GIN",6,152.579206,171
"GN62FL","GIN",7,112.377202,130
"GN62FL","GIN",8,129.371464,147
"GN62FL","GIN",9,92.211727,109
"GN62FL","GIN",10,73.870978,86
"GN62FL","GIN",11,56.736664,67
"GN62FL","GIN",12,65.857261,75
"GN71FL","GIN",1,180.3519,221
"GN71FL","GIN",2,206.843385,249
"GN71FL","GIN",3,255.473254,309
"GN71FL","GIN",4,229.754078,290
"GN71FL","GIN",5,202.75302,236
"GN71FL","GIN",6,92.924428,114
"GN71FL","GIN",7,73.98556,91
"GN71FL","GIN",8,99.960819,121
"GN71FL","GIN",9,83.823286,104
"GN71FL","GIN",10,103.223423,122
"GN71FL","GIN",11,87.052697,108
"GN71FL","GIN",12,106.349085,129
"ML41FL","MLI",1,1077.50068,996
"ML41FL","MLI",2,1002.081174,895
"ML41FL","MLI",3,1115.283894,1015
"ML41FL","MLI",4,1097.650247,998
"ML41FL","MLI",5,946.174628000002,904
"ML41FL","MLI",6,1055.001578,1055
"ML41FL","MLI",7,922.512192000001,870
"ML41FL","MLI",8,989.522165000002,951
"ML41FL","MLI",9,1099.510208,1021
"ML41FL","MLI",10,1087.651563,985
"ML41FL","MLI",11,954.307928000001,975
"ML41FL","MLI",12,1177.909266,1151
"ML53FL","MLI",1,1159.984881,1160
"ML53FL","MLI",2,1294.929539,1259
"ML53FL","MLI",3,1335.994835,1354
"ML53FL","MLI",4,1370.880171,1311
"ML53FL","MLI",5,1511.370271,1471
"ML53FL","MLI",6,1497.889528,1456
"ML53FL","MLI",7,1137.296995,1130
"ML53FL","MLI",8,1139.700678,1107
"ML53FL","MLI",9,1134.592235,1133
"ML53FL","MLI",10,1032.48703,1035
"ML53FL","MLI",11,839.821407,810
"ML53FL","MLI",12,873.774531999999,862
"ML6AFL","MLI",1,740.518666999998,722
"ML6AFL","MLI",2,771.520618999998,753
"ML6AFL","MLI",3,918.852062,924
"ML6AFL","MLI",4,949.541107999999,952
"ML6AFL","MLI",5,989.433403999999,970
"ML6AFL","MLI",6,1075.374554,1045
"ML6AFL","MLI",7,926.481196,922
"ML6AFL","MLI",8,934.796068999999,948
"ML6AFL","MLI",9,933.895065999999,935
"ML6AFL","MLI",10,915.818116,914
"ML6AFL","MLI",11,740.896828999998,737
"ML6AFL","MLI",12,522.084915,532
"ML7AFL","MLI",1,738.26408,734
"ML7AFL","MLI",2,812.286777999999,770
"ML7AFL","MLI",3,891.452251999999,842
"ML7AFL","MLI",4,1021.639226,957
"ML7AFL","MLI",5,996.939436,918
"ML7AFL","MLI",6,931.065339999999,885
"ML7AFL","MLI",7,852.424027,804
"ML7AFL","MLI",8,995.73362,938
"ML7AFL","MLI",9,869.359389000001,833
"ML7AFL","MLI",10,689.818725,648
"ML7AFL","MLI",11,627.847013,578
"ML7AFL","MLI",12,638.768506000001,601
"ML8AFL","MLI",1,1221.947941,1217
"ML8AFL","MLI",2,1044.156323,1081
"ML8AFL","MLI",3,1339.78073,1255
"ML8AFL","MLI",4,1401.616454,1386
"ML8AFL","MLI",5,1277.088305,1224
"ML8AFL","MLI",6,1271.141376,1255
"ML8AFL","MLI",7,1134.646539,1150
"ML8AFL","MLI",8,1315.90415,1334
"ML8AFL","MLI",9,1548.401204,1498
"ML8AFL","MLI",10,1363.202931,1324
"ML8AFL","MLI",11,1398.529261,1372
"ML8AFL","MLI",12,1404.817081,1344
"MR71FL","MRT",1,1011.310226,989
"MR71FL","MRT",2,838.831617999999,821
"MR71FL","MRT",3,788.469585,800
"MR71FL","MRT",4,808.988632,796
"MR71FL","MRT",5,998.347144,966
"MR71FL","MRT",6,967.457895000001,973
"MR71FL","MRT",7,898.923216999999,872
"MR71FL","MRT",8,1085.854854,1065
"MR71FL","MRT",9,978.580072,960
"MR71FL","MRT",10,1025.224066,1016
"MR71FL","MRT",11,895.023030999999,878
"MR71FL","MRT",12,1056.071493,1100
"NG4BFL","NGA",1,255.732678,209
"NG4BFL","NGA",2,192.473453,161
"NG4BFL","NGA",3,243.995819,196
"NG4BFL","NGA",4,204.366391,167
"NG4BFL","NGA",5,167.994323,142
"NG4BFL","NGA",6,144.169839,132
"NG4BFL","NGA",7,98.72016,84
"NG4BFL","NGA",8,134.62627,117
"NG4BFL","NGA",9,155.33721,129
"NG4BFL","NGA",10,120.311386,98
"NG4BFL","NGA",11,129.413837,112
"NG4BFL","NGA",12,129.130032,119
"NG53FL","NGA",1,877.046171000008,788
"NG53FL","NGA",2,801.546002000007,726
"NG53FL","NGA",3,835.948562000007,765
"NG53FL","NGA",4,867.150173000008,773
"NG53FL","NGA",5,807.716907000007,764
"NG53FL","NGA",6,1013.94772800001,927
"NG53FL","NGA",7,817.983400000007,750
