"month","band","rate","rate_lo","rate_hi","annual_rate","rr","rr_lo","rr_hi","births_rel"
10,"6-11 months",30.2301656876794,22.1692774952944,38.2910538800645,26.9223662319875,1.13008037674724,0.995106028381814,1.28336239705624,1.07365954940353
11,"6-11 months",27.4867889820224,20.8830190146595,34.0905589493853,26.9223662319875,1.03045747258711,0.904939118407432,1.17338567999945,0.925045432411402
12,"6-11 months",24.1446033716957,19.2831292004443,29.0060775429471,26.9223662319875,0.868674422207092,0.75810450439871,0.995371017344545,0.943433264410422
1,"12-23 months",17.962259577199,12.0563703737196,23.8681487806783,17.4856040683557,1.01090110918013,0.885451856529636,1.15412379002383,1.03530778440595
2,"12-23 months",17.6881156384297,12.2109719363664,23.165259340493,17.4856040683557,1.02803982518744,0.901196366783541,1.17273651018311,0.992645208448093
3,"12-23 months",15.4932297198531,10.7317483388526,20.2547111008536,17.4856040683557,0.829217217092175,0.720761725121873,0.953992379389771,1.05320610969507
4,"12-23 months",16.4191623156299,11.478626547678,21.3596980835818,17.4856040683557,0.89057937556201,0.776313600002269,1.021663956646,1.01095576886122
5,"12-23 months",18.664623902744,13.0605412111163,24.2687065943717,17.4856040683557,1.0742018595231,0.942840941357606,1.22386458244097,0.978180937324657
6,"12-23 months",16.5438609897796,11.276828873842,21.8108931057172,17.4856040683557,0.905194378482593,0.789221763710444,1.03820865124686,0.955451149498877
7,"12-23 months",17.7354235974256,12.7533988056122,22.717448389239,17.4856040683557,1.04471918994641,0.915932515424169,1.19161419369071,0.892063949686719
8,"12-23 months",20.5332892927612,13.9879962410039,27.0785823445185,17.4856040683557,1.17008301950159,1.03051212104746,1.32855717517844,1.04773500239583
9,"12-23 months",18.2147615965061,13.0468286011474,23.3826945918648,17.4856040683557,1.07396490061494,0.943472551278844,1.22250573817909,1.09231584345823
10,"12-23 months",16.2202411537171,11.6903531337036,20.7501291737306,17.4856040683557,0.983461555675818,0.861149270691232,1.12314631668438,1.07365954940353
11,"12-23 months",18.5989318010868,12.9145741381343,24.2832894640393,17.4856040683557,1.09782669701802,0.964922991875632,1.2490358990646,0.925045432411402
12,"12-23 months",15.7826586835555,10.7136754025805,20.8516419645304,17.4856040683557,0.945399097435339,0.825846237047621,1.0822589161716,0.943433264410422
