"month","band","rate","rate_lo","rate_hi","annual_rate","rr","rr_lo","rr_hi","births_rel"
1,"<1 month",390.781995804418,324.428967437214,457.135024171622,373.169501523535,1.04359351759352,0.953558696126954,1.14212940890449,1.03530778440595
2,"<1 month",372.332333841611,319.161594335191,425.50307334803,373.169501523535,1.00088385991925,0.912899800066628,1.09734770560114,0.992645208448093
3,"<1 month",361.748869574655,301.655110178693,421.842628970616,373.169501523535,0.946014056314659,0.862940468769813,1.03708497530626,1.05320610969507
4,"<1 month",389.112900153065,323.99788295445,454.22791735168,373.169501523535,1.02063377538098,0.931689472759048,1.11806919999174,1.01095576886122
5,"<1 month",398.008454560601,352.477101686804,443.539807434399,373.169501523535,1.06911663676275,0.976498818676724,1.17051896135605,0.978180937324657
6,"<1 month",413.206705922362,352.126283099674,474.28712874505,373.169501523535,1.11209953606057,1.01629811285401,1.21693168811758,0.955451149498877
7,"<1 month",375.000294713105,319.316067400213,430.684522025998,373.169501523535,1.00216377626525,0.911813400083054,1.10146685096617,0.892063949686719
8,"<1 month",383.798734403654,345.470716881222,422.126751926086,373.169501523535,1.0460266728629,0.956639149833056,1.14376648763704,1.04773500239583
9,"<1 month",351.060098801117,296.365458864381,405.754738737854,373.169501523535,0.941316062303849,0.859157133505688,1.0313316325917,1.09231584345823
10,"<1 month",314.321811119835,263.100313847792,365.543308391877,373.169501523535,0.866023010757192,0.788285193975822,0.951427048094419,1.07365954940353
11,"<1 month",379.299464124733,307.478585139891,451.120343109574,373.169501523535,1.01743999286271,0.926251476906089,1.11760592548175,0.925045432411402
12,"<1 month",357.109882343255,302.337544720466,411.882219966045,373.169501523535,0.959165397765921,0.872076445153819,1.05495139260319,0.943433264410422
1,"1-5 months",30.289036700694,22.788940657163,37.789132744225,32.2180865891715,0.959684446699752,0.839286524804514,1.09735377611588,1.03530778440595
2,"1-5 months",26.1500027588359,20.5247189442981,31.7752865733738,32.2180865891715,0.8266104049973,0.717990394011229,0.951662817983487,0.992645208448093
3,"1-5 months",29.3942731476369,22.8732145945488,35.9153317007251,32.2180865891715,0.952219219961937,0.831695861182018,1.09020795363377,1.05320610969507
4,"1-5 months",33.8921507873676,27.0221587982665,40.7621427764686,32.2180865891715,1.07254796786264,0.94162528868134,1.22167401108912,1.01095576886122
5,"1-5 months",35.4002027616692,26.2311868345531,44.5692186887854,32.2180865891715,1.0526330752788,0.92433777927847,1.19873537143082,0.978180937324657
6,"1-5 months",30.5175462278576,24.3700013954926,36.6650910602226,32.2180865891715,0.961771338945747,0.842094164906284,1.09845685549957,0.955451149498877
7,"1-5 months",37.657510048835,29.7665943499185,45.5484257477514,32.2180865891715,1.15147615045187,1.01491833142491,1.30640789904539,0.892063949686719
8,"1-5 months",34.7572501617095,28.2780002804197,41.2365000429993,32.2180865891715,1.06696216938317,0.937042020598235,1.21489564594772,1.04773500239583
9,"1-5 months",31.2099922094921,24.2496347183881,38.1703497005961,32.2180865891715,0.941121793493284,0.822657033986501,1.07664578748688,1.09231584345823
10,"1-5 months",35.0977913531403,28.7685510592597,41.4270316470209,32.2180865891715,1.09594462119663,0.964293655772017,1.2455693403564,1.07365954940353
11,"1-5 months",28.0814620358164,22.558853259901,33.6040708117318,32.2180865891715,0.869749773162589,0.758724030077028,0.997022155525476,0.925045432411402
12,"1-5 months",34.3197357440998,30.192855151724,38.4466163364757,32.2180865891715,1.10620453081984,0.973300851782625,1.25725613181693,0.943433264410422
1,"6-11 months",23.7450655768758,18.0584219306562,29.4317092230953,26.9223662319875,0.905453842988037,0.791134566926396,1.03629230229057,1.03530778440595
2,"6-11 months",27.5996620705809,22.1277248645353,33.0715992766265,26.9223662319875,1.03003850478261,0.905367898394829,1.17187645289374,0.992645208448093
3,"6-11 months",24.4074348989983,17.9392233249098,30.8756464730867,26.9223662319875,0.859929027394234,0.750122458015154,0.98580961582176,1.05320610969507
4,"6-11 months",26.2849156758826,19.6153174205097,32.9545139312555,26.9223662319875,0.980821012367054,0.860219513045784,1.11833066294269,1.01095576886122
5,"6-11 months",26.4467105109102,18.5908032470328,34.3026177747876,26.9223662319875,0.98203941725518,0.860326060680645,1.12097199087507,0.978180937324657
6,"6-11 months",26.1254851136391,18.1235050056203,34.1274652216578,26.9223662319875,0.976881449960293,0.854771978849511,1.11643501529024,0.955451149498877
7,"6-11 months",26.2283074648213,19.099749088684,33.3568658409586,26.9223662319875,1.02068240767551,0.895119372602249,1.1638588206505,0.892063949686719
8,"6-11 months",29.1722869125048,21.6074717755058,36.7371020495037,26.9223662319875,1.12054715555109,0.985838600966754,1.27366277459852,1.04773500239583
9,"6-11 months",31.2515063627423,22.0303118452169,40.4727008802677,26.9223662319875,1.14535433311808,1.00875894199903,1.30044601715522,1.09231584345823
