"iso3","country","year","series","pfpr_pct","exposure_source","status","ihme_under5_deaths","attributable_under5_deaths","counterfactual_under5_deaths","attributable_fraction","ihme_malaria_deaths","previous_map_gamma1_deaths","map_population_coverage","any_current_pfpr_outside_observed_support","any_zero_below_observed_support","temporal_transport_from_pre2016_fit"
"AGO","Angola",2005,"map_matched",20.1035553415068,"MAP","estimated",96551.420798192,24003.7653771412,72547.6554210508,0.248611208190431,17036.3618753842,24014.9981133368,0.998084957706995,FALSE,TRUE,FALSE
"BDI","Burundi",2005,"map_matched",32.7108667147613,"MAP","estimated",39965.5290915808,11808.9781888267,28156.5509027541,0.295479090537409,9544.83585622456,11359.6605912383,0.903118502531811,FALSE,TRUE,FALSE
"BEN","Benin",2005,"map_matched",56.789331963267,"MAP","estimated",35764.568969811,11119.771076544,24644.797893267,0.310915842042727,7882.71211201263,10738.4789435372,1,FALSE,TRUE,FALSE
"BFA","Burkina Faso",2005,"map_matched",53.1839944402602,"MAP","estimated",88292.8538201055,30179.6685909588,58113.1852291467,0.341813264439828,24966.6794975544,28950.5098974106,1,FALSE,TRUE,FALSE
"BWA","Botswana",2005,"map_matched",0.0739687942020688,"MAP","estimated",2386.55814676257,2.34130567648223,2384.21684108609,0.000981038605599561,1.01106893548783,2.26855548489891,0.500006041684288,FALSE,TRUE,FALSE
"CAF","Central African Republic",2005,"map_matched",57.137610295232,"MAP","estimated",27492.8570841914,8099.11437149502,19393.7427126963,0.294589767323676,3752.68743335549,7858.3138610342,1,FALSE,TRUE,FALSE
"CIV","Cote d'Ivoire",2005,"map_matched",62.0559536355424,"MAP","estimated",80769.9833548921,22567.7787452253,58202.2046096668,0.279407990541061,18927.1407480006,21625.8928876256,0.999044906250652,FALSE,TRUE,FALSE
"CMR","Cameroon",2005,"map_matched",48.6084683420969,"MAP","estimated",89440.1172170792,29395.981704929,60044.1355121502,0.328666627678744,20518.3763959582,28045.6295002086,0.994188327616715,FALSE,TRUE,FALSE
"COD","Democratic Republic of the Congo",2005,"map_matched",64.5181086884157,"MAP","estimated",291364.155661708,91543.2592042,199820.896457508,0.314188473171311,90901.2946546033,89693.9915482513,0.967925701459564,FALSE,TRUE,FALSE
"COG","Congo",2005,"map_matched",32.8294542135053,"MAP","estimated",10371.3261694714,2895.05199170462,7476.2741777668,0.279140000458801,1798.4947973644,2773.49396963213,0.999999884856155,FALSE,TRUE,FALSE
