"iso3","country","year","map_matched","snow_matched","map_full","snow_full","pfpr_pct","previous_map_gamma1","ihme_malaria","matched_snow_minus_map","matched_snow_vs_map_percent","full_snow_minus_map","full_snow_vs_map_percent","map_gamma2_minus_previous","map_gamma2_vs_previous_percent"
"AGO","Angola",2005,24003.7653771412,18667.1953933366,25905.0229330608,18648.9714215507,20.1035553415068,24014.9981133368,17036.3618753842,-5336.56998380464,-22.232220236941,-7256.05151151017,-28.0102107234569,1890.02481972403,7.87018516846936
"BDI","Burundi",2005,11808.9781888267,9721.44814764788,12534.8307861445,9712.35059216713,32.7108667147613,11359.6605912383,9544.83585622456,-2087.53004117878,-17.6774824019401,-2822.48019397739,-22.5170984924443,1175.17019490622,10.3451171403186
"BEN","Benin",2005,11119.771076544,10817.6117059641,11829.7617667678,10812.0197226836,56.789331963267,10738.4789435372,7882.71211201263,-302.159370579884,-2.7173164672181,-1017.74204408416,-8.60323364197586,1091.28282323055,10.1623593897097
"BFA","Burkina Faso",2005,30179.6685909588,28231.9271161632,31806.640014696,28216.1711090276,53.1839944402602,28950.5098974106,24966.6794975544,-1947.74147479558,-6.45381995804648,-3590.46890566842,-11.2884256369408,2856.13011728542,9.86556066682913
"BWA","Botswana",2005,2.34130567648223,1.67452773563667,2.52892092831917,1.67174771991464,0.0739687942020688,2.26855548489891,1.01106893548783,-0.666777940845561,-28.4788931040984,-0.857173208404532,-33.8948204669351,0.260365443420263,11.4771468078889
"CAF","Central African Republic",2005,8099.11437149502,7951.56354579239,8695.03789445269,7947.99157227902,57.137610295232,7858.3138610342,3752.68743335549,-147.550825702629,-1.82181432357514,-747.046322173671,-8.59163963678957,836.724033418491,10.6476280817368
"CIV","Cote d'Ivoire",2005,22567.7787452253,23485.8019673062,23927.7443991427,23477.1823633774,62.0559536355424,21625.8928876256,18927.1407480006,918.023222080898,4.06784926618056,-450.562035765302,-1.88301090252972,2301.85151151711,10.6439605683714
"CMR","Cameroon",2005,29395.981704929,26547.9007935296,30989.695564459,26529.6668255521,48.6084683420969,28045.6295002086,20518.3763959582,-2848.08091139942,-9.68867425482807,-4460.02873890688,-14.3919733887994,2944.06606425041,10.4974148083519
"COD","Democratic Republic of the Congo",2005,91543.2592042,94711.9661388141,97923.923540006,94685.6974826531,64.5181086884157,89693.9915482513,90901.2946546033,3168.70693461406,3.46143119893276,-3238.22605735289,-3.30687940218198,8229.93199175467,9.17556666806085
"COG","Congo",2005,2895.05199170462,2384.12335808646,3069.97056026733,2381.57651073034,32.8294542135053,2773.49396963213,1798.4947973644,-510.928633618163,-17.648340516238,-688.39404953699,-22.4234739722405,296.476590635202,10.6896425188379
"COM","Comoros",2005,25.024803225099,17.9842399297878,26.6880525449896,17.9510713847894,1.49344288730066,24.578096789962,6.01667570728837,-7.04056329531116,-28.1343402862394,-8.73698116020023,-32.7374249037909,2.10995575502759,8.58469951135241
"CPV","Cape Verde",2005,,,,,,,0.360636598851271,,,,,,
"DJI","Djibouti",2005,3.69408547181424,2.64207615730779,3.93832690082228,2.63737611050256,0.180218583070353,3.58479236620103,3.15105029062501,-1.05200931450645,-28.4782071918273,-1.30095079031972,-33.0330829075692,0.353534534621249,9.86206447978759
"ERI","Eritrea",2005,68.2488915439269,48.9508075190857,77.1412625016388,48.9029638237878,0.264051516629705,72.102501604516,20.5491549999896,-19.2980840248412,-28.2760402231887,-28.2382986778511,-36.6059586816474,5.03876089712281,6.9883302035213
"ETH","Ethiopia",2005,41558.9925468492,31112.9248054114,44335.2016168385,31068.7480344278,10.282958677834,41246.9303430137,31593.2561718979,-10446.0677414378,-25.1355172521616,-13266.4535824106,-29.9230703788478,3088.27127382476,7.48727541211522
"GAB","Gabon",2005,393.329707890808,297.063579187993,416.381447204527,296.609130791112,13.5729851145187,385.909397130943,247.587005011858,-96.2661287028153,-24.4746650892537,-119.772316413415,-28.7650463817575,30.4720500735843,7.89616689827453
"GHA","Ghana",2005,15380.1093232541,12803.1532204618,16204.547717163,12787.3418278937,33.4717058296969,14589.0752268959,14365.2438310093,-2576.95610279233,-16.755122142702,-3417.20588926932,-21.0879436372666,1615.47249026714,11.0731658116953
"GIN","Guinea",2005,14890.6074275617,13010.4906756424,15713.6841839957,12999.7084749175,42.9604000479577,14142.3271503897,9581.37694548418,-1880.1167519193,-12.626192457665,-2713.9757090782,-17.2714156482944,1571.357033606,11.1110216649366
"GMB","The Gambia",2005,490.950363578109,362.254659721536,527.718993907715,361.72916953526,6.80021050223797,493.199308849682,309.032888877776,-128.695703856574,-26.2135876463402,-165.989824372455,-31.4542069337535,34.5196850580326,6.99913492144684
"GNB","Guinea-Bissau",2005,647.560831892128,474.695217218553,710.858153151849,474.140894955292,5.47134440577292,663.88795543468,322.64768526346,-172.865614673575,-26.6948842734163,-236.717258196557,-33.3002100555482,46.970197717169,7.07501880892165
"GNQ","Equatorial Guinea",2005,755.653297174233,628.828505198641,796.933768233877,628.129885480467,33.9046533846217,714.863251913439,795.294411262496,-126.824791975592,-16.7834630577083,-168.80388275341,-21.1816702318318,82.0705163204384,11.480589623367
"KEN","Kenya",2005,12537.6513111039,9432.07728523358,13333.6058471966,9418.20561442818,12.1603957572431,12349.5305604762,5380.61737522306,-3105.57402587036,-24.7699824218266,-3915.40023276841,-29.3649015700552,984.075286720392,7.96852383903446
"LBR","Liberia",2005,5388.44884579546,4694.4080347202,5655.70472338953,4690.19432847525,42.3245620053839,5060.86295335511,4318.96062855385,-694.040811075267,-12.8801595957771,-965.510394914279,-17.0714427668288,594.841770034416,11.7537616710222
"LSO","Lesotho",2005,,,,,,,,,,,,,
"MDG","Madagascar",2005,12573.7165898755,9639.66625659312,13459.2926549644,9627.93074612502,16.612555436176,12471.3450748798,5743.20514220464,-2934.05033328237,-23.3347897760389,-3831.36190883942,-28.466294678764,987.947580084638,7.92174039089493
"MLI","Mali",2005,27932.9016135604,23686.6080658485,29582.0984832871,23665.3676035337,38.5111391906618,26731.8077474102,19914.3514175643,-4246.29354771191,-15.2017631625154,-5916.73087975343,-20.0010519304308,2850.29073587693,10.6625438983006
"MOZ","Mozambique",2005,28794.9217633954,25515.9758084542,30466.8668692253,25494.7235352229,44.2928156950409,27261.7967064724,12272.1178087967,-3278.94595494115,-11.3872368950466,-4972.14333400233,-16.3198380566816,3205.07016275288,11.7566358419507
"MRT","Mauritania",2005,398.227987189177,290.728124660229,422.783510934909,290.232050614584,4.08661106779518,392.432128455988,254.427955607677,-107.499862528947,-26.9945523637644,-132.551460320324,-31.3520884547297,30.3513824789207,7.73417370242779
"MWI","Malawi",2005,18334.6237803312,15024.882915947,19369.584689362,15009.6096473187,32.2108258478265,17582.5299711906,8465.6610118672,-3309.74086438421,-18.0518613528072,-4359.97504204328,-22.5093883630754,1787.0547181714,10.1638087414014
"NAM","Namibia",2005,230.014435257814,168.627605333257,246.879063242393,168.367819446928,4.5353951282014,227.467802426499,68.1857539029271,-61.3868299245567,-26.6882510463966,-78.5112437954653,-31.8014993917814,19.4112608158944,8.53363008251098
"NER","Niger",2005,41808.2615568223,33459.3987365013,44696.9738880643,33432.4536912105,26.7916282649868,41338.5242118454,19061.3616023064,-8348.86282032109,-19.9694091775952,-11264.5201968537,-25.201975026461,3358.44967621889,8.12426118312306
"NGA","Nigeria",2005,304629.448417861,268301.373002106,320943.546607251,268100.582897503,44.911076588637,290072.650447731,141101.592555906,-36328.0754157545,-11.9253327622887,-52842.9637097486,-16.4648780972107,30870.8961595204,10.6424704679572
"RWA","Rwanda",2005,3127.30149137415,2288.646642788,3429.688936837,2285.76003911616,4.897431879853,3193.51356552961,2841.50458808531,-838.654848586153,-26.8172048937195,-1143.92889772084,-33.3537215411675,236.175371307394,7.39547105284419
"SEN","Senegal",2005,3253.55622318094,2390.72809590509,3540.41768212541,2387.57378446182,5.44994687087531,3308.86339471412,4355.85191330994,-862.82812727585,-26.5195394850831,-1152.84389766359,-32.5623697871576,231.55428741129,6.99800081747697
"SLE","Sierra Leone",2005,11754.404124363,10064.9544611976,12414.3368630488,10056.8396878448,40.7926668056115,11178.5290427355,6759.19690523862,-1689.44966316541,-14.3729077653859,-2357.49717520402,-18.9901176455191,1235.80782031331,11.0551917482955
"SOM","Somalia",2005,13452.7907576819,10028.9184736193,14686.2871250563,10017.3714539686,9.00565355096317,13697.6539352942,2834.75713714953,-3423.87228406261,-25.4510186453876,-4668.91567108768,-31.7909872749391,988.633189762126,7.21753662658067
"SSD","South Sudan",2005,10904.8428123089,9161.98378885104,11577.611381289,9154.48156252052,35.4180105817913,10410.301717289,4727.21749013014,-1742.85902345786,-15.9824314156147,-2423.12981876853,-20.9294451071715,1167.30966400005,11.2130243262923
"STP","Sao Tome and Principe",2005,,,,,,,39.3306059836189,,,,,,
"SWZ","Swaziland",2005,124.145914919428,89.1940810007988,134.847515835409,89.0548909327763,2.77619052188256,122.9469738783,2.47884157083843,-34.9518339186293,-28.1538332866719,-45.7926249026326,-33.9588197965217,11.9005419571089,9.67941022191301
"TCD","Chad",2005,18583.7419961261,14284.2356802684,20177.4947435637,14270.6825380454,17.2544300153994,18795.7454310331,3943.23764594159,-4299.50631585765,-23.1358480802946,-5906.81220551822,-29.2742596669609,1381.74931253056,7.351394056706
"TGO","Togo",2005,6938.36619725573,6642.00259825294,7375.98445853325,6638.15106377266,54.7789048030301,6684.11665155544,3282.74509670263,-296.363599002787,-4.27137442125792,-737.833394760586,-10.0031853226994,691.867806977807,10.350923585644
"TZA","Tanzania",2005,33494.4176478973,26233.7561307911,35328.9569685281,26198.8256806262,21.5102815877522,32474.6613126968,17905.7678371295,-7260.6615171062,-21.6772287054885,-9130.1312879019,-25.8431951332026,2854.29565583127,8.78930076698079
"UGA","Uganda",2005,42697.0576650169,36864.9129046174,44853.4887613395,36832.5903261951,41.7907617391782,40328.8581209795,44154.0043335441,-5832.14476039958,-13.6593598700784,-8020.89843514437,-17.8824404893512,4524.63064035996,11.2193373459443
